Chat_Happening_NOTHING |= 별다른 일이 일어나지 않았어.
Chat_Happening_SLEEP[P] |= 여신을 숭배할 수 있는 에너지를 얻으려면 좀 쉬어야겠어.
Chat_Happening_SLEEP[P] |= 잠은 진정한 것을 위한 것이지. 진실을 찾기 위해 침대로 가야해.

Chat_Happening_SLEEP[J] |= 내 침대가 손짓하고 있어! 깃털 베개가 코를 간지럽히네!
Chat_Happening_SLEEP[J] |= 잠자리에 들 준비. 나는 내 침대를 사랑해. 할 수만 있다면 이 침대와 결혼하고 싶어!
Chat_Happening_SLEEP[J] |= 푹신한 베개와 푹신한 매트리스!
Chat_Happening_SLEEP[J] |= 집에 가서 코를 골고 싶어!
Chat_Happening_SLEEP[J] |= 곧 잘 시간이야! 기다릴 수 없어!

Chat_Happening_SLEEP[B] |= 취침 시간이야. 내 침대는 퀼에서 가장 편안해.
Chat_Happening_SLEEP[B] |= 이제 잘 시간이야. 내가 너보다 더 잘 수 있을 것 같아.
Chat_Happening_SLEEP[B] |= 집에 가서 큰 베개에 머리를 눕혀야겠어.
Chat_Happening_SLEEP[B] |= 잘 시간이야! 내 침대는 비싸긴 하지만, 질 좋은 잠을 거부할 수는 없잖아.

Chat_Happening_SLEEP[Q] |= 반짝반짝, 작은 별아, 네가 뭔지 궁금하구나. 물론 하늘 까마귀의 눈이지!
Chat_Happening_SLEEP[Q] |= 나는 고기에대한 작은 꿈을 꾸는 잠자리에 들거야.
Chat_Happening_SLEEP[Q] |= 나는 곧 잠자리에 들거야. 베개를 먹고 깨어 보니 침대에 마시멜로가 있는 꿈을 꾼 적이 있어.
Chat_Happening_SLEEP[Q] |= 자러 갈게. 나는 가끔 꿈이 뒤집혀 있는지 확인하기 위해 거꾸로 잠을 자곤해.

Chat_Happening_SLEEP[C] |= 누으려고 하는데 아침 죽보다 더 울퉁불퉁한걸.
Chat_Happening_SLEEP[C] |= 베개가 플랩잭처럼 푹신한데도 서둘러 자야해. 정말 마음에 들지 않아!
Chat_Happening_SLEEP[C] |= 집에 가서 잠들거지만 평소처럼 잠을 잘 수 있을지 확신이 서지않아. 소음이 너무 심해. 나방들이 좀 닥쳤으면 좋겠어.
Chat_Happening_SLEEP[C] |= 곧 잘 시간이야. 나를 왜 귀찮게 하는지 모르겠어. 재미있는 꿈을 꾸지 못했어.

Chat_Happening_SLEEP[Spouse] |= 잘 시간이야! 
Chat_Happening_SLEEP[Spouse] |= 잘 자둬야겠어. 잘 자.
Chat_Happening_SLEEP[Spouse] |= 충분한 수면을 위해 침대로 향하고 있지.
Chat_Happening_SLEEP[Spouse] |= 잘 시간이야. 너무 늦게까지 깨어있지 마. 네 눈은 토마토보다 더 빨게.

Chat_Happening_SLEEP[OwnKid] |= 아, 이제 자야 하나요?
Chat_Happening_SLEEP[OwnKid] |= 정말 잘 시간인가요?
Chat_Happening_SLEEP[OwnKid] |= 자러 갈래요. 잘 자요, 아빠, 엄마, 원하는 대로 하세요.
Chat_Happening_SLEEP[OwnKid] |= 잘 자요! 침대 마녀에게 물리지 마세요!

Chat_Happening_SLEEP[OwnKidAdult] |= 부모님을 위해 아들이나 딸이라면 누구나 할 수 있는 일, 즉 잠을 자려고요.
Chat_Happening_SLEEP[OwnKidAdult] |= 취침 시간이에요. 하루에 최소 25시간은 자야죠.
Chat_Happening_SLEEP[OwnKidAdult] |= 자러 갈게요. 안녕히 주무세요, 부모님.
Chat_Happening_SLEEP[OwnKidAdult] |= 취침 시간이에요. 스누즈 씨와 약속이 있어요.

Chat_Happening_GETUP |= 숙면을 취해야 다음 날을 준비할 수 있지.
Chat_Happening_GETUP |= 또 다른 하루가 모험의 손가락으로 손짓하네.
Chat_Happening_GETUP |= 잠은 잘 잤어. 정말 불평할 수 없을만큼.
Chat_Happening_GETUP |= 상쾌한 기분으로 하루를 시작할 준비가 되었어.

Chat_Happening_GETUP[P] |= 멋진 예배와 자연을 사랑하는 또 다른 하루를 앞두고 있지.
Chat_Happening_GETUP[P] |= 여신들이 내 헌신에 감사하기 위해 잠든 나를 찾아왔어!
Chat_Happening_GETUP[P] |= 나는 독실한 자의 잠을 잤어. 우리가 우리의 죄 때문에 고통을 당해야 한다는 것은 정말 끔찍해.
Chat_Happening_GETUP[P] |= 깨어나서 다행이야. 잠들어 있으면 자연의 놀라운 선물을 경외할 수 었거든.

Chat_Happening_GETUP[J] |= 통나무처럼 잠을 잤어! 갈색으로 길게!
Chat_Happening_GETUP[J] |= 오, 킵을 하고 나면 정말 기분이 좋아져! 나는 훌륭한 키퍼야!
Chat_Happening_GETUP[J] |= 나는 내가 마시멜로 인 꿈을 꾸었고 베개가 나를 먹었어! 대단하지!
Chat_Happening_GETUP[J] |= 수면은 돌 달걀과 같아. 이길 수 없지!

Chat_Happening_GETUP[B] |= 어젯밤에 내가 너보다 더 잘 잤어. 그리고 그건 내가 경쟁심이 있는 게 아니야. 나는 가장 경쟁력이 없는 사람이야!
Chat_Happening_GETUP[B] |= 또 다른 밤이 지나고 세상은 나의 존재를 환영하는 또 다른 날을 맞이했어.
Chat_Happening_GETUP[B] |= 좋은 잠은 돈으로 살 수 없다고들 하지. 하지만 나는 그랬어!
Chat_Happening_GETUP[B] |= 아름다운 잠을 잤어. 너는 분명히 못난 잠을 잤을 거야.

Chat_Happening_GETUP[Q] |= 꿈만 같았어! 양들이 울타리를 뛰어넘는 나를 세고 있었어. 그 후에는 상황이 엉망이 되었지.
Chat_Happening_GETUP[Q] |= 소시지 위에서 자는 꿈을 꿨어. 내가 꾼 꿈 중 가장 최악의 잠이었어.
Chat_Happening_GETUP[Q] |= 어젯밤에 악몽을 꿨어. 내가 달걀이었는데 스트레스가 너무 심해서 깨질 뻔했어. 노른자는 없어어!
Chat_Happening_GETUP[Q] |= 내 침대 스프링 중 하나가 나를 싫어하는 것 같아요. 양파 위에서 자야겠어요. 침대 스프링 양파.

Chat_Happening_GETUP[C] |= 죽은 사람처럼 잤어. 썩었지.
Chat_Happening_GETUP[C] |= 내 침대는 최악이야. 밤새도록 내 척추를 때리는 게 낫겠어.
Chat_Happening_GETUP[C] |= 빈대가 나에게 복수심을 품고 있는 게 분명해. 목 축제에서 뱀파이어보다 더 많이 물렸어.
Chat_Happening_GETUP[C] |= 좋은 아침? 뭐가 좋은데? 그냥 장례식장에 날 밀어넣고 끝내버려.

Chat_Happening_WORK |= 그냥 일할 뿐이야. 정직한 하루의 노동은 아무도 해치지 않지. 그 일이 괴물과 싸우는 것이 아니라면 말이야.
Chat_Happening_WORK |= 일, 일, 또 일.
Chat_Happening_WORK |= 먹고 살기 위해서. 누군가는 돈을 벌어야지. 그 오리 돈 수집가들은 매번 너를 붙잡지.
Chat_Happening_WORK |= 이것도 조금 저것도 조금 이리 뛰고 저리 뛰고, 돌고 돌고 거래하고. 병에 동전을 더 넣자.

Chat_Happening_WORK[P] |= 이제 일하러 갈게. 내가 얼마나 노력했는지 여신들이 보셨으면 좋겠어.
Chat_Happening_WORK[P] |= 일은 독실한 사람과 게으른 사람을 구분하지. 여신을 사랑하면 열심히 일할 수 있는 힘이 생겨.
Chat_Happening_WORK[P] |= 여신들은 내가 하려는 일을 축복해시지.
Chat_Happening_WORK[P] |= 나는 정직하고 좋은 일을 기대하고 있어.

Chat_Happening_WORK[J] |= 일하고 있어! 너무 좋아! 내가 싫어하지 않을 때!
Chat_Happening_WORK[J] |= 일하고 있어. 나는 냉장고에 있는 버터만큼이나 열심히 일하지. 버터만 있다면!
Chat_Happening_WORK[J] |= 일을 좋아해야지! 사람들이 웃는 모습을 보면 일이 쉬워져. 나는 항상 웃는 얼굴로 일하러 가. 그래서 돼지를 못 타거든.
Chat_Happening_WORK[J] |= 업무 시간! 올바른 태도를 가진다면 일은 결코 힘들지 않지.

Chat_Happening_WORK[B] |= 나는 퀼에서 가장 열심히 일하기 때문에 유명해졌지.
Chat_Happening_WORK[B] |= 일하긴 하지만 나처럼 재능 있는 사람에게는 정말 어려운 일이지.
Chat_Happening_WORK[B] |= 최우수 직원 상이 있다면 내가 받을 거라고 확신해. Pie에는 Me가 없지만 Meat에는 Me가 있잖아.
Chat_Happening_WORK[B] |= 나는 일을 해야 하지만 종종 일이 저절로 나를 위해 일을 하기도 해. 무슨 말인지 나도 모르겠어.

Chat_Happening_WORK[Q] |= 일하러 가야지. 그래야만 동전을 씹을 수 있을 만큼의 브라스를 얻을 수 있으니까.
Chat_Happening_WORK[Q] |= 내 대화는 내가 일하고 있다는 것을 암시하기 위한 것이지만, 종종 내가 누구인지 잊어버려. 헷갈리니? 나도.
Chat_Happening_WORK[Q] |= 나는 일하는 척하겠어. 이 게임은 롤플레잉 게임이니까!
Chat_Happening_WORK[Q] |= 브라스 획득하기. 나무나 흙을 얻으면 부자가 될 수 있지.

Chat_Happening_WORK[C] |= 일하러 가야지. 내 찡그린 표정에서 알 수 있듯이 정말 행복해.
Chat_Happening_WORK[C] |= 나는 '일'을 해야 해. 내 불쾌감을 강조하기 위해 쉼표를 거꾸로 써서 말했어.
Chat_Happening_WORK[C] |= 내 직업은 꽃에 붙은 벌과 같아. 짜증나지. 그냥 윙윙거리기만 하면 좋겠어.
Chat_Happening_WORK[C] |= 일에 대한 불평 때문에 허리가 아파.

Chat_Happening_FARMING |= 흙 속에서 일하고 있어. 작물 밭을 훌륭하게 가꾸어야하거든.
Chat_Happening_FARMING[Spouse] |= 네가 작물을 돌보라고 해서, 책임감을 조금 느끼고 있는 중이야.
Chat_Happening_FARMING[Spouse] |= 농사를 짓는 중이야. 사랑하는 사람을 대하는 것처럼, 흙에도 관심이 필요해.
Chat_Happening_FARMING[Spouse] |= 흙 속에서 일하고 있어. 작물 밭을 훌륭하게 가꾸어야하거든.
Chat_Happening_FARMING[Spouse] |= 농사일을 해야지. 농작물과 토양, 노동과 수고. 그 밭이 바로 우리의 식탁에 오르잖아.

Chat_Happening_GOHOME |= 집에 가지.
Chat_Happening_GOHOME |= 내 사랑스러운 집으로 향하고 있어.
Chat_Happening_GOHOME |= 내 집으로 돌아가고 있어.
Chat_Happening_GOHOME |= 그냥 집에 가는 중이야. 신나는 건 없어.

Chat_Happening_GOHOME[P] |= 아름다운 페이 신들을 생각하러 집에 갈게.
Chat_Happening_GOHOME[P] |= 집에 갈 시간이야. 사물의 질서 속에서 우리의 위치를 되돌아보는 시간이지.
Chat_Happening_GOHOME[P] |= 나는 명상하기 위해 소박한 집으로 돌아 갈 거야.
Chat_Happening_GOHOME[P] |= 내 작은 집을 위해 여신들을 축복해야지. 지금 집으로 가고 있어.

Chat_Happening_GOHOME[J] |= 집은 마음이 있는 곳이지. 나는 침대 밑에 항아리에 보관해. 와헤이!
Chat_Happening_GOHOME[J] |= 불이 춤추는 걸 보러 집으로 돌아갈 거야. 정말 재밌어!
Chat_Happening_GOHOME[J] |= 집에 가는 중이야. 발걸음이 가벼워지네. 말 그대로 내 신발에 스프링 코일이 있어.
Chat_Happening_GOHOME[J] |= 집으로 돌아가게 되어 정말 행복해. 내 모든 추억과 물건이 있는 곳이니까.

Chat_Happening_GOHOME[B] |= 나처럼 갈 집이 없어? 아마 나만큼 좋지는 않겠지만.
Chat_Happening_GOHOME[B] |= 나는 멋진 옷을 자랑하며 즐거운 산책을 마치고 집으로 향하고 있어
Chat_Happening_GOHOME[B] |= 집에 갈 거야. 우리 중 일부는 좋은 집에 가서 사람들과 수다를 떨며 시간을 낭비하지 않아.
Chat_Happening_GOHOME[B] |= 실크 시트, 좋은 음식, 깨끗한 창문이 있는 집으로 돌아가야지.

Chat_Happening_GOHOME[Q] |= 집으로 돌아가야지. 크게 보면 별거 아니지만, 화장실도 있고 투명한 창문도 있어서 괜찮아.
Chat_Happening_GOHOME[Q] |= 집에 갈 시간이야! 나는 의자에 앉아 서까래에 있는 거미들을 바라보는 것을 좋아해. 거미들의 이름을 리타, 수, 케빈이라고 지었어. 슬프게도 밥은 짓밟혔어.
Chat_Happening_GOHOME[Q] |= 나는 집으로 걸어가고 있어. 세 개의 벽이 있는 집이 정말 마음에 들어요. 분명히 네 개인데, 그렇게 많이 세어볼 수가 없네.
Chat_Happening_GOHOME[Q] |= 모두가 내 이름을 아는 곳에 가고 있어요. 아니, 펍이 아니라... 집! 건배!

Chat_Happening_GOHOME[C] |= 집에 가는데 발이 아파. 요즘은 좋은 신발을 구할 수가 없어. 코블러 때문이야.
Chat_Happening_GOHOME[C] |= 집으로 돌아가고 있어요. 축축하고 냄새가 나. 불태우고 싶지만 너무 축축해.
Chat_Happening_GOHOME[C] |= 집에 갈 시간이야. 민들레가 효과가 있다면 그럴 거야. 재채기를 했는데 벌써 12시간이 지났네.
Chat_Happening_GOHOME[C] |= 집에 간다. 난 집에 가기 싫어요. 가끔 집에 있는 것도 좋지만 집에 가는 것이 싫을 뿐이야.

Chat_Happening_GARDEN |= 정원을 정리하고 있어.
Chat_Happening_GARDEN |= 정원을 가꾸고 있어.
Chat_Happening_GARDEN |= 그냥 소박한 정원을 가꾸고 있어.
Chat_Happening_GARDEN |= 정원 가꾸기에 좋은 날이네.

Chat_Happening_GARDEN[P] |= 정원 가꾸기. 사람을 더 나은 사람으로 만드는 것은 성장이지.
Chat_Happening_GARDEN[P] |= 정원 가꾸기는 자연의 풍요로움을 느낄 수 있는 가장 좋은 방법이야.
Chat_Happening_GARDEN[P] |= 정원을 가꾸어야 해. 자연에 보답하는 작은 방법 중 하나야.
Chat_Happening_GARDEN[P] |= 나는 소박한 나를 위해 소박한 것들을 키우고 있어. 여신들도 분명 이 점을 높이 평가할거야.

Chat_Happening_GARDEN[J] |= 정원 좀 가꾸어야겠어. 야외에서 신선한 공기를 마시니 정말 좋네!
Chat_Happening_GARDEN[J] |= 정원을 가꾸고 있어. 이보다 더 좋을 순 없지! 특히 정원 가꾸기를 좋아한다면 더더욱.
Chat_Happening_GARDEN[J] |= 정원을 가꾸면 미소가 지어져. 내 원예용 바지가 너무 꽉 끼는 것 같아.
Chat_Happening_GARDEN[J] |= 나처럼 나가서 정원을 가꿔봐! 정말 재미있어!

Chat_Happening_GARDEN[B] |= 내 훌륭한 정원을 잘 관리해야겠어.
Chat_Happening_GARDEN[B] |= 내 정원을 가꾸고 있어. 지나가는 사람들이 가장 먼저 보는 곳이니 겨자꽃을 가꾸어야 해.
Chat_Happening_GARDEN[B] |= 나는 정원을 가꾸어야 해. 어떻게 하면 다른 정원사들에게 깊은 인상을 남길 수 있을까?
Chat_Happening_GARDEN[B] |= 나는 정원을 가꾸고 있어. 나는 최고의 도구만을 사용하지.

Chat_Happening_GARDEN[Q] |= 나는 정원을 정리하고 있어. 나는 벌레들과 길게 이야기하는 것을 좋아해.
Chat_Happening_GARDEN[Q] |= 정원을 가꾸고 있어. 맞아, 나는 호르티가 무엇인지 전혀 몰라. 씨앗 요정인 줄 알았어.
Chat_Happening_GARDEN[Q] |= 나는 작은 정원을 가꾸고 있어. 허리를 구부릴 때마다 식물에 구멍이 나.
Chat_Happening_GARDEN[Q] |= 내가 뭘 하고 있는 것처럼 보여? 정원 가꾸기? 아, 맞아.

Chat_Happening_GARDEN[C] |= 내 정원이 나를 상대로 음모를 꾸미고 있는 게 분명해.
Chat_Happening_GARDEN[C] |= 정원 가꾸느라 허리가 아파. 정원을 가꾸는 것만 생각해도 허리가 아파.
Chat_Happening_GARDEN[C] |= 정원을 가꾸고 있어. 뻔한 질문에 계속 대답하지 않아도 된다면 더 많은 일을 할 수 있을 거야.
Chat_Happening_GARDEN[C] |= 이 정원은 정리가 필요해. 내가 뭘 하든 항상 더러워져.

Chat_Happening_GARDEN[Spouse] |= 그냥 잡초를 조금 뽑는 중이야.
Chat_Happening_GARDEN[Spouse] |= 보기 좋아지라고 정원을 조금 가꾸고 있어.
Chat_Happening_GARDEN[Spouse] |= 정원 정리 좀 해야겠어. 우리 집 브라우니는 정원을 별로 중요하게 생각하지 않는 모양이야. 사실 그렇긴 하지.
Chat_Happening_GARDEN[Spouse] |= 정원 관리하기 좋은 날씨야, 깔끔한 정원 없는 우리 부부의 집은 아무것도 아니라고 할 수 있지.

Chat_Happening_GARDEN[OwnKid] |= 정원 가꾸기를 해야 해요? 힘든 일이잖아요!
Chat_Happening_GARDEN[OwnKid] |= 벌레가 계속 나와요. 벌레는 웃는 얼굴을 하고 있어요.
Chat_Happening_GARDEN[OwnKid] |= 정원에서 일하라고 하셨잖아요. 불공평해요.
Chat_Happening_GARDEN[OwnKid] |= 나는 정원에서 놀고 있어요. 그러니까 열심히 일한다는 뜻이었어요.

Chat_Happening_GARDEN[OwnKidAdult] |= 정원을 가꾸는 일을 도와드리고 있어요. 고마워요.
Chat_Happening_GARDEN[OwnKidAdult] |= 이 나이에 꼭 이걸 해야 하나요? 정원 가꾸기는 정말 나이 드신 분들을 위한 거예요.
Chat_Happening_GARDEN[OwnKidAdult] |= 정원에서 내 손가락을 초록색으로 물들이는 중이에요.
Chat_Happening_GARDEN[OwnKidAdult] |= 집안일하기. 제 나이에도 여전히 용돈을 받을 수 있나요?

Chat_Happening_RELAX |= 그냥 좀 쉬고 있어.
Chat_Happening_RELAX |= 느긋하게 쉬고 있어. 편안한 몸, 편안한 마음.
Chat_Happening_RELAX |= 조금은 긴장을 풀고 세상을 즐길 시간이지.
Chat_Happening_RELAX |= 재충전을 하고 있어. 그런 표현이 맞는 것 같아.

Chat_Happening_RELAX[P] |= 여신들도 휴식을 취하는데, 나도 휴식을 취하고 있어.
Chat_Happening_RELAX[P] |= 사랑하는 수호자들을 생각하며 명상하고 있어.
Chat_Happening_RELAX[P] |= 나는 휴식을 취하고 있다. 몸은 언제든지 예배를 드릴 준비가 되어 있어야 하지.
Chat_Happening_RELAX[P] |= 너희 죄인들을 위해 쉬고 있어, 친구.

Chat_Happening_RELAX[J] |= 나만의 시간을 갖고 있어. 저녁 식사 후 화장실 가는 시간에 책을 읽는 시간이 가장 좋은 시간이야.
Chat_Happening_RELAX[J] |= 약간의 휴식을 취하고 있어! 웃으면 기분이 좋아져!
Chat_Happening_RELAX[J] |= 게으른 게 아니야. 아무것도 하지 않을 권리를 표현하는 것뿐이야. (윙크)
Chat_Happening_RELAX[J] |= 쉬어! 하지마! 방귀 뀌고 싶으면 뀌어!

Chat_Happening_RELAX[B] |= 난 충분한 휴식을 취하고 있어. 성공을 위해서는 휴식이 필요하지.
Chat_Happening_RELAX[B] |= 휴식은 나쁜 사람을 위한 것이야. 나는 휴식을 취하고 있지.
Chat_Happening_RELAX[B] |= 시간은 누구에게도 멈추지 않아. 뭐, 좋은 사람만 빼고, 그래서 나는 쉬고 있어.
Chat_Happening_RELAX[B] |= 최고를 원하는 삶을 살면 쉴 시간이 생기지. 주로 다른 사람에게 돈을 주고 일을 맡길 여유가 있기 때문이야.

Chat_Happening_RELAX[Q] |= 인생은 다람쥐 사탕 상자와 같아. 그 안에 견과류가 들어 있다는 것을 항상 알고 있지. 그렇기 때문에 긴장을 풀고 여유를 가져야 해, 다람쥐 씨.
Chat_Happening_RELAX[Q] |= 그냥 눈을 쉬고 있어. 하지만 나머지 몸은 여전히 매우 활동적이야.
Chat_Happening_RELAX[Q] |= 그냥 나만의 시간을 갖고 있어. 심호흡을 하고 다시 숨을 내쉬는 것을 잊지 않으려고 노력하는 시간이야. 가끔 잊어버리고 멍해지기도 해.
Chat_Happening_RELAX[Q] |= 내 일과표에 휴식이라고 적혀있어서 그렇게 하려고!

Chat_Happening_RELAX[C] |= 내 휴식 시간을 수다 때문에 방해받고 있어!
Chat_Happening_RELAX[C] |= 턱이 아파서 더 이상 말을 못 하겠어.
Chat_Happening_RELAX[C] |= 긴장을 풀려고 노력하지만 늘 그렇듯이 아무 일도 일어나지 않아.
Chat_Happening_RELAX[C] |= 그냥 터프우드에서 쉬는 게 낫겠어. 거기서 더 많은 평화를 얻을 수 있을 거야. 확실히 더 많은 조각이 있겠지.

Chat_Happening_RELAX[Spouse] |= 아아, 마음과 몸을 정화하는 휴식이야.
Chat_Happening_RELAX[Spouse] |= 우리 농장의 분주한 일상에서 잠시 휴식을 취하고 있어.
Chat_Happening_RELAX[Spouse] |= 아픈 근육에게 잠시 휴식을 주고 있어. 일정을 여유롭게 잡아봐, 자기.
Chat_Happening_RELAX[Spouse] |= 일상에서 벗어나 달콤한 휴식을 취해봐, 나의 달콤한 꿀단지.

Chat_Happening_RELAX[OwnKid] |= 놀이시간!
Chat_Happening_RELAX[OwnKid] |= 놀고있어요.
Chat_Happening_RELAX[OwnKid] |= 놀이시간이에요!
Chat_Happening_RELAX[OwnKid] |= 내 놀이 시간이에요. 주우우움!

Chat_Happening_RELAX[OwnKidAdult] |= 내가 하는 일에 관심을 가져주니 좋아요. 아니면 그냥 저를 확인하려는 건가요?
Chat_Happening_RELAX[OwnKidAdult] |= 끝없는 업무에서 잠시 휴식을 취하고 있죠.
Chat_Happening_RELAX[OwnKidAdult] |= 긴장을 풀고 우리가 여기 있는 것이 얼마나 행운인지 생각해봐요.
Chat_Happening_RELAX[OwnKidAdult] |= 휴식이 필요해요. 다 컸는데도 자식 노릇을 하느라 지쳐요.

Chat_Happening_SOCIALISE |= 친구들이랑 얘기하러 갈 거야.
Chat_Happening_SOCIALISE[OwnKid] |= 보이지 않는 친구들을 보고 싶어.
Chat_Happening_SOCIALISE[OwnKid] |= 내 친구들과 이야기하고 싶어.
Chat_Happening_SOCIALISE[OwnKid] |= 내 영혼을 채우고 지성을 확장할 수 있는 깊고 의미 있는 인간관계를 찾고 있어.

Chat_Happening_STUDY |= 쉬이이잇, 나 공부하고 있어.
Chat_Happening_STUDY[OwnKid] |= 쉬이이잇, 나 공부하고 있어.
Chat_Happening_STUDY[OwnKid] |= 질문한대로 숙제하고 있어요.
Chat_Happening_STUDY[OwnKid] |= 사실, 허구, 말도 안 되는 문학 작품을 통해 생각을 넓히고 있어요.
Chat_Happening_STUDY[OwnKid] |= 공부를 통해 지능 지표를 높이려고 노력 중이에요.

Chat_Happening_MILKCOW |= 누군가는 젖소의 젖을 짜줘야 하니까 내가 할게.

Chat_Happening_MILKCOW[Spouse] |= 우리 사랑스러운 젖소에서 우유를 좀 가져올게.
Chat_Happening_MILKCOW[Spouse] |= 젖을 좀 짜려고.
Chat_Happening_MILKCOW[Spouse] |= 내 이름이 적힌 양동이가 있어. 내가 우유라고 불렸다면.
Chat_Happening_MILKCOW[Spouse] |= 누군가는 젖소의 젖을 짜줘야 하니까 내가 할게.

Chat_Happening_MILKCOW[OwnKidAdult] |= 저 젖소에게 젖을 짜줘야 하나요? 젖소 젖을 보면 몸서리쳐져요.
Chat_Happening_MILKCOW[OwnKidAdult] |= 젖소 젖을 짜러 가요. 건강하고 튼튼하게 살려면 우유가 필요해요.
Chat_Happening_MILKCOW[OwnKidAdult] |= 소가 내 이름을 부르고 있어요. 음, 나는 젖소라고 부르지는 않지만 젖을 짜달라고 말하는 것 같네요.
Chat_Happening_MILKCOW[OwnKidAdult] |= 젖을 짜러 가려고요.

Chat_Happening_GET_HONEY |= 벌들과 이야기를 나누고 무엇을 교환할 수 있는지 알아볼 거야.

Chat_Happening_GET_HONEY[Spouse] |= 허니, 나는 꿀을 모으고 있어.
Chat_Happening_GET_HONEY[Spouse] |= 벌들과 이야기를 나누고 무엇을 교환할 수 있는지 알아볼 거야.
Chat_Happening_GET_HONEY[Spouse] |= 벌에 쏘일 것 같아. 요즘 꿀 가격이란!
Chat_Happening_GET_HONEY[Spouse] |= 벌통에서 채취해야 할 꿀이 좀 있어서.

Chat_Happening_GET_HONEY[OwnKid] |= 꿀 시간! 냠!
Chat_Happening_GET_HONEY[OwnKid] |= 우리 모두를 위해 꿀을 좀 가져와야겠어요. 이야!
Chat_Happening_GET_HONEY[OwnKid] |= 벌이 저를 쏘았어요! 이건 불공평해요!
Chat_Happening_GET_HONEY[OwnKid] |= 여왕벌 부인이 케이크를 주면 꿀을 가져가도 된다고 했어요. 정직하네요.

Chat_Happening_GET_HONEY[OwnKidAdult] |= 제가 가장 좋아하는 시간이에요. 벌을 피하고 꿀맛 같은 시간을 보낼거에요.
Chat_Happening_GET_HONEY[OwnKidAdult] |= 나는 필요에 따라 꿀을 모으고 있어요. 우리의 필요죠.
Chat_Happening_GET_HONEY[OwnKidAdult] |= 달콤한 꿀 좀 가져올게요!
Chat_Happening_GET_HONEY[OwnKidAdult] |= 호박즙을 마시고 올게요. 아니, 아직 맥주는 안 돼요.

Chat_Happening_EXPLORE |= 탐험하러 갈거에요!
Chat_Happening_EXPLORE[OwnKid] |= 방랑하며 재미있는 것을 찾으러 나가려고요.
Chat_Happening_EXPLORE[OwnKid] |= 탐험하러 갈거에요!
Chat_Happening_EXPLORE[OwnKid] |= 탐험 시간!
