SiblingReturnFromTomb |= 돌 원 위에 서 있었더니 문이 열렸다고?! 무덤? 그랜드마스터? 거울? 재버워크!
SiblingProgress4 |= 어쨌든, 코퍼팟에 있는 상인은 무시무시한 재버워크를 봤다고 주장했어. 이빨이 새하얗게 변했다고. 으악.
SiblingProgress4 |= 내가 코퍼팟에서 뭘 하고 있었냐고? 그냥 둘러보고 있었어. 거기 사람들이 참 흥미롭더라. 그 사람들에 대해 잘 알아? 그 사람들 머리가 정말 맘에 들어.
SiblingProgress4 |= 어쨌든 민들레 시계는 아무도 멈추지 않으니 탐험을 계속해야지!
SiblingProgress5 |= 안녕. 잘 지내고 있어? 나무에 또 한 단계 올라간 거야? 퀼에서 네 이름이 확실히 더 유명해졌어.
SiblingProgress5 |= 기술을 배우기 위해 몇 명이 들렀지만, 퀼에서 눈에 띄는 점은 마을에 사는 사람들의 야망이 부족하다는 거야. 사람들은 세상으로 나가서 세상의 멋진 방법을 배워야 해! 그렇지 않아? 사방에 보물이 있다고.
SiblingProgress6 |= 안녕! 너구나. 집에서 나를 발견한 건 행운이야. 탐험에 대해 더 많이 배우려고 노력해왔고 마스터가 되어서 거의 정점에 도달했거든. 더 서쪽으로 가고 싶은데 북쪽의 부서진 다리가 정말 짜증나!
SiblingProgress6 |= 내가 이미 발견한 것들을 봐야해. 노래하는 꽃, 이상한 광석, 발음조차 할 수 없는 식물.
SiblingProgress6 |= 다른 마스터들을 찾아가 그들의 방식을 배우기 시작했어. 정말 흥미로워. 고대의 표현대로 레벨이 올라가고 있어.
SiblingProgress7 |= 아, 내 쌍둥이! 아주 유명한 파이나 사람보다 더 유명하지.
SiblingProgress7 |= 나는 반려동물에 중독되어 있어. 여행 중에 잃어버린 것을 찾아봐. 동물들이 나에게 온갖 얘기를 해줘. 동물들과 함께 걷고 동물들과 이야기를 나누지. 동물들과 함께 끙끙대고 끽끽대고 꽥꽥거리기도 하고. 정말 많이 하지!
SiblingProgress7 |= 터프우드의 공포로부터 안전하다고 느끼게 해줘. 빨리 죽여버렸으면 좋겠어. 저 사악한 숲에서 증오가 쏟아져 나오지만 내겐 솜털같은 방패와 어두워지지 않는 마음이 있거든.
SiblingProgress7 |= 그러니 준비를 단단히 해!!
SiblingProgress8 |= 안녕. 방금 탐험을 마치고 돌아왔어. 네가 믿지 못할 것들을 봤어. 누워도 될 정도로 큰 괴물의 발자국.
SiblingProgress8 |= 이런 일들은 제정신인 사람도 미치게 만들 수 있지.
SiblingProgress8 |= 최근에 흥미로운 곳에 가본 적 있어? 아, 그 무덤에 다시 들어갔꾸나? 이제 가까워졌나?
SiblingProgress8 |= 계속하도록 해. 절대 포기하지 마! 절대 항복하지 마! 이게 바로 퀘스트야.
SiblingProgress9 |= 내 쌍둥이가 돌아왔다! 거의 전설에 가까운 내 혈육이 돌아왔어! 우리 둘이서 얼마나 멀리 왔는지!
SiblingProgress9 |= 유일한 차이점은 나는 한 가지 기술을 마스터하는 것의 진정한 아름다움을 아는 반면, 너는 모든 기술을 원한다는 것이지. 네가 정말 자랑스러워.
SiblingProgress9 |= 필요한 게 생기면 다시 찾아와. 내 나름대로 중요한 일을 하고 있었어. 지금은 좀 기다려도 되지만 꼭 돌아와. 그동안 조심해야 해.
SiblingFindJabber |= 검을 가져왔구나! 넌 정말 전설이야! 슈에서 자랐지만 이제는 완전 무장을 하고 재버워크의 엉덩이를 차버릴 준비를 하고 있는 내 동생!
SiblingFindJabber |= 저 더러운 괴물을 죽일 준비가 됐어?
SiblingFindJabber |= 독이 어디에 숨어 있는지, 독이 어디로 스며드는지 알고 싶은거야? 내가 도와줄게. 나는 탐험과 연구를 통해 독거미를 찾을 수 있는 위치와 유인하는 방법을 정확히 알고 있어.
SiblingFindJabber |= 여행 중에 발견한 노래가 있어...
SiblingFindJabber |= "아주 어두운 터프우드에서 증오의 마음을 찾을 수 있고, 히얄라이트의 부적을 차고 폭풍 속에서 싸움을 찾을 수 있고, 깊은 빛의 칼날을 휘두르면 땅은 사랑과 희망을 지킬 것이다."
SiblingFindJabber |= 이 히얄라이트가 있어야 부적을 만들 수 있어. 내가 있어서 다행이지?
SiblingFindJabber |= 전에 찾아냈다고 말한 이상한 광석을 이용해 코퍼팟의 대장간에서 부적을 제작했어. 지금까지 작업해본 것 중 가장 단단한 금속이라고 하던데. 안아주면 줄게. 농담이야 네 거야.
SiblingFindJabber |= 검과 칼을 들고 증오의 땅을 해방해줘. 그리고 꼭 이겨야 해. 네 뼈를 보고 울고 싶지 않아, 게으른녀석아.
PaigeUnwell |= Glad you made it. These marshes can be pretty hazardous! Now, to the task at hand. 
PaigeUnwell |= We need your help. We're all overwhelmed by negative emotions. A suffocating spirit has entered Woemarsh. It is as though there is something evil in the water. 
PaigeUnwell |= I am convinced from my research that whatever has tainted us is beyond this gate. Please help us. I was told you were the one who could. 
PaigeUnwell |= Take this book of mine. There are clues within. Once you have found what is needed, can you meet me back here?
PaigeEnterDreadwaters |= Ah! So, you actually do have the means to cleanse the Unwell? Then I shall open the gate for you right away.
PaigeEnterDreadwaters |= You are about to enter Dreadwaters. Be warned. There is something in there. Avoid it at all costs. He comes out at night, protecting the area from explorers, but do not let him get you. I speak of Daddy Long Legs. If you can avoid him, you must get inside the tomb to find the well. Look for the mechanisms to open the seals. 
PaigeOutro |= You did it! Already I feel so much better! It's like a huge weight of pure hatred has been lifted. Goddesses bless you. Please take this book as a reward. It tells you more about us folks of Woemarsh. You may find it insightful. Oh, joyous day!
페이지 터너INTRO |= Now, please forgive us locals if any of us are rude towards you; we can't help it. I hope my theory on why this is happening is correct and that something can be done. P.S., you are ugly.
메이슨 메이커INTRO |= I'm the finest smithy in Quill, what of it? If you need anything, you better not have candy money.
게이지 메이커INTRO |= Tongs of fire! What do you want? Can't you see I have better things to do, like breathe?
에이바 갠더INTRO |= Hello. Nice to see a new face as long as you are spending money in our shop. Otherwise, I couldn't care less who you are.
구즈 갠더INTRO |= Yes, I'm Goose. Do you need something? Whatever our shop sells is all we have, so don't go asking for anything else
샐 루운INTRO |= Have to pardon me love, but everyone has the grumps lately. Can't blame the beer on this one, as our ales make you forget everything. I'm Sal, by the way.
레이븐 루운INTRO |= What do you want? Raven's my name, and I like the colour black. It's dark. Darker than a tomb at midnight. I can tell you have darkness in you too. I would like that, but I hate everything right now.
세이지 어니언INTRO |= I'm Sage the local healer. Pop by the apothecary anytime. Just don't waste my time with tiny spots or little coughs. Or anything, really.
펄 어니언INTRO |= I don't like the look of you. Vale? Thought so; you stink of pigs and backwardness.
샬롯 어니언INTRO |= Are you talking to me? Are you talking to me? I don't see anyone else here. You are driving me nuts!
루이스 플러싱INTRO |= Sorry can't really chat much. Welcome though. Got a headache and not feeling my usual cheery self.
SiblingProgress10 |= A Vorpal Sword, eh? Aren't they weapons of darkness? Well, if that's what the Grandmaster says, then you must have one. And once again, like when we first learnt to walk, I can help guide you!
SiblingProgress10 |= From what I gather, Vorpal Swords are made from Abysstone. And where do you get that rarest of metals? Well... er... it's Wyrm poop. However, to get the Wyrm to poop it out, we need to feed it a particular foodstuff.
SiblingProgress10 |= I don't know what that food is, but Old Mother Hubbard may know. If she does help you, then feed that to the Wyrm and collect its poop.
SiblingProgress10 |= You don't know where the Wyrm is?! Well, neither do I, and I have been everywhere. I expect it is somewhere underground, though! 
SiblingProgress10 |= I'll do some digging. Not literally. You visit Old Mother Hubbard and return if you can get a recipe.
MotherHubbardWyrmRecipe |= Oh, hello! I was just thinking about you when up you pop, like some sort of corn that pops.
MotherHubbardWyrmRecipe |= A Wyrm? Laxatives? My dear, I don't make recipes to give people the squirties! Instead, I bake goods that soothe the tum and are easy on the bum.
MotherHubbardWyrmRecipe |= Yet, seeing how this is to rid the land of evil, I will help. I do have something in my old cookery book that I wouldn't wish on my worst enemy.
MotherHubbardWyrmRecipe |= Here it is. Lambton Pie. Baked in ancient times to celebrate the killing of a particularly nasty Wyrm. Of course, we don't want to kill it, but this is one spice the Wyrms won't like!
SiblingPieMade |= Oh, well done! That was unnervingly easy. I was expecting you to go on some big old fetch quest.
SiblingPieMade |= Well, while you were gone, I had a rummage through my library. There's a passage in a book I found called 'Legendary Wyrms - Where are they?' that says a monstrous Wyrm the size of a tunnel dwells in the depths of Woemarsh.
SiblingPieMade |= I can't recall seeing any mines or caves in that region, but you can bet your last radish it will be in Dreadwaters, which was once a cave-dwelling community.
SiblingPieMade |= And please don't let Daddy Long Legs get you.
FairweatherHAVECHILDREN |= 자, 우리가 여기 있군. 때가 왔다! 세월은 넝쿨처럼 너희 인간에게 기어오른다.\n우리의 계약에 동의했듯이, 너희 껍질은 나에게 넘겨져야 한다.\n다음 화신을 선택할 때가 왔다.\n너의의 경험과 힘이 그들의 것에 더해져 인생의 춤은 계속된다.\n지금 선택하되 현명하게 선택하라...
FairweatherNOCHILDREN |= 때가 왔다! 세월은 넝쿨처럼 너희 인간에게 기어오른다.\n우리 계약에 동의한 대로, 너희 껍질은 나에게 넘겨져야 한다.\n다음 화신을 선택할 시간은 바로 지금이다.\n너에게는 뚜렷한 상속자가 없는 것으로 보아, 나는 훌륭한 선택을 제시한다. 슈의 고아들.\n지금 선택하되 현명하게 선택하라...
FairweatherUPROOT |= 그렇게 하라! 모든 소유물과 기술이 선택한 상속인에게 승계된다. 그동안 쌓아온 우정은 조금 줄어들 것이며. 너의 인생은 새롭게 시작될 것이다. 선택한 상속인이 18세 미만인 경우, 시간이 흘러 18세부터 시작된다.
FairweatherCHANGEOUTRO |= 훌륭한 선택이다. 셸로 오라, 굴 속으로.\n곧 다시 만나자, 몽상가여.
CircleTombTaskName |= The Circle and the Tomb
CircleTomb1 |= Find the pad in the Circle
CircleTomb1Desc |= Stand on the pad in The Circle. You can find this region east of Stonecrown. The pad sits below a large mysterious door.
CircleTomb2 |= Enter the tomb
CircleTomb2Desc |= Enter the tomb in The Circle and explore inside.
ReturnSiblingTaskName |= Return to your sibling <SiblingName>
ReturnSiblingDescription |= Return to Stonecrown to your sibling's house and tell them of your discovery.
ChickenMissingValeIntro |= Oh, come to help me find my chickens have ya? Something was creeping about last night and scared em off. I found droppings leading north, but that's it. If you find em, can you bring em back to their coop? They won't have left the Vale I'd wager. Probably gone somewhere quiet and secret.
ChickenMissingValeOutro |= Oh, you found the little chicken beggars! Thanks muchly. There's been worrying stuff happenin' lately. Strange noises, bad moods, trees bent out of shape. Weird stuff is brewing for sure. I heard more chickens had gone missing up in Summerdown. You should check out the noticeboard in Poppyhill, maybe? See if folks need help like I did. Anyway, here's yer reward.
ChickenMissingSDIntro |= How sweet of you to help me with the most fowl issue. My three little feathered friends have run away. I heard some strange growling in the night, and when I got my slippers on and looked out of the window, I saw nothing. It was too dark. So, I went outside with my lantern, and my beloved cluckers had fled the coop. Please find them, poor little dears.
ChickenMissingSDOutro |= Oh, Goddesses, bless you! My little chickens are back. I hope whatever scared them stays well away. Something evil has indeed been wandering amongst us. Folk in the village have been muttering about odd goings-on and a strange sense in the air. It has gone for the moment, but keep your wits about you if you wander into the darker places. And it would help if you visited Mellowbrook. I hear there may be more missing chickens there.
ChickenMissingMFIntro |= Badger! Badger! Oh, it's you. I shall drop the act. Need your aid. My chickens have taken fright at something and ran off south. Bring them back to their coop, and I'll pay you and think more kindly of you. Beep Beep! Oh, sorry, I forgot. Old habits die hard!
ChickenMissingMFOutro |= Oh, you found the chickens! Excellent. I hope whatever scared them has gone for good. There is an ill wind blowing lately. I've opened the gate north of here but I would avoid Toughwood if I were you. There is something amiss in there.
MISSING_CHICKENS_1_VILLAGER_GOSSIP |= Lost chickens, you say? I heard some clucking when I was in the woods recently. Funny-sounding cuckoos I thought!
MISSING_CHICKENS_2_VILLAGER_GOSSIP |= Lost chickens, you say? I heard some clucking when I had a romantic walk recently.
MISSING_CHICKENS_3_VILLAGER_GOSSIP |= Lost chickens, you say? I heard some clucking when I was in the village.
LemmySippFoundCuckoo |= Ah! Excellent! But do not think that I am going to do everything for you, <PlayerName>! You seem to have a bit of intelligence about you, so I think you should try to make the cure yourself.
LemmySippFoundCuckoo |= Head to the Powder Station in the preparation room where Boots does his good work and interact with it. We will make a chemist of you yet!
LemmySippMadeItem |= Oh, well done! You made it. If you ever want to use our powder station, we will charge you a nominal fee of 5 Brass per item. We don't allow youngsters to use the Cream station or Potion station, as they are a bit too dangerous for young fingers!
Icabod MoonGoodStoreIntro |= Ah, <PlayerName>! Thank you for coming! All you have to do for now is just serve any customers that come in. Just interact when they are standing at the counter. If they want to barter, please try to land your arrow in the green section! Usually, a shop owner can change stock and set prices, etc., but please just serve anyone that comes in for now. I will return at 1pm.
Icabod MoonGoodStoreOutro |= Thank you for that. I hope it all went well. Here's 15 Brass for your troubles. You should try owning a store one day. It's so much fun to keep an eye on stock and be flexible to the demands of your patrons. It's also a great way to earn Reputation!
WoemarshWandererTalk |= Off into Copperpot, are you? I would watch yourself in that village if I were you. Something is amiss, that's for sure. Used to be such a warm, friendly lot. They seem much colder these days. Something ain't right in the world. Watch yourself!
WoemarshGiftRejection |= I won't accept any gifts from you.
메이슨 메이커INTROPW |= Greetings! I'm a smithy, but you probably knew that. Enough about me, though. We are indebted to you for what you did, although don't go thinking that means extra discounts.
게이지 메이커INTROPW |= Hey, it's the purifier of water! Welcome! You must be pretty brave to have been through Dreadwaters! I am Gage. Wish I was as brave as you!
에이바 갠더INTROPW |= Hello. It's nice to see a new face around. I have heard gossip about your exploits, though. I also once saw Daddy Long Legs. I've not been able to sleep properly since.
구즈 갠더INTROPW |= Yes, I'm Goose. Do you need something? I have been a trader all my life, and due to our little 'curse' I will probably be one for a long time!
샐 루운INTROPW |= Nice to meet a local legend! Bad things in the water are never good for business. I rely on that water to make the ale go a bit further, but shhh, trade secret.
레이븐 루운INTROPW |= Did you see Daddy Long Legs in Dreadwaters? He is, like, my hero. I bet he kicks all sorts of arse, and I bet his crib is off the scale dark! I'm Raven by the way. I changed my name from Percy to reflect my hobbies.
세이지 어니언INTROPW |= I'm Sage, the local healer. If you need anything after your scary quest, then I'm your man.
펄 어니언INTROPW |= Hello. Nice to meet you, <PlayerName>. Do you like dressing up too? Those of us from Woemarsh continue the traditions of our ancestors, which is why we dress way cooler than anyone else in Quill.
샬롯 어니언INTROPW |= Woah, it's you! The cleanser of wells. However, you could have also gotten rid of Daddy Long Legs, so we no longer have to burn those stinky old candles! I'm Charlotte, by the way. My last name is Onion, probably because I make you cry.
루이스 플러싱INTROPW |= Hey there! I'm Dennis. Not really. My name is Frank. Ok, ok, it's Mac. Charlie? Oh, ok, it's Lewis. I just can't be serious, man! My disposition is to be always sunny and a delight. If you know any excellent pranks, I did them first. I annoy the others, but we all live a long old time, so we've got to keep it fun! Don't you agree, Frannie? Or is it Freddie? Only kidding, <PlayerName>!
FairweatherRepProgress1 |= 첫 번째 이정표에서 이끼를 긁어낸 것 같구나. 내 아이를 계속 할퀴어라. 결국 손톱은 더러워지겠지만, 돌은 깨끗해지고 너의 이름이 그 위에 새겨진 것을 볼 수 있을지니. 이정표를 긁어낼 때마다 목적지가 가까워질 것이다.
FairweatherRepProgress2 |= 길을 한 걸음 더 나아가라. 전설을 드 높일 수 있는 방법은 많지만 작은 발걸음부터 내딛으라. 우리는 네가 넘어져 뼈가 부러지는 일을 원치 않으니.
FairweatherRepProgress3 |= 너의 발전은 고무적이구나! 너의 잠재력은 시럽처럼 온 땅에 스민다. 곧 너의 달콤함이 그것을 덮을 것이다. 냄새를 맡으면 중독되겠지.
FairweatherRepProgress4 |= 계속하여라, 친구. 너의 평판이 높아지고 보상이 맥주처럼 흐르기 시작할테니. 꾸준한 손길과 예리한 시선으로 보상을 주시하라. 거의 절반쯤 왔다, 친구.
FairweatherRepProgress5 |= 진흙탕 속의 또 다른 선을 넘었구나. 너의 존재감이 커지고 끝없는 가능성에 내 털은 곤두 서있다. 절대 속도를 늦추지 말고 앞으로 나아가라, 친구여.
FairweatherRepProgress6 |= 가을이 태양을 가리고 내리는 눈을 기다리듯이 퀼은 너의 귀환을 기다린다. 하지만 겨울은 결코 이곳에 숨지 않는다. 그것은 영원합니다. 너는 영원한 겨울이 될 것이야.
FairweatherRepProgress7 |= 점점 더 가까이, 딱정벌레가 못에 다가가고 있다. 친구여, 네 운명에 도달하기 위해 최선을 다해라. 넌 너무 가까이 다가가고 있어, 작은 딱정벌레야. 저 더러운 재버워크를 네 가시 위에 떨어뜨려라!
FairweatherRepProgress8 |= 느껴지는가? 너를 통해 흐르는 힘이 느껴지는가? 동족의 찬사를 느낄 수 있는가? 찬사의 따뜻함이 느껴지는가?\n이 마지막 단계에서 명성과 행운이 너의 마음을 흐리게 두지말아라. 임무의 끝이 가까워지고 있지만, 그것은 단지 세 가지 중 첫 번째에 불과하다. 집중력을 유지하면 세상이 손바닥 안에서 돌아갈 것이다. 세상이 돌아간다는 사실은 알고 있지?
FairweatherRepProgress9 |= 한 걸음만 더 가면 된다. 용기를 내거라, 친구여. 네게서 기대감이 흐르는 게 느껴져. 적이 위협하려 했으나 너의 마음은 맑아야 한다. 곧 두려움을 직면하고 그 두려움을 잠재울 수 있을테지.
FairweatherRepProgress10 |= 전설의 탄생이구나! 친구인 네가 정말 감동적이고 자랑스럽다. 하지만 가장 어려운 부분은 아직 오지 않았어. 자네는 할 수 있겠나?
FairweatherTaskComplete |= 젊은 나이에 이룬 대단한 업적이구나. 전설 그 이상이야. 이 땅에서 증오가 사라지고 너의 잠재력이 용광로처럼 빛나고 있다. 앞으로 시련이 있겠지만, 지금은 승리의 달콤함을 맛보거라. 높은 자리에 오를 자격을 얻었으니까. 꿈은 계속되지만 깨어날 날이 올 것이다.
DDLSafePassageT1 |= 나를 두려워할 필요는 없어. 지금은 아니야. 아냐, 아냐, 아냐.\n페어웨더가 너를 내버려두라고 했어. 우리는 거래를 했어. 그래, 거래가 이뤄졌어. \n웜을 만나러 간다고 들었어.\n내 뒤에 있는 저 문이 네가 가야 할 곳이야. 아래로, 아래로, 아래로. 맨 아래로 가봐. \n거기에 웜이 살고 있어. \n맞아, 지금은 네가 나에게서 안전하지만 웜 - 웜은 거래를 하지 않아!
포트INTROShort |= First, you have the Kynseed gotten,\nPlant it now lest it be rotten.
포트INTROShort |= Grow the tree and roots so deep,\nA legacy that will f'rever keep.

ThatterwayTutIntro |= 오! 너는 정말 행운아구나! 새터웨이가 너를 찾았어. 길을 안해하는 작은 요정이란다. 일기를 살펴보자...
ThatterwayTutPress |= 훌륭해! 이제 <thatterway>를 누르면 목적지를 알려준단다. 매우 편리하지! 새터웨이는 과제를 수행을 위한 대부분의 목적지는 물론, 찾아야 할 사람들의 우편함까지 안내해 준단다. 이카보드의 상점으로 따라가보렴!
IcabodInStore |= 문 앤 선즈에 오신 것을 환영합니다! 판매할 멋진 물건이 있다면 왼쪽 상단에 있는 해당 유닛을 사용하세요. 물건을 구매하려면 받침대에 있는 아이템과 상호작용하면 됩니다. 이 정도 가격이면 누가 경쟁자가 필요하겠어? 이 표어를 위해 노력해야겠어.
UncleBillGotSickle_KBM |= 아! 하나 얻었구나! 멋지단다. 인벤토리를 열고 사용하고 싶은 아이템을 핫바에 드래그한 다음 해당 키를 눌러 장착하고 <action>를 눌러 사용하렴.
UncleBillGotSickle_Gamepad |= 아! 하나 얻었구나! 멋지단다. <hotbar1> <hotbar2> 또는 <hotbar3>을 길게 눌러 방사형 메뉴에 할당해 보렴. 다른 카테고리를 선택하려면 왼쪽 스틱 위 또는 아래를 사용하고, 해당 카테고리 내에서 선택하려면 왼쪽 또는 오른쪽을 사용해보렴. 장비를 장착해보자꾸나. 각 버튼에 아이템을 할당하고 해당 버튼을 탭하여 장착한 다음 <action>를 눌러 사용하렴.

UncleBillWeedsCleared |= 멋지게 잘랐구나, <PlayerName>! 이제 보상을 받으렴!
UncleBillWeedsCleared |= 집 안에 커스터마이징 테이블이 보이니? 상호작용을 하면 농장을 포함해 농장에서 커스터마이징할 수 있는 모든 영역이 표시된단다. 집 왼쪽에 있는 부지를 네가 꾸밀수 있게 주마!
UncleBillWeedsCleared |= 해당 플롯을 선택하면 편집 모드로 전환된단다.
UncleBillWeedsCleared |= 물건을 옮기거나 완전히 제거할 수도 있어. 화면 컨트롤을 따라하고. 문제가 발생하면 왼쪽 상단에서 도움말을 이용할 수 있단다.
UncleBillWeedsCleared |= 카탈로그를 넘기면 잠금 해제된 아이템을 찾아볼 수 있어.
UncleBillWeedsCleared |= 더 많은 아이템은 도전에서 잠금 해제하거나 선물 및 보상으로 받거나 상인에게서 구매하렴.
UncleBillWeedsCleared |= 농장에 있을 때 지도 버튼을 눌러 커스터마이징에 액세스할 수도 있단다.
UncleBillWeedsCleared |= 작은 정원에서 즐거운 시간을 보내렴! 언젠가 더 많은 공간을 확보할 수 있을 거야!


UncleBillAfterTwigLetter |= 새 친구가 생길 것 같구나. 트위그는 농장 꼭대기의 강 건너편에 살고 있어. 안타깝게도 썩은 오래된 나무 다리가 무너졌으니 가서 인사하고 싶다면 수리가 필요해. 한번 가보는 건 어떨까? 재미있을 것 같네!
UncleBillAfterTwigLetter |= 자원이 필요하지만 내가 준비해 두었단다. 하지만 추가 인력이 필요할 수도 있어. 시도해보고 싶다면 다리 옆에 있는 청사진과 상호작용해 보렴. 거기에는 해야 할 일을 찾는 데 도움이 되는 메모가 있단다.
UncleBillAfterTwigLetter |= 가기 전에 페스티벌 그린의 시장에서 씨앗이 좀 필요해. 여기 4 브라스가 있다. 어떤 씨앗이든 괜찮아. 씨앗을 얻으면 여기로 돌아와서 빈 농경지와 상호작용하여 씨앗을 심으렴.
UncleBillAfterTwigLetter |= 바쁜 하루를 보내고 있으니 힘내렴!
SiblingBridgeFinished |= 장인의 솜씨가 돋보이는 다리구나! 앞으로 천 년은 더 버틸 수 있을 거야. 아니면 오기르가 뛰어오르면 장담 못하지만.

SiblingWhistle |= <PlayerName>! 내가 뭘 찾았는지 봐! 재미있지 않아?! 애완동물 호루라기야. 여기, 가져가. <whistle>을 누르면 모든 애완동물 목록을 불러올 수 있어. 소환하거나 집으로 보내거나 상태를 확인할 수 있지. 가서 트러플을 탈 준비를 해보는 건 어때? 드루이다의 교차로에서 내 최고 기록을 깨봐!
SiblingRaceWon |= 오오오, 내 기록을 깼구나? 돼지 몰이 실력이 대단한걸. 퀼 곳곳에 트랙이 있나 보더라. 마을 게시판에서 도전 과제가 있는지 잘 살펴봐. 잘했어.

MotherHubbardMilk |= 네? 누구세요? 오! 내 우유를 가지고 있니? 그렇다면 들어오렴!
HousePaintingFinished |= 훨씬 낫네! 여기가 훨씬 좋아졌어. 드루이다는 너의 노고에 고마워하실거야. 언젠가 이 농장을 물려받게 된다면 원하는 대로 꾸밀 수 있을 거야!
Day11Intro |= Hello there! Up and at it and ready for the day?
Day11Intro |= There's an event you might like to try today down at Festival Green.
Day11Intro |= Some of the villagers have organised a Summertide Jam-making contest.
Day11Intro |= Go find the Events Master on Festival Green for details.
Day11Intro |= You can use the stove in the farmhouse to make some jams. There are Strawberries, Blueberries and even Nightberries to pick around the farm. And the honey is in the hive.
Day11Intro |= Whatever you decide to cook, good luck! Don't worry if you don't win first time out. Some of Vale's adults do get very competitive! But, heh, you never know!

UncleDay13 |= 섬머타이드가 가까워졌구나! 
UncleDay13 |= I've got a lovely idea for something for you to build today. Did you know you can collect animal poo in a wooden bucket and pour it onto crop patches?
UncleDay13 |= You can use a Composter to store excess poops for when you need it. I've added a Pig Composter to your Customisation Catalogue if you want to build one. You'll need a little wood and a friend to help out. They don't take long to build. Just don't build it too near the house, eh? *wink*
UncleDay13 |= Oh, and this came for you. It's from that stickboy across the river. 

트위그LetterRead |= 흥미롭네. 나는 그 소년과 함께 스스로를 조심할 거야. 다리로 코를 긁는 사람은 절대 믿지마. 어쨌든, 오늘 조심해. 베일 밖에 괴물이 돌아다닌다는 소문을 들었어. 두렵지는 않지만, 네가 잡아먹히고 게으른 뼈가 막대사탕처럼 빨리는 건 싫어.
UncleBillShed |= 멋지구나! 협력해서 헛간을 완성했어! 농작물에 거름을 줄 똥통을 찾았단다. 도구 창고에 넣어두마. 양동이와 상호작용하면 안에 무엇이 있는지 확인할 수 있단다. 
UncleBillShed |= 나머지 부지는... 원하는 대로 자유롭게 꾸미렴. 농장의 지도 버튼에서 언제든지 커스터마이징에 접속한 다음, 잠금 해제된 아이템 카탈로그를 검색해 윌로우다운 주변의 잠금 해제된 땅에 배치할 수 있단다.

