GS_Stock01Title |= 잡화점 재고 1
AP_Herbalist_HerbMasterDesc |= 소화 특성이 있는 직원이 판매 4건 중 1건에서 100% 팁을 얻습니다.
AP_Herbalist_NaturesOfferingTitle |= 자연이 제공하는 것
AP_Herbalist_NaturesOfferingDesc |= 부작용으로 인한 평판 손실을 절반으로 줄입니다.
AP_Herbalist_Perk5Title |= 만개
AP_Herbalist_Perk5Desc |= 계절 당 1회. 동일한 4별 꽃 5개를 연속으로 선물하면 '꽃피우기' 이벤트가 발생합니다.

AP_Exotic_EveningHunt01Title |= 저녁 사냥 1
AP_Exotic_EveningHunt01Desc |= 저녁 시간에는 일반 몬스터의 드랍량이 +1 증가합니다.
AP_Exotic_EveningHunt02Title |= 저녁 사냥 2
AP_Exotic_EveningHunt02Desc |= 저녁 시간에는 희귀 몬스터의 드랍량이 +1 증가합니다.
AP_Exotic_BeastMasterTitle |= 비스트 마스터
AP_Exotic_BeastMasterDesc |= 용감함 특성이 있는 직원은 판매 4건 중 1건에 대해 100% 팁을 받습니다.
AP_Exotic_ImmunityTitle |= 면역
AP_Exotic_ImmunityDesc |= 플레이어에게 축복받음 특성을 활성화하면 부작용으로 인해 잃는 평판이 절반으로 감소합니다.
AP_Exotic_Perk5Title |= 피의 욕망
AP_Exotic_Perk5Desc |= 계절 당 1회. 동일한 4별 등급 몬스터 부속물 5개를 연속으로 선물하면 그날 밤 '블러드 문' 이벤트가 시작됩니다.

AP_Potion_Preparation01Title |= 준비 1
AP_Potion_Preparation01Desc |= 저녁에 제작하는 3별 등급 이하의 물약은 수확량이 두 배로 증가합니다.
AP_Potion_Preparation02Title |= 준비 2
AP_Potion_Preparation02Desc |= 저녁에 제작하는 모든 별 등급의 물약은 생산량이 두 배로 증가합니다.
AP_Potion_PotionMasterTitle |= 포션 마스터
AP_Potion_PotionMasterDesc |= 질병 방지 특성이 있는 직원은 판매 4건 중 1건에 대해 100% 팁을 받습니다.
AP_Potion_PotionAgingTitle |= 물약 숙성
AP_Potion_PotionAgingDesc |= 저장된 치료제를 사용하여 부작용으로 인한 평판 손실을 절반으로 줄입니다.
AP_Potion_Perk5Title |= 심기증 환자.
AP_Potion_Perk5Desc |= 계절 당 1회. 동일한 4별 물약 3개를 선물하면 '전염병' 이벤트가 발동합니다.

BS_Weapons_MuscleMemory01Title |= 근육 기억 1
BS_Weapons_MuscleMemory01Desc |= 퀼 광석으로 검, 망치, 와드를 연속으로 제작하면 생산량이 두 배로 증가합니다.
BS_Weapons_MuscleMemory02Title |= 근육 기억 2
BS_Weapons_MuscleMemory02Desc |= 페이 광석으로 검, 망치, 와드를 연속으로 제작하면 생산량이 두 배로 증가합니다.
BS_Weapons_WeaponsMasterTitle |= 웨폰 마스터
BS_Weapons_WeaponsMasterDesc |= 강인함 특성이 있는 직원은 판매 4건 중 1건에 대해 100% 팁을 받습니다.
BS_Weapons_WeaponsExpertTitle |= 무기 전문가
BS_Weapons_WeaponsExpertDesc |= 적 10명을 처치하면 고객이 서비스를 받기 위해 기다릴 수 있는 시간이 늘어납니다.
BS_Weapons_Perk5Title |= 군비 경쟁
BS_Weapons_Perk5Desc |= 계절 당 1회. 동일한 4별 무기 3개를 연속으로 선물하면 '유행' 이벤트가 발동됩니다.

BS_Tool_Perk1Title |= 열심히 일하는 자 1
BS_Tool_Perk1Desc |= 퀼 광석을 연속으로 사용하여 동일한 도구 유형을 제작하면 생산량이 +1 증가합니다
BS_Tool_Perk2Title |= 열심히 일하는 자 2
BS_Tool_Perk2Desc |= 페이 광석을 연속으로 사용하여 동일한 도구 유형을 제작하면 생산량이 +1 증가합니다.
BS_Tool_ToolsMasterTitle |= 툴 마스터
BS_Tool_ToolsMasterDesc |= 지능 특성이 있는 직원은 판매 4건 중 1건에 대해 100% 팁을 받습니다.
BS_Tool_ToolsExpertTitle |= 도구 전문가
BS_Tool_ToolsExpertDesc |= 도구로 10개 품목을 수확하여 고객이 하루 동안 서비스를 받기 위해 기다리는 시간을 늘릴 수 있습니다.
BS_Tool_Perk5Title |= 워커홀릭
BS_Tool_Perk5Desc |= 계절 당 1회. 동일한 4별 도구 3개를 연속으로 선물하면 '유행' 이벤트가 발동됩니다.

BS_Jewelry_PrecisionWork01Title |= 정밀작업 1
BS_Jewelry_PrecisionWork01Desc |= 매일 처음으로 채굴되는 페이 광석의 생산량은 +3입니다.
BS_Jewelry_PrecisionWork02Title |= 정밀작업 2
BS_Jewelry_PrecisionWork02Desc |= 매일 채굴되는 처음 3개의 페이 광석은 +3의 생산량을 생성합니다.
BS_Jewelry_CharmMasterTitle |= 참 마스터
BS_Jewelry_CharmMasterDesc |= 매력 특성이 있는 직원은 판매 4건 중 1건에서 팁을 100% 받습니다.
BS_Jewelry_CharmExpertTitle |= 매력 전문가
BS_Jewelry_CharmExpertDesc |= 고객이 하루 동안 서비스를 받기 위해 대기하는 시간을 늘립니다.
BS_Jewelry_Perk5Title |= 스타일리스트
BS_Jewelry_Perk5Desc |= 계절 당 한 번. 동일한 4별 장신구/부적 3개를 연속으로 선물하면 '유행' 이벤트가 발동합니다.
