STORYTASK_NPCSTORY_STEP_2_DESC |= Return to {TASKGIVERNAME}에게 돌아가 과제를 완료합니다.
STORYTASK_NPCSTORY_VEG_RARNEY_START |= 이제 우리는 절친한 친구인건가? 한 친구가 더 부유한 라이벌을 상대로 더 나은 기회를 얻도록 도와줄 수 있을까? 내 정원 꼭대기에 잠긴 문 봤어? 고대 구두공들이 갇혀 있어. 하! 옛날 구두수선공들이 잔뜩 있네! 하하! 사실 내가 도구를 보관하는 곳이야. 녹슨 쓰레기가 잔뜩 쌓여 있지. 멋진 최고급 낫이나 좋은 품질의 구리 낫을 구할 수 있다면 내가 더 많은 기회를 가질 수 있을 것 같아. 별 4개 이상이면 돼. 좋은 친구가 여기있군.
STORYTASK_NPCSTORY_VEG_RARNEY_END |= 와! 정말 예쁘네. 내 얼굴이 보여. 달 모양이네. 넌 진정한 친구야. 이제 저 부잣집 놈들과 품질 면에서 맞설 수 있을 것 같아!
STORYTASK_NPCSTORY_RAKE_GRASSBEARD_FRIENDLY |= 널 처음 봤을 때만 해도 너에 대해 확신이 없었어. 아마도 네 똥 냄새가 남들보다 더 달콤할 거라 생각했지. 넌 마치 세상으로부터 보호해주는 보이지 않는 속옷을 입은 것처럼 걷는 방식이 재미있었어.
STORYTASK_NPCSTORY_RAKE_GRASSBEARD_FRIENDLY |= Folk around here like things simple, including themselves. Tales of Fae dealings and all that energy, running around from pillar to post, well, it can just rub up the slower folk the wrong way.
STORYTASK_NPCSTORY_RAKE_GRASSBEARD_FRIENDLY |= It's fair to say I liked you from the start, though.
STORYTASK_NPCSTORY_RAKE_GRASSBEARD_LIKE |= Why do I dye my beard? It's my natural colour! 
STORYTASK_NPCSTORY_RAKE_GRASSBEARD_LIKE |= But, seriously, when I first came here, I couldn't quite fit in. I had spent all my childhood in the Shoe.
STORYTASK_NPCSTORY_RAKE_GRASSBEARD_LIKE |= Came here without a brass penny or a stick of gum to my name.
STORYTASK_NPCSTORY_RAKE_GRASSBEARD_LIKE |= Started selling wildflowers and bits and bobs I found lying around. People were not keen on me due to my cheeriness. So to annoy them more, I dyed my beard green, as if to say, You can't change me to be who you want me to be.
STORYTASK_NPCSTORY_RAKE_GRASSBEARD_LIKE |= I think they respected that, and in time, they grew to like me and even liked my beard. It was a mark of defiance but then acceptance.
STORYTASK_NPCSTORY_RAKE_GRASSBEARD_NAME |= Collect 2 Hag's Eyes
STORYTASK_NPCSTORY_RAKE_GRASSBEARD_DESC |= Gather 2 Hag's Eyes. These can be found as drops from any Hag type in Simplewood, Midwood or Toughwood.
STORYTASK_NPCSTORY_RAKE_GRASSBEARD_START |= We are best friends now, aren't we?
STORYTASK_NPCSTORY_RAKE_GRASSBEARD_START |= Am getting old and have been in my shop for many years. At first, you hate the walls, and then you get used to them. Finally, you rely on them.
STORYTASK_NPCSTORY_RAKE_GRASSBEARD_START |= I wish I was back on my first market stall. Summer was one fine season to be working outdoors.
STORYTASK_NPCSTORY_RAKE_GRASSBEARD_START |= I suppose I should stick with tradition and give you some kind of task to seal our friendship?
STORYTASK_NPCSTORY_RAKE_GRASSBEARD_START |= Well, let's make it easy for you. Just a couple of Hag's eyeballs will do. 
STORYTASK_NPCSTORY_RAKE_GRASSBEARD_START |= Hags killed my parents, apparently. The sisters took a liking to them, and that was that.
STORYTASK_NPCSTORY_RAKE_GRASSBEARD_START |= So you can be my revenge. I know you can take them.
STORYTASK_NPCSTORY_RAKE_GRASSBEARD_START |= It's as the saying goes, 'Get busy killin' or get busy dyin'. 
STORYTASK_NPCSTORY_RAKE_GRASSBEARD_START |= Doing a deed like that for a friend would prove you have what it takes. I am sure you can shank a Forest Hag easily.
STORYTASK_NPCSTORY_RAKE_GRASSBEARD_END |= You did it. I wouldn't have dared make it across the Simplewood border. Not a day goes by that I don't regret I didn't kill them myself.
STORYTASK_NPCSTORY_RAKE_GRASSBEARD_END |= I like to think the last thing that went through their heads, other than your sword, is that Rake Grassbeard was laughing at them.
STORYTASK_NPCSTORY_RAKE_GRASSBEARD_END |= Thank you so much, friend.
STORYTASK_NPCSTORY_PAPA_RUSS_EBERS_FRIENDLY |= It's good to know you.
STORYTASK_NPCSTORY_PAPA_RUSS_EBERS_FRIENDLY |= I have had a long life full of adventure and misadventure.
STORYTASK_NPCSTORY_PAPA_RUSS_EBERS_FRIENDLY |= Many a Hob have I slain. So many roads I have travelled.
STORYTASK_NPCSTORY_PAPA_RUSS_EBERS_FRIENDLY |= I have loved, lost, lived, nearly died and lived again.
STORYTASK_NPCSTORY_PAPA_RUSS_EBERS_FRIENDLY |= I am not very good at anecdotes, though, and it is a funny story how that happened.
STORYTASK_NPCSTORY_PAPA_RUSS_EBERS_LIKE |= I was just thinking about that time I was smooching the fishmonger's daughter up in Tunt.
STORYTASK_NPCSTORY_PAPA_RUSS_EBERS_LIKE |= Her father caught us and chased me with a cleaver. I hid up a pine tree and found a little door.
STORYTASK_NPCSTORY_PAPA_RUSS_EBERS_LIKE |= I knocked on it, and a small fella answered. He waved his fist angrily and chased me with a cleaver.
STORYTASK_NPCSTORY_PAPA_RUSS_EBERS_LIKE |= I dived into a river and nearly drowned. 
STORYTASK_NPCSTORY_PAPA_RUSS_EBERS_LIKE |= The fishmonger pulled me out and discovered I had caught a massive salmon in my shirt.
STORYTASK_NPCSTORY_PAPA_RUSS_EBERS_LIKE |= He laughed and cooked up the salmon. As we ate it, I nearly choked on something.
STORYTASK_NPCSTORY_PAPA_RUSS_EBERS_LIKE |= It was a ring the salmon had swallowed. I gave it to my loved one as a romantic gesture.
STORYTASK_NPCSTORY_PAPA_RUSS_EBERS_LIKE |= Unfortunately, it was cursed and turned her into a salmon.
STORYTASK_NPCSTORY_PAPA_RUSS_EBERS_LIKE |= So, I hid up the same pine tree.
STORYTASK_NPCSTORY_PAPA_RUSS_EBERS_NAME |= Kill a Night Hag
STORYTASK_NPCSTORY_PAPA_RUSS_EBERS_DESC |= Kill a Night Hag. These can be found in Toughwood. 
STORYTASK_NPCSTORY_PAPA_RUSS_EBERS_START |= You are so great. You remind me of the time I was captured by a Hag and hung over her cooking pot, ready to be lowered in.
STORYTASK_NPCSTORY_PAPA_RUSS_EBERS_START |= I told her that I knew a recipe that would make me taste much better. She was intrigued, and I said I would gather the ingredients needed.
STORYTASK_NPCSTORY_PAPA_RUSS_EBERS_START |= When I returned, I made a broth for her. She tasted it, but I used my iron spoon, and she screamed and turned into a cat.
STORYTASK_NPCSTORY_PAPA_RUSS_EBERS_START |= I know what you are thinking. Why didn't I use seasoning?
STORYTASK_NPCSTORY_PAPA_RUSS_EBERS_START |= Anyway, you need a task, apparently.
STORYTASK_NPCSTORY_PAPA_RUSS_EBERS_END |= Oh, you did it! Any exciting adventures to tell of?
STORYTASK_NPCSTORY_PAPA_RUSS_EBERS_END |= Oh? Yes? You did what? Hmmm. Interesting!
STORYTASK_NPCSTORY_PAPA_RUSS_EBERS_END |= Well, your stories are fun. Reminds me of the incident with the pig, ladle and a sack of flour.
STORYTASK_NPCSTORY_PAPA_RUSS_EBERS_END |= Some tales are not meant to be told.
STORYTASK_NPCSTORY_MO_LAWN_FRIENDLY |= I am prepared to let you into our outer circle. You seem to want to better yourself, and what better way than to be amongst quality?
STORYTASK_NPCSTORY_MO_LAWN_FRIENDLY |= One can not just acquire wealth and expect to acquire class too.
STORYTASK_NPCSTORY_MO_LAWN_FRIENDLY |= Stick by me, and you may learn what it takes, although obviously, you can never be truly of quality with your background. You can, however, at least absorb some.
STORYTASK_NPCSTORY_MO_LAWN_LIKE |= Some folk are jealous of the wealthy. I do not know why, though. When I was a little girl, I wanted for nothing and was not jealous of others. I would sit and play with my dollies while daddy would be busy accumulating money and power.
STORYTASK_NPCSTORY_MO_LAWN_LIKE |= He worked hard so I would not have to.
STORYTASK_NPCSTORY_MO_LAWN_LIKE |= Then I was introduced to Greene, and although he was not of top quality, with an 'earthiness' about him, it was a good match. Like Daddy, he worked hard and even brought me a bucket of flowers. Hyacinths.
STORYTASK_NPCSTORY_MO_LAWN_LIKE |= I threw them away, of course, as I have to be keeping up appearances.
STORYTASK_NPCSTORY_MO_LAWN_NAME |= Buy any Business
STORYTASK_NPCSTORY_MO_LAWN_DESC |= Buy any Business. Interact with the Ledger on the counter of any Smithy, Goods Store or Apothecary.
STORYTASK_NPCSTORY_MO_LAWN_START |= I do not know what it is about you, but despite your apparent lower-tier standing, you have a spirit emanating from you that tells me that you will own the world one day.
STORYTASK_NPCSTORY_MO_LAWN_START |= And so, I have decided that I can love you. But first, I think it would be of the proper doing for you to undertake a task for me to prove your class.
STORYTASK_NPCSTORY_MO_LAWN_END |= You proved your dedication and business drive. You might not have the manners, but you do have the manner.
STORYTASK_NPCSTORY_MO_LAWN_END |= We shall now enter the love phase of friendship, and as long as you are rich and powerful, I will cherish you.
STORYTASK_NPCSTORY_KAT_TURNIP_FRIENDLY |= Why in the Goddesses name would you want to be friendly to me?
STORYTASK_NPCSTORY_KAT_TURNIP_FRIENDLY |= I am not complaining, mind! I am just a frumpy and lumpy housewife whose family has had a run of bad luck.
STORYTASK_NPCSTORY_KAT_TURNIP_FRIENDLY |= My philosophy is that we should make the most of the gifts we are given.
STORYTASK_NPCSTORY_KAT_TURNIP_FRIENDLY |= If we are meant to eat turnips, then we should embrace the fact we actually have turnips to eat.
STORYTASK_NPCSTORY_KAT_TURNIP_FRIENDLY |= Could be worse. Could be turnips I actually cooked.
STORYTASK_NPCSTORY_KAT_TURNIP_LIKE |= I know in these times it is all equality and men should be treated as equally as us women, but I do like to cook now and then.
STORYTASK_NPCSTORY_KAT_TURNIP_LIKE |= Problem is I am pretty terrible at it. It's not easy when all you have is a garden full of turnips and a few scavenged herbs. Might even be lucky and get a carrot on special days.
STORYTASK_NPCSTORY_KAT_TURNIP_NAME |= Make a Turnip Recipe
STORYTASK_NPCSTORY_KAT_TURNIP_DESC |= Make a Turnip Recipe. Use a stove and look through your recipe book for something which needs Turnips. Yum.
STORYTASK_NPCSTORY_KAT_TURNIP_START |= You know what I'd love? A delicious meal to inspire me. You have good cooking skills by all accounts. Do you think you could help kindle my creative juices, as well as those in the cooking pot?
STORYTASK_NPCSTORY_KAT_TURNIP_START |= Any top-quality recipe with turnip in will do!
STORYTASK_NPCSTORY_KAT_TURNIP_END |= Delicious! Oh, you really caught the essence of the turnip there.
STORYTASK_NPCSTORY_KAT_TURNIP_END |= I never knew that the simple little veg we have in abundance could be so versatile.
STORYTASK_NPCSTORY_KAT_TURNIP_END |= You are a true friend for opening my closed eyes. From now on, it's only the best in our house!
STORYTASK_NPCSTORY_GREENE_LAWN_FRIENDLY |= It takes a lot for me to trust someone. There is always someone wanting what's yours in this life, jealous of your success.
STORYTASK_NPCSTORY_GREENE_LAWN_FRIENDLY |= I made my success through hard work. Hard work and diverting the river and flooding the market with cheap goods so my rivals couldn't compete.
STORYTASK_NPCSTORY_GREENE_LAWN_FRIENDLY |= In business, you need to be as ruthless as an old straw-thatched cottage in a gale.
STORYTASK_NPCSTORY_GREENE_LAWN_FRIENDLY |= Then I spent my earnings making sure I had the best things and turned my attention to competitions. My giant veg are the best, and I have the most.
STORYTASK_NPCSTORY_GREENE_LAWN_FRIENDLY |= If you get to know me more, then my success might rub off on you, though that could just be our dog.
STORYTASK_NPCSTORY_GREENE_LAWN_LIKE |= I didn't always want to be a dragon of business. 
STORYTASK_NPCSTORY_GREENE_LAWN_LIKE |= When I was young, I wanted to be a woodcutter.
STORYTASK_NPCSTORY_GREENE_LAWN_LIKE |= Leaping from tree to tree! As they float down the mighty rivers
STORYTASK_NPCSTORY_GREENE_LAWN_LIKE |= of Pineshade! With my best girl by my side!
STORYTASK_NPCSTORY_GREENE_LAWN_LIKE |= The Oak!
STORYTASK_NPCSTORY_GREENE_LAWN_LIKE |= The Pine! 
STORYTASK_NPCSTORY_GREENE_LAWN_LIKE |= The Giant Bunion Tree! 
STORYTASK_NPCSTORY_GREENE_LAWN_LIKE |= The Sequin Oh-Ha! 
STORYTASK_NPCSTORY_GREENE_LAWN_LIKE |= The Slightly Disturbing Face Tree! 
STORYTASK_NPCSTORY_GREENE_LAWN_LIKE |= Oh, how we'd sing! Sing! Sing!
STORYTASK_NPCSTORY_GREENE_LAWN_NAME |= Take Greene to The Shingles
STORYTASK_NPCSTORY_GREENE_LAWN_DESC |= Take Greene to the 4 locations marked by sparkling circles in The Shingles. Ask him to Follow by interacting and choosing the Follow option. Bring earplugs (not really).
STORYTASK_NPCSTORY_GREENE_LAWN_START |= I'm a businessman, and I'm ok! I work all night, and I work all day.
STORYTASK_NPCSTORY_GREENE_LAWN_START |= I cut down prices, I sell you lunch, I charge for the lavatory.
STORYTASK_NPCSTORY_GREENE_LAWN_START |= On Turnsday, I buy out my rivals and have buttered scones for free!
STORYTASK_NPCSTORY_GREENE_LAWN_START |= Oh, sorry about that. I sometimes just get the urge to burst into song.
STORYTASK_NPCSTORY_GREENE_LAWN_START |= Tell you what, why don't we go on a trip to The Shingles? I can get amongst nature and release my inner self through song. It would be soul cleansing. What say you, trusted business associate?
STORYTASK_NPCSTORY_GREENE_LAWN_END |= Thank you, friend! That trip to The Shingles was just the release I needed. Anybody who works hard should always think about their mind and spirit and take time out, don't you agree?
STORYTASK_NPCSTORY_GREENE_LAWN_END |= We live in a crunch culture where people eat lettuce too loudly, and you just can't plan a good business venture with that noise.
STORYTASK_NPCSTORY_GREENE_LAWN_END |= Well then, back to the grindstone, although I would rather own the blacksmiths than run it.
NPCSTORY_GREENE_LAWN_SONG_1 |= I'll be coming past the waterfall when I come! I'll be coming past the waterfall when I come! I'll be wearing pink pyjamas and beating up bad llamas, I'll be coming round the waterfall when I come! Lalala.
NPCSTORY_GREENE_LAWN_SONG_2 |= Don't go chasing waterfalls... No need; they can't go anywhere.
NPCSTORY_GREENE_LAWN_SONG_3 |= On top of old henge stones, all covered in Greene, I there lost my meatball, which nobody's seen. It fell off the capstone and under a bush. Now my poor sorry meatball is nothing but mush.
NPCSTORY_GREENE_LAWN_SONG_4 |= The Shingles are alive with the sound of music! And also the sound of midges and creepy noises coming from Midwooood! 
STORYTASK_NPCSTORY_NED_SCRUMPY_FRIENDLY |= I had a feeling we might get on well. I despair of my family. Father has ambitions but no follow-through. Mother has no ambitions and nothing to follow through. Jed just follows through.
STORYTASK_NPCSTORY_NED_SCRUMPY_FRIENDLY |= I want to get out there into the world and earn my keep properly.
STORYTASK_NPCSTORY_NED_SCRUMPY_LIKE |= Have you ever wanted to own a shop? I quite fancy doing that or even becoming a Chemist. Owning the Goods Store in the village is certainly a good idea. It is a great way to improve yourself, you'll see. I can see you making it way better than Icabod! We could work together; I'd be a great salesman! Ha!
STORYTASK_NPCSTORY_NED_SCRUMPY_NAME |= 네드 스크럼피 고용하기
STORYTASK_NPCSTORY_NED_SCRUMPY_DESC |= 네드 스크럼피를 고용하여 상점에서 일하게 하세요. 장부를 사용하여 고용 탭으로 이동한 다음 네드 스크럼피를 선택합니다. 그런 다음 스케줄 페이지로 이동하여 일하도록 설정하세요!
STORYTASK_NPCSTORY_NED_SCRUMPY_START |= Could you hire me sometime? I would love to work for you. I don't mind where just somewhere in the village where I can escape the 3 basket-ears.
STORYTASK_NPCSTORY_NED_SCRUMPY_END |= Thank you so much for that! I believe in hard work and earning your keep. I have the work bug now, but that's just a beetle I caught on the counter. One day you may visit my own chain of shops. I'll call them, erm, Ned's Shoppe.
STORYTASK_NPCSTORY_NED_SCRUMPY_END |= Imagination isn't my strong point.
STORYTASK_NPCSTORY_IGNATIUS_KETTLE_FRIENDLY |= 오, 너는 좋은 양파야. 양파는 재밌어, 그렇지? 이름만 들어도 웃음이 나고, 채소를 보면 눈물이 나지. 하지만 내가 거위만한, 그러니까 무릎 높이에 불과했을 때는 양파가 자라지 않았었어.
STORYTASK_NPCSTORY_IGNATIUS_KETTLE_FRIENDLY |= 어머니가 양파에 대해 전부 말씀해주셨지. 신맛, 쓴맛, 다층적인 맛. 하지만 어머니에 대한 이야기는 충분해.
STORYTASK_NPCSTORY_IGNATIUS_KETTLE_FRIENDLY |= 아버지는 어머니를 철의 여인이라고 부르곤 하셨지. 어머니의 직업은 초가집 짓는 사람이었어. 지붕을 아주 잘 치셨고 우리 모두를 내려다보는 걸 좋아하셨지.
STORYTASK_NPCSTORY_IGNATIUS_KETTLE_LIKE |= I like you in a way! You remind me of me when I was younger but different looking. You have strong facial features and very deep eyes.
STORYTASK_NPCSTORY_IGNATIUS_KETTLE_LIKE |= Your teeth are like stars - they come out at night. Haha! Old jokes are the best.
STORYTASK_NPCSTORY_IGNATIUS_KETTLE_LIKE |= I once tried my hand as a wandering entertainer. I played the pubs and clubs throughout Quill. But, of course, at every pub, I got clubbed. Sometimes, my jokes were that bad.
STORYTASK_NPCSTORY_IGNATIUS_KETTLE_LIKE |= It's what drew Holly to me, I am sure. I could make her laugh, especially when I took out my glass eye and played marbles with it. Edna used to scream and hit me with the broom whenever I did that. No sense of fun, you see?
STORYTASK_NPCSTORY_IGNATIUS_KETTLE_NAME |= Upset the Teapotts
STORYTASK_NPCSTORY_IGNATIUS_KETTLE_DESC |= Upset the Teapotts to lower their friendship level. Try various methods such as pouring poo, slingshot and hated gifts.
STORYTASK_NPCSTORY_IGNATIUS_KETTLE_START |= You know how I told you about how I like a laugh and a joke? What would really tickle me pink is to see Edna and that young Edward getting a good old fashioned pranking.
STORYTASK_NPCSTORY_IGNATIUS_KETTLE_START |= If you can get one of them to dislike you, then I'd be happy as Larry. That was the name of my old comedy partner - Larry Load 'O' Laughs.
STORYTASK_NPCSTORY_IGNATIUS_KETTLE_START |= He died laughing. Anyhow! To business. The business of pranking!
STORYTASK_NPCSTORY_IGNATIUS_KETTLE_END |= You would make a great stand-up comic because you are a real stand-up person, and you make me laugh to look at you. You did a good thing this day. You are what they used to call a Gillit. It was a type of blade and the best a man could get.
STORYTASK_NPCSTORY_HOLLY_KETTLE_FRIENDLY |= Is it official then? Are we on friendly terms?
STORYTASK_NPCSTORY_HOLLY_KETTLE_FRIENDLY |= I am glad to get to know you. I may be called Holly, but I am not prickly, really.
STORYTASK_NPCSTORY_HOLLY_KETTLE_FRIENDLY |= On the contrary, I consider myself the perfect blonde. Kind, smart, loving, sensual and generous with my time and affections.
STORYTASK_NPCSTORY_HOLLY_KETTLE_FRIENDLY |= You may hear terrible things about me from the Teapott's, but it is not true. I love my little Iggy-wiggy, and I find his diminishing memory and terrible hearing and eyesight extremely handy.
STORYTASK_NPCSTORY_HOLLY_KETTLE_LIKE |= I like you. You remind me of a bowl of honeyed porridge. Sweet, deep and mildly lumpy.
STORYTASK_NPCSTORY_HOLLY_KETTLE_LIKE |= I don't get much affection these days. Iggle-piggle is a kind and funny soul, but he often forgets my name. Luckily he also forgets he already gave me my allowance.
STORYTASK_NPCSTORY_HOLLY_KETTLE_LIKE |= At least he has an allowance to give. Edward was as poor as a peg and as tight as a gnat's nostrils.
STORYTASK_NPCSTORY_HOLLY_KETTLE_LIKE |= I resent seeing him happy with that old crone if I am honest.
STORYTASK_NPCSTORY_HOLLY_KETTLE_NAME |= Prank the Teapotts
STORYTASK_NPCSTORY_HOLLY_KETTLE_DESC |= Prank the Teapotts to lower their friendship level. Try various methods such as pouring poo, slingshot and hated gifts.
STORYTASK_NPCSTORY_HOLLY_KETTLE_START |= You fill up my senses like a night in dark forests. Like the mountains in summertime, like some pork in the rain. Like a storm or some dessert, like a sleepy old potion.
STORYTASK_NPCSTORY_HOLLY_KETTLE_START |= I am feeling very poetic today. Edward once wrote me a poem. It said, 'There was a young woman called Holly, Whose hair was a bit of a folly. Her lips tight and red, like she'd just kissed a peg, And then she married a right wally'.
STORYTASK_NPCSTORY_HOLLY_KETTLE_START |= He thought it was clever and charmingly romantic. I vowed to get him back.
STORYTASK_NPCSTORY_HOLLY_KETTLE_START |= In fact, could you do that? Could you annoy him a bit? Or Edna. I'll love you even more if you do!
STORYTASK_NPCSTORY_HOLLY_KETTLE_END |= You managed to annoy Edward for me? You are a darling bud. May I kiss your cheek? That will show them who you really admire. Teapott's thought they had your affections in the bag! Pour me a cup of salted tears!
STORYTASK_NPCSTORY_EDWARD_TEAPOTT_FRIENDLY |= Good to meet someone so likeable. Always great to have an ally in this day and age. You never know who might be plotting against you. IT'S THEM! THE KETTLES!
STORYTASK_NPCSTORY_EDWARD_TEAPOTT_FRIENDLY |= Sorry about that. I just get so easily wound up like a beetle on a string.
STORYTASK_NPCSTORY_EDWARD_TEAPOTT_LIKE |= I am glad we are getting to know each other more. Just please don't let the poison tongues of others sway you. Keep a handle on those Kettles, basically.
STORYTASK_NPCSTORY_EDWARD_TEAPOTT_LIKE |= We didn't always used to be this way. I was married to Holly, and we moved in here. Then I saw how she looked at Ignatius. And she saw how I looked at Edna. We had some Hobbled Goblin, dinner, one thing led to another, and I realised I liked the smell of mustiness and the way light reflected off Edna's moustache. By that same end, Holly wanted a candy daddy, and so here we are.
STORYTASK_NPCSTORY_EDWARD_TEAPOTT_NAME |= Prank the Kettles
STORYTASK_NPCSTORY_EDWARD_TEAPOTT_DESC |= Prank the Kettles to lower their friendship level. Try various methods such as pouring poo, slingshot and hated gifts.
STORYTASK_NPCSTORY_EDWARD_TEAPOTT_START |= I have been thinking about you a lot. Not in that way. Yet. I think you could really help me out to get one over on the Kettles. Could you prank them?
STORYTASK_NPCSTORY_EDWARD_TEAPOTT_START |= Just get one of them to dislike you more. That'll show them that you prefer us and really get under their skin
STORYTASK_NPCSTORY_EDWARD_TEAPOTT_END |= Ha! You properly pranked the Kettles! That showed them! Possibly. Am beginning to think we are a bit childish and that we have lost sight of what is important in life. Friendship, love, family.
STORYTASK_NPCSTORY_EDWARD_TEAPOTT_END |= Though I have to admit pouring poo in someone's house is really funny and brightens any day.
STORYTASK_NPCSTORY_EDNA_TEAPOTT_FRIENDLY |= It's good to make a friend. At my age you need all the friends you can get. Very handy for nipping to the shops for you or helping light the fire. Bending down to poke the logs puts my back out!
STORYTASK_NPCSTORY_EDNA_TEAPOTT_FRIENDLY |= Good job I have my lovely Edward. He can do all the handy jobs for me. He's much better than that horrible Holly and that blasted husband of hers.
STORYTASK_NPCSTORY_EDNA_TEAPOTT_LIKE |= How are you faring, dearie? I am keeping myself busy, mainly watching those Kettles.
STORYTASK_NPCSTORY_EDNA_TEAPOTT_LIKE |= Did you know I used to be married to Ignatius? Then a young couple moved in, Edward and Holly, and let's just say it got a bit messy. First, it was wandering eyes, then hands. Before you knew it, we had swapped partners. Ignatius and Holly can keep each other. He's a sour old goat, and she's a brass-digger.
STORYTASK_NPCSTORY_EDNA_TEAPOTT_NAME |= Prank the Kettles
STORYTASK_NPCSTORY_EDNA_TEAPOTT_DESC |= Prank the Kettles to lower their friendship level. Try various methods such as pouring poo, slingshot and hated gifts.
STORYTASK_NPCSTORY_EDNA_TEAPOTT_START |= I'm not very happy, dearie. I keep looking out of my window and seeing them Kettles laughing at us. I think they need putting in their place. I cherish you as our best friend and don't want them stealing you off us across the way. Could you make them dislike you somehow? Put poo in their house, slingshot em; I don't care. You are OUR friend.
STORYTASK_NPCSTORY_EDNA_TEAPOTT_END |= Wonderful! Oh, that poked them right in the eye. You are a star fallen from Aurore's ears.
STORYTASK_NPCSTORY_EDNA_TEAPOTT_END |= Here, take these. I won't be needing them after all.
STORYTASK_NPCSTORY_BILLY_COWE_FRIENDLY |= You ain't so bad. I still think ya smell like something the cow ate last week, but maybe you are more fun than you look. Dad's no good and just likes going to the pub. I want to grow up to be just like him.
STORYTASK_NPCSTORY_BILLY_COWE_LIKE |= Have you ever drunk strong drinks? What's it like? Dad says he can't remember, usually after he's been drinking. But I think Mum finds his secret supplies and has a whiffle herself.
STORYTASK_NPCSTORY_BILLY_COWE_LIKE |= I probably shouldn't tell you that. You will think my family are all drunkards. No need to think it!
STORYTASK_NPCSTORY_BILLY_COWE_NAME |= Prank the Cowes
STORYTASK_NPCSTORY_BILLY_COWE_DESC |= Prank the Cowes to lower their friendship level. Try various methods such as pouring poo, slingshot and hated gifts.
STORYTASK_NPCSTORY_BILLY_COWE_START |= Are you up for a dare? You are like, the best at everything. Could you pour poo in our house? It will make me laugh, and I'll give you a candy hare I have kept back for special occasions.
STORYTASK_NPCSTORY_BETTY_SCRUMPY_FRIENDLY |= Did you know that people used to drink an apple-based grog called cider?
STORYTASK_NPCSTORY_BETTY_SCRUMPY_FRIENDLY |= So, I told our Worzel we should make our own and sell it on the side. Or maybe by the front gate.
STORYTASK_NPCSTORY_BETTY_SCRUMPY_FRIENDLY |= Passers-by could refresh themselves on the dusty road. Worzel said nobody comes by our farm, so it would be a stupid idea. He still has the bump from where I clopped him with the old roller.
STORYTASK_NPCSTORY_BETTY_SCRUMPY_LIKE |= Did you know that I used to be the best pastry chef in all Quill? Of course you didn't! Why would you? It's not like I go around telling anyone, you know. Anyway, I once entered a pie in the Bake Off.
STORYTASK_NPCSTORY_BETTY_SCRUMPY_NAME |= Bake Betty a quality pie
STORYTASK_NPCSTORY_BETTY_SCRUMPY_DESC |= Bake Betty a quality pie. Make sure to use high-quality ingredients and ensure the cooking goes well.
STORYTASK_NPCSTORY_BETTY_SCRUMPY_START |= Say! Would you make me a top-quality pie that I can use as research? I just need a 4 or 5-star pie, any filling. Show me what you can do, and I'll love you like a fairy loves cakes.
STORYTASK_NPCSTORY_BETTY_SCRUMPY_END |= Oh, that pie looks scrumptious. Truly truly scrumptious. I shall make some for you like that - BANG BANG! I will mail them to you in a nice box when they are ready. Howes that sound?
