ChatOption_Introduce |= 소개
ChatOptionHowAreYouSad_Neutral |= 조금 우울해.
ChatOptionHowAreYouIll_Neutral |= 몸이 아파.
ChatOptionHowAreYouTired_Neutral |= 잠이 필요해!
ChatOptionHowAreYouBusy_Neutral |= 나 바빠!
ChatOptionHowAreYouUnhappy_Neutral |= 나 좀 화났어.
ChatOptionHowAreYouGreat_Neutral |= 훌륭해!
ChatOptionHowAreYouHungry_Negative |= 배고프지만 네가 상관할 일이 아니야!
ChatOptionHowAreYouOk_Negative |= 내가 괜찮은지 아닌지는 뭘 신경써?
ChatOptionHowAreYouHappy_Negative |= 네가 옆에 없었다면 더 행복할거야.
ChatOptionHowAreYouSad_Negative |= 너를 보니 기분이 나빠져.
ChatOptionHowAreYouIll_Negative |= 몸이 안 좋아. 그래서 뭐?
ChatOptionHowAreYouTired_Negative |= 너랑 대화하는건 피곤해.
ChatOptionHowAreYouBusy_Negative |= 너무 바빠서 너랑 대화할 시간이 없어!
ChatOptionHowAreYouUnhappy_Negative |= 진짜 화나내!
ChatOptionHowAreYouGreat_Negative |= 덕분에 기분이 좋아졌어.
ChatOptionHowAreYouBetterNow_Positive |= 이제 기분이 나아졌어, 고마워!
ChatOptionHowAreYouBetterNow_Neutral |= 이제 기분이 나아졌어, 고마워!
ChatOptionHowAreYouBetterNow_Negative |= 이제 기분이 나아진 것 같아.
ChatOptionFavour |= 부탁 하나만 들어줄 수 있어?

GiftForTask |= 고마워, 내가 말한 대로네.
GiftForTask |= 고마워, <PlayerName>. 그게 바로 티켓이야.
GiftForTask |= 고마워! 딱 맞네!
GiftForTask |= 정말 필요한 거였어. 고마워, <PlayerName>.
GiftForTask |= 아, 완벽해! 잘했어.
GiftForTask |= 내가 요청한 대로야. 고마워.
GiftForTask |= 오, 내가 말한 대로군. 멋지네.
GiftForTask |= 너는 별이야. 고마워, <PlayerName>.

GiftForTaskWaiting |= 고마워, 기다리고 있었어!
ChatOptionSecretLikedItem |= 비밀을 하나 알려줄게... <VAR1>, 내가 가장 좋아하는 거야.
ChatOptionSecretHatedItem |= 비밀을 하나 알려줄게... <VAR1>, 나는 세상 그 어떤것 보다 이게 싫어.
ChatOptionSecretLikedItemOtherNPC |= 비밀을 하나 알려줄게... <VAR1>은(는) <VAR2>를 좋아한데.
ChatOptionSecretHatedItemOtherNPC |= 비밀을 하나 알려줄게... <VAR1>은(는) <VAR2>를 정말 싫어한데.
ChatOptionSecret |= 아이템에 대한 비밀은 더 이상 모르겠어.
ChatOptionGossipAge |= <VAR1>은(는) <VAR2>살이 되었다고 들었어.
ChatOptionGossipAgeSelf |= 나는 <VAR1>살이야.
ChatOptionGossipBirthday |= 내 생일은 <VAR1>이야.
ChatOptionGossipBirthdayOther |= <VAR1>은 <VAR2>이 태어난 날이라고 들었어.
ChatOptionGossip |= 경솔한 말은 생명을 앗아가지. 글쎄, 목숨이 아니라 다른 것일 수도 있겠지.
ChatOptionGossip |= 글쎄, 욕하고 싶으면 사람들과 친구를 사귀고 원하는 만큼 욕을 하라고 충고할게!
ChatOptionGossip |= 미안하지만 말해주면 너를 희생시켜야 해.
ChatOptionGossip |= 죽은 자는 말을 하지 않지. 살아있는 자의 이야기는 결국 죽어.
ChatOptionGossip |= 내가 험담이라도 했나? 그래. 가져도 돼? 아직은 안 돼. 
ChatOptionGossip |= 노커를 달래거나 통제할 수 있다면 채굴을 대신 해줄 수 있을 것 같은데, 그런 방법이 있는지 궁금해. 내가 단서를 준 것 같네!
ChatOptionGossip |= 블랙 바라그에 대한 노래를 들어봤어? 문 밖에는 죽음의 사냥개가 앉아 있지. 먹지도, 자지도, 움직이지도, 똥도 누지 않아. 그리고 죽음이 영혼을 앗아갈 때까지 7일 동안 그 자리에 머무른다네.
ChatOptionGossip |= 고대인들이 나무 상자에 죽은 사람을 묻을 때 쇠못을 사용한 이유를 알고 있어? 주석이 발명되지 않았기 때문이지. 아마도.
ChatOptionGossip |= 펠을 조심해! 그들은 모습을 바꾸고 우리 사이를 걸어다니지! 그들은 속고 속이며 게임을 해! 이상한 이름을 가진 사람들을 조심해! 물론 퀼이 거의 모든 사람이 그렇긴하지만.
ChatOptionGossip |= 마녀 사냥꾼을 만나봤어, <PlayerName>? 오후 6시에서 오전 6시 사이에 농가의 선술집에서 만날 수 있어. 그는 대부분의 퀼리언이 외면하는 신비한 인물이지만, 모험심이 있다면 찾아보는 것도 좋아. 마녀 사냥꾼은 독특한 전투 임무를 부여하고 보상을 줄거야!
ChatOptionGossip |= 톰 훅핑거스가 너를 간지럽히며 낄낄웃네. 분명히 그가 너를 잡으면 너는 웃으면서 동시에 비명을 지르게 될 거야.
ChatOptionGossip |= 퀼의 누군가가 전설적인 검의 존재를 발견했다는 소문이 소문 속에 소문으로 퍼져 있어. 신화와 수수께끼로 뒤덮인 그 검을 인간과 페이 모두의 기억에서 지우기 위한 조치가 취해졌다고 하던데. 그런 무기가 존재할 수 있을까?
ChatOptionGossip |= 한 여인이 이곳에서 멀지 않은 곳에 있는 오래된 나무뿌리에 엉킨 아기 여우를 구한 적이 있어. 이 여우의 꼬리는 불꽃으로 만들어졌지만 불꽃은 뜨겁지 않고 차가웠데. 어느 날 여우는 사라졌지만 여인의 창턱에는 작은 은화 주머니가 남겨져 있었다고해. 아마도 여우가 페이족 주인에게서 도망쳐서 길을 잃었고, 여우를 찾으러 다시 왔던 것 같아.
ChatOptionGossipVALE |= 그 상인이 재버웍을 봤다고 했어! 귤색이었고 사악한 녹색 불꽃을 내뿜는 익히지 않은 닭처럼 생겼데. 숲에서 나온 걸까?
ChatOptionGossipVALE |= 어떤 방랑자가 멜로우필드 서쪽에 부자연스러운 안개가 끼었는데, 그 안에서 기괴한 음악이 들렸고 가면을 쓰고 춤추는 이상한 형상을 봤다고 했어. 또 술 몇 잔을 마시고 버트라는 애완용 용을 키우고 있다고도 했어.
ChatOptionGossipVALE |= 멜로우필드 사람들이 화장실 사용 후 손을 씻는다는 사실을 알고 있어? 역겨워!
ChatOptionGossipVALE |= 북쪽에서 들려오는 이상한 소리. 발목을 잡는 움직이는 웅덩이. 뛰노는 외눈박이 짐승과 애완용 물고기의 죽음을 예측하는 고양이. 마지막 이야기는 사실이 아닐 수도 있어.
ChatOptionGossipVALE |= 그 방랑자는 지난 주 슁글스에 전에 본적없던 비가 내렸다고 말했어. 
ChatOptionGossipVALE |= 여기에서는 모두가 상점에서 특전 포인트를 빨리 사용하길 바란다는 소문이 돌고 있어. 개선이 필요해.
ChatOptionGossipVALE |= 리버무어의 무덤은 무서워. 하룻밤만 머물려고 하면 영혼이 꺼지라고 말한데! 아니면 조곤과 그의 '영혼'일지도 모르지.
ChatOptionGossipVALE |= 슈에 사는 할머니도 고아라고 들었어.
ChatOptionGossipVALE |= 슈에 사는 할머니는 그 신발을 어디서 구했을까?! 다른 하나는 어디 있지? 어딘가에 거인이 뛰어다니고 있을 거야!
ChatOptionGossipVALE |= 양을 염색할 수 있다고 들었어! 누가 생각이나 했겠어?!
ChatOptionGossipVALE |= 커닝 플롯의 올리브 릿지에 토끼 문제가 생긴 것 같았어. 토끼가 정원을 파헤치는 문제인지, 아니면 대머리 문제인지는 잘 모르겠네.
ChatOptionGossipVALE |= 파인쉐이드에 사는 어떤 사람이 폭풍우가 치는 동안 뒤죽박죽 나나라고도 알려진 새그티트 마녀를 봤다고 주장했어. 폭풍을 불러낼 수 있다면 마녀를 볼 수 있을지도 모르지.
ChatOptionGossipVALE |= 누군가 한밤중에 마을 주민들에게 선물을 보내고 있어. 우체통을 통해서말야. 일을 처리하는 한 가지 방법일지도 모르지.
ChatOptionGossipVALE |= 나는 민들레가 단순히 시간을 알려주기 때문이 아니라 언젠가 아주 유용하게 쓰일 것 같아서 수집해. 너도 그러는게 좋아.
ChatOptionGossipVALE |= 그 광산은 깊다고 하지만 아무도 그 안으로 들어가는 방법을 몰라. 하지만 내가 감히 그렇게 멀리 모험을 할 수 있을지는 모르겠어... 너무 깊게 파보면 나쁜 것들이 발견되니까!
ChatOptionGossipVALE |= 가을의 멜로우필드에서 프레드 바리콘이 튀어 오르는 것을 본 적이 있어? 정말 멋진 광경이야!
ChatOptionGossipVALE |= 똥이 얼지 않도록 겨울 전야에는 불을 붙여둬.
ChatOptionGossipVALE |= 구운 과자를 좋아한다면 포피힐 상품 가게에 가봐. 파이를 먹은 후 퀼 위에 떠 있을 정도로 가벼운 페이스트리 파이를 만들어.
ChatOptionGossipVALE |= 포피힐은 한때 음악 축제를 개최했어. 전국에서 음유시인과 음악가들이 모여 고막을 터뜨리는 음악을 들려주었고, 사람들은 기념품 문신을 터무니없이 비싼 가격에 팔았지. 나는 '구르는 돌에 이끼가 끼지 않는다'는 문구가 새겨진 셔츠를 샀어. 잠언처럼 바가지였지.
ChatOptionGossipVALE |= 왜 방귀 축제를 우마쉬에서 취소했을까? 가스 때문이었어.
ChatOptionGossipVALE |= 멜로우필드에서 누군가의 농사가 실패했다고 들었어. 우리가 사랑하는 여신들에게 경의를 표하지 않으면 이런 일이 벌어지지!
ChatOptionGossipSUMMERDOWN |= 베일 출신이지? 거기선 아이를 낳지 않으면 아내를 제물로 바친다고 들었어. 야만적이군!
ChatOptionGossipSUMMERDOWN |= 연례 요리 대회가 여름에 열려. 와서 축제도 즐기고 요리도 해보는 건 어떨까?
ChatOptionGossipSUMMERDOWN |= 맑고 청명한 겨울 밤에는 먼 봉우리를 바라보는걸 좋아해, 가끔 동굴을 따뜻하게 데우는 드래곤파이어의 불빛을 볼 수 있어.
ChatOptionGossipSUMMERDOWN |= 슁글스에 가본 적이 있어? 미드우드로 들어가는 입구가 어렴풋이 보이고 그 나무들이 내려다보는 것만 봐도 콧물이 하얗게 변하지.
ChatOptionGossipSUMMERDOWN |= 지난주에 한 방랑자가 찾아와서 코퍼팟으로 가던 중에 안개 속에서 길을 잘못 들었다는 이야기를 들려줬어. 습지 주변을 산책하는 유령거미를 봤다고 말하더군. 다행히도 유령거미는 그를 보지 못했데!
ChatOptionGossipSUMMERDOWN |= 몇몇 마을 사람들은 매일 밤 정신나간 꿈을 꾼다고 말해.
ChatOptionGossipSUMMERDOWN |= 말굽이 행운을 가져다준다고 하지만 말은 이제 멸종되었으니, 이 미신은 헛소리라고 말하고 싶어.
ChatOptionGossipSUMMERDOWN |= 늪지대의 푸른 빛. 사람들은 그것이 길을 잃은 여행자의 영혼이라고 말하지. 어떤 사람들은 매우 밝은 나방이라고 말하지. 하지만 공짜로 말해주자면(돈은 따로 보관해둬)... 나방은 노래를 부르지 못해. 무엇을 하든 불빛을 따라가지 마!
ChatOptionGossipSUMMERDOWN |= 우마쉬에는 항상 비가 내리는 것 같아. 온몸을 적시는 기분 좋은 빗줄기지.
ChatOptionGossipSUMMERDOWN |= 문은 퀼의 마스터 궁수야. 너의 머리카락 속의 머릿니를 쏠 수 있지.
ChatOptionGossipMELLOWFIELDS |= 우리는 매년 채소 축제를 개최해. 질 좋은 채소를 가져와서 축제에 참여봐.
ChatOptionGossipMELLOWFIELDS |= 밴시의 노래를 들었다는 한 남자를 만난 적이 있어. 지나가던 사람이 자신을 구해주지 않았다면 죽을 때까지 걸어갔을 거라고 하더군.
ChatOptionGossipMELLOWFIELDS |= 사람마다 채소를 가장 크게 키우는 데 도움이 되는 자신만의 방법이 있지. 심지어 어떤 사람들은 결혼만 하면 채소가 더 잘 자란다고 말하는 사람도 있어!
ChatOptionGossipMELLOWFIELDS |= 먼 딥스톤의 광부들이 언젠가는 너무 깊이 파서 지구 반대편으로 나올 거라고 생각해. 그곳이 어떤 곳인지 알고 싶어. 어부들과 물고기 여인들이 지배하는 곳일 거야.
ChatOptionGossipMELLOWFIELDS |= 흥미로운 가십거리를 원해? 홉이 다시 돌아다닌다고 들었어.
ChatOptionGossipMELLOWFIELDS |= 페이는 왜 퀼을 그렇게 좋아할까? 장날에는 양의 방귀 냄새가 창문을 녹일 정도라고 들었어. 모스맨이나 드라이어드에게는 좋은 냄새일지 모르지만, 요정들은 깨끗하고 달콤한 냄새를 좋아한다고 하던데.
ChatOptionGossipMELLOWFIELDS |= 고대인들은 열반에 도달하기 위해 네 가지 물건을 받침대 위에 올려놓았어. 숭어 괭이, 알비노, 모기, 그리고 성욕이었어. 두루마리에 적힌 글귀가 바로 그거야. 못 믿겠어? 좋아요, 됐어, 어쩄든 상관없어.
ChatOptionGossipMELLOWFIELDS |= 심플우드의 님프에 관한 노래가 생각나네. '날개가 펄럭이는 것들을 조심하세요. 그들의 발톱과 끔찍한 침을 조심하십시오. 꿀을 부어 먹이되 절대 똥을 먹이지는 마세요'.
ChatOptionGossipMELLOWFIELDS |= 마쉬티트를 만나러 가봤어? 그는 트윙잉 가든에 살고 있어. 그는 약간 과일향이 나니 주변을 조심해. 그가 온실을 보러 가자고 제안하면 정중하게 거절해. 온실 안은 너무 덥거든.
ChatOptionGossipMELLOWFIELDS |= 모스맨과 드라이어드는 에르그린에 살고 있어. 그들은 퀼을 방문할 때 인간의 모습을 취한다고 하지. 나무인간은 변장할 필요를 느끼지 않아야 한다고 생각해요. 그들은 완전 포플러일 거야. 포플러! 알았어?!
ChatOptionGossipMELLOWFIELDS |= 댄서스를 보러 가봤어? 섬뜩한 소리 때문에 가는 사람은 많지 않아. 그 소리의 원인은 아무도 몰라. 다만 어떤 주인공에 의해 밝혀지면 놀라움과 기쁨을 안겨줄 화려한 비밀의 일부라는 데 내 마지막 순무를 걸고 싶어. 아니면 스스로를 더럽히게 만들 수도 있지. 둘 중 하나임에 틀림없어.
ChatOptionGossipMELLOWFIELDS |= 어느 날 밤 베티라는 노파가 댄서스에 갔는데, 다음 날 어린 소녀가 숲에서 자신이라고 주장하며 걸어 나왔다고 해. 아무도 그녀를 믿지 않았고, 그녀는 헤이븐에 재앙이 닥치지 않도록 프라일에게 제물로 바쳐졌어. 이상한 점은 아무도 늙은 베티를 다시 본 적이 없다는 것이지.
ChatOptionGossipMELLOWFIELDS |= 한 남자가 한 손에 사과를 7개, 다른 손에 사과를 12개 들고 있었다고? 그는 무엇을 가지고 있었을까? 큰 손! 소문은 아니지만, 손이 큰 남자를 조심해.
ChatOptionGossipMELLOWFIELDS |= 이 조언에 귀를 기울여야해. 미드우드에 있는 웅덩이에는 절대 서있지 마.
ChatOptionGossipMELLOWFIELDS |= 오로레가 무지개를 잡고 그 끝을 묶어 가을을 만들었데. 그녀는 무지개를 손가락에 끼고 퀼 위에서 기쁨으로 춤을 추었지. 아름다운 색채에 감탄한 그녀는 눈물을 흘렸어. 그녀의 눈물은 비처럼 내렸고, 그녀의 입김은 안개를 만들었지. 아무도 밟지 않았으면 좋겠어!
ChatOptionGossipMELLOWFIELDS |= 마을에서 심플우드로 더 깊이 들어가면 스킬을 잠금 해제하는 데 필요한 고급 전리품을 얻을 수 있다는 소문을 들었어. 더 높은 방 번호에서 시작하거나 모닥불에 도착하면 더 깊숙이 들어갈 수 있어. 
ChatOptionGossipMELLOWFIELDS |= 나는 역사에 대해 잘 몰라. 생물학에 대해서도 잘 몰라. 하지만 숲의 노파가 너르 가리킬 때 절대 가만히 있으면 안 된다는 건 알아.
ChatOptionGossipWOEMARSH |= 우마쉬의 사람들은 화려한 의상을 입고 서로에게 "번개 화살!"을 외치기를 좋아했던 잃어버린 연극배우 부족의 후손이야. 크게 변한 것은 없어.
ChatOptionGossipWOEMARSH |= 언젠가 믹이라는 방앗간 주인을 만난 적이 있는데, 그는 곡예사였어요. 그는 자기 자신으로 가득 차 있었어. 그는 결국 자신의 품에 안겨서 죽었지.
ChatOptionGossipWOEMARSH |= 늪 깊은 곳에는 추방된 그랜드마스터의 무덤이 있어. 그는 흉측한 얼굴에 저주를 받아 밤이면 공포의 늪을 배회하지. 그는 냄새를 싫어하기 때문에 이 모든 양초가 그를 막고 있어. 거긴 가지 않는 게 좋겠어. 그가 너를 붙잡으면 끝이야!
ChatOptionGossipWOEMARSH |= 마법의 토끼가 내 발을 바꿔놓은 적이 있어. 발가락이 뒤섞여 있었지. 이 농담이 마음에 들어?
ChatOptionGossipWOEMARSH |= 개구리 습지에서 사방에 개구리 조각상이 있는 문을 본 적이 있어? 어떤 사람들은 그 안에 전설적인 보물이 있다고 하지. 다른 사람들은 그것이 사탕으로 만들어진 땅으로 통하는 문이라고 말해. 달콤하겠네.
ChatOptionGossipWOEMARSH |= 사람들이 앉아 있는 들판과 정원 사이의 나무로 된 칸막이에 대해 어떻게 생각해? 나는 그것들을 경계하고 있어.
ChatOptionGossipWOEMARSH |= 죽음의 검은 개, 블랙 바라그는 사람이 죽기 전 일주일 동안 집 밖에 앉아 있어. 화장실이 필요한지, 뭘 먹는지 궁금하네. 검은 개가 뜯어먹을 수 있도록 눈에 보이지 않는 뼈를 밖에 놔둬야겠어.
ChatOptionGossipWOEMARSH |= 미드우드의 파첸에 관한 노래를 계속 흥얼거리게 돼. "파첸 냄새처럼 아침이 오면 나는 사라질 거야. 밤이 끝나면 파첸 냄새처럼 나는 사라질 거야, 사라질 거야, 사라질 거야". 흠, 지금 미트로프가 정말 먹고 싶어.
ChatOptionGossipWOEMARSH |= 여기 오는 길에 궁수 문을 만났어? 그녀는 드렁크힐에 있는 화려한 텐트에서 살고 있어. 새총 쏘는 법을 가르쳐줬는데 내가 너무 서툴러서 계속 바닥에 부딪혔어. 지금 생각해보면 정말 대단했어.
ChatOptionGossipWOEMARSH |= 아주 자극적인 소문을 원해? 피가 끓어오를 정도로 정말 뜨거운 소문을 원하는 거야? 머릿속에서 눈이 튀어나올 정도로 터무니없는 소문을 들으면 얼어붙은 강물에 몸을 담그고 열을 식혀야 할지도 모른다고? 나도 있는데, 너도 갖고 있어?
ChatOptionGossipWOEMARSH |= 너에게 비밀로 해야하지만 아주 흥미로운 정보를 들었어. 철금속 보도에서 광부들이 채굴을 하던 중 이상한 구조물을 발견했다더군. 그곳에 살던 광부들은 의문의 죽음을 당했고 지금은 아무도 감히 그곳에 들어가지 못해. 누군가 포털을 통해 들어와서 지옥 같은 소리를 내며 살고 있다고하네. 
ChatOptionGossipWOEMARSH |= 양탄자를 만드는 것이 생업이었던 한 여인이 있었어. 어느 날 한 페이가 그녀의 문을 두드리며 자신의 대머리를 위한 깔개를 만들어 달라고 부탁했어. 여인은 그의 수염을 다듬어 따뜻하고 포근한 양탄자를 짰어. 그는 감사의 표시로 자신의 겨드랑이 털을 그녀에게 주었지. 그녀는 이 털이 마법 같아서 절대 소진되지 않거나 치유력이 있을 거라고 생각했어. 아니었어. 땀에 젖고 쓸모없고 힘없는 겨드랑이 털 뭉치에 불과했지.
ChatOptionGossipWOEMARSH |= 동물들이 너를 쫓아 여기저기 따라다니는 게 정말 귀엽다고 들었어!
ChatOptionGossipWOEMARSH |= 이 조언을 명심해. 절대 밴시가 네 얼굴에 비명을 지르게 두지마. 넌 죽을 거야. 누가 이걸 어렵게 알아냈는지 모르겠지만, 다른 누군가가 지켜보고 있었을지도 모르겠네.
ChatOptionGossipWOEMARSH |= 히알리스가 오팔 저울을 가지고 놀고 있다고해. 그녀는 언제나 삶과 죽음을 저울질하며 저울의 균형을 유지하지. 또 코바늘 뜨개질, 숫자 그림 그리기, 병 수집을 즐긴다고 하는데, 그 말을 한 남자는 아주 취한 상태였어.
ChatOptionGossipWOEMARSH |= 핏빛 달이 밤하늘에 빛나면 숲의 괴물들이 더욱 사나워진다고 하지.
ChatOptionGossipWOEMARSH |= 모웨나 여신은 우마쉬의 늪을 다스리며 시간의 황폐화로부터 사람들을 보호한다. 어떤 목적인지는 알 수 없어. 어떤 사람들은 그것이 축복이 아니라 벌이라고 생각할 수도 있겠지. 신진 이론가들에게도 도움이 될 것 같네!
