모 론INTRO |= 물건을 팔려고 온건 건 아니겠지? 우리는 필요한 모든 것을 갖추고 있어.
해리 버클INTRO |= 양조를 위하여! 벌꿀술을 위하여! 마실만한걸 줄까? 내 형과 나는 이곳으로 이사 와서 술집을 운영하고 있어. 끄억! 너무 취한 것 같네!
사울 버클INTRO |= 벌꿀술을 위하여! 양조를 위하여! 깃발 꽂을 때 쓰는 포도주병? 형과 내가 동네 펍을 샀어. 언제 한번 들러. 말 그대로가 아니라! 그건 지저분하고 풍선처럼 보이지도 않잖아!
락 솔트INTRO |= 특별히 필요한 게 있어? 나는 바쁜 사람이야. 여긴 너무 유쾌하고 나는 한가한 농담이나 할 시간이 없어.
셀리아 솔트INTRO |= 오, 안녕! 새로운 얼굴을 보니 반갑네. 언제 얘기 좀 하면 좋을 것 같아. 우리 집은 대화가 거의 없거든.
로만 솔트INTRO |= 나한테 말하지 마! 삐지느라 너무 바빠!
피터 페퍼INTRO |= 와! 어서와! 내 손가락 냄새 맡아봐! 좋은 농담 알아? 네 얼굴 말고? 썡! 너 같은 머리칼을 가진 사람을 마지막으로 본 건 양 시장에서였어. 카둠프!
캐롤리나 페퍼INTRO |=아, 제발 다른 농담말고 말해봐? 인생에서 농담이 더 이상 빛을 발하지 못하고, 말장난이 빛을 잃고 흐릿한 표현만 남게 되는 때가 오기 마련이지.
벨 페퍼INTRO |= 난 벨이야! 언제든 반지를 줘도 돼, 귀염둥아! 나는 달력같아서 데이트를 좋아하지, 자두도 좋아해.
로지 크러스트INTRO |= 오, 폭신폭신한 크러스트, 내 사랑! 포피힐에 온 걸 환영해! 여성에게 알려진 최고의 파이와 페이스트리의 본고장. 계속 빵을 굽고 싶어! 너의 체리를... 내 케이크 위에 올리고 싶네.
핀 크러스트INTRO |= 오, 좋은 하루 되렴! 파이를 좋아하니? 케이크 전문가? 빵 도둑일지도 모르지! 내 아내의 빵에 손대지 마!
허비 위드INTRO |= 안녕. 만나서 반가워. 난 허비야. 최근에 사랑하는 아이비와 결혼해서 함께 이 멋진 약국을 열었. 약용 식물이 필요하면 내가 도와줄게. 다른 곳보다 가격이 비싸지만 비싼 만큼 장점이 있겠지? 맞아, 수익이 더 많지! 가게는 아직 운영하고있니?
허비 위드INTRO |= 아직은 얼마 안됐지만 결혼은 꼭 추천해요! 결혼하고 싶다면 러버우드에 있는 대제사장을 찾아가봐. 그의 도움 없이는 결혼할 수 없으니 꼭 만나야겠지?
아이비 위드INTRO |= 안녕. 너는 기쁨과 즐거움을 섞을 줄 아는 사람처럼 보이네. 내가 너에게 에너지를 주고 모든 감각을 춤추는 별빛의 무지개로 만들 수 있는 무언가를 섞어줄 수 있어.
아이비 위드INTRO |= 내 반짝이는 낭만적인 기분을 용서해 주렴. 얼마 전에 허비와 결혼해서 약국을 열었어. 꿈이 이뤄진 거지.
해나 해머INTRO |= 어떻게 하냐고? 우리는 대장간에서 꽤 괜찮은 아이템을 만들기 때문에 구매하고 싶다면 네리스에게 물어봐. 내가 만들면 네리스가 배송하지.
네리스 네일INTRO |= 안녕! 나는 네리스 네일이야. 내가 못을 만드는 대장간에서 일하니까 웃기네. 나는 개인적으로 못을 직접 만드는 것보다 못을 그리는 걸 더 좋아해(낄낄).
에드워드 우드INTRO |= 안녕! 서머다운에 온 것을 환영해. 부스러기와 소스 얼룩이 묻지 않은 새로운 얼굴을 보니 반갑네. 나와 데이지뿐이야. 엄마에게 일어난 일 이후로 데이지가 믿음을 주는 타입은 아니지만 착한 아이지.
데이지 우드INTRO |= 안녕하세요. 아빠는 모든 사람에게 예의를 갖춰야 한다고 하셨어요. 자신이 대접받고 싶은 대로 다른 사람을 대하라고 말씀하셨죠.
포피 시드INTRO |= 오오오! 안녕, 묘목아. 넌 소녀에게 숲의 가장 어두운 구석을 보여줄 수 있는 사람처럼 보이네. 언제 한번 같이 가보자 네가 장작을 가져오면 내가 불을 피울게.
케인 하인즈INTRO |= 안녕. 개를 좋아하니? 나는 개를 사랑해. 나는 개에 관한 책을 써. 혹시 읽어 봤니? 개는 매우 유용하지. 개가 기분이 좋을 때 꼬리를 흔든다는걸 알고 있었어? 나도 가끔 그러거든.
로저 레들리INTRO |= 이게 누구죠? 낯설지만 예쁜 얼굴이네요. 내가 가장 잘하는 게 당신을 따르는거에요. 이름만 들어도 알 수 있듯이 로저에요. 멍!
로즈 쏜INTRO |= 어서 오세요, 어서 오세요! 정령과 여신이 오늘 여러분을 축복합니다. 당신을 기리며 속삭이는 주문을 외우면 내 기운이 당신 앞에서 따스해집니다.


토비 저그INTRO |= 반갑네! 윌로우다운 쌍둥이 중 한명이지, 그렇지? 내 여관에서 일하기에 어려서 아쉽구나. 미성년자에게 술을 팔지 않지만 광부에게는 팔지! 어찌돼었든간, 지금은 내 딸인 멜라니가 여관을 운영하고 있어. 나보다 일머리가 잘 돌아가는 모양이야.
멜라니 저그INTRO |= 베일에 온걸 환영해. 나는 마을 펍인 플레일링 암스의 주인이고, 내 아버지 토비가 돌아다니는 걸 봤을거야. 술은 못 주지만 언제든 와. 퀼 전체에서 가장 좋은 술이 있으니까.
부츠 윈터INTRO |= 아, 어서 오세요, 어서 오세요! 무지한 사람들이 가끔 걸리는 저주와 질병의 또 다른 잠재적 희생자여. 우리는 베일에서 최고지요... 그으으으리고 베일에서 유일무이하죠.
레미 십INTRO |= 음, 건강한것 같나요? 하지만 언제 갑자기 급성 출혈이 생기거나 예기치 못한 병이 생길지 모르니까요. 드루이다를 계속 섬기면 제 도움이 많이 필요 없을 겁니다.
이카보드 문INTRO |= 안녕하세요! 저는 상인이자 상품 판매자인 이카보드입니다. 저는 멀리서 베일에 왔다가 시장에 구멍이 뚫린 것을 발견했죠. 구멍을 메운 후 시장 가판대를 세우고 열심히 일한 끝에 지금의 자리까지 왔습니다.
제프리 블랙INTRO |= 빌이 데려온 건방진 애송이 중 한 명이지? 윌로우다운 농장과 수년간 많은 거래를 해왔지. 낫, 삽, 더 많은 삽... 그리고 다른 여러 가지 철제 물건들을. 제레미가 단조하면 내가 그걸 팔지.
패피 카우INTRO |= 원하는 게 뭐야? 여기로 이사 왔는데 소음만 들리잖아. 드루이다의 겨드랑이 옆에 이 늙은이를 내버려두고 평화를 줘!
팻 카우INTRO |= 오! 이 집을 고쳤다고? 나쁘지 않네. 아빠를 귀찮게 하지는마!
톰 카우INTRO |= 집을 고쳐줘서 고마워. 이름은 톰 코우야. 내가 할 일이 많아서 미안하지만 다시 한 번 고마워.
밀리 카우INTRO |= 너도 입양아 중 하나 아냐? 무슨 일이야? 너희 엄마 아빠가 널 숲 속에 버렸다고? 이유를 알겠네!
빌리 카우INTRO |= 난 모르는 사람이랑 얘기하면 안 되는데 넌 파란 소똥처럼 이상해. 그러니 어서 꺼져!
워젤 스크럼피INTRO |= 우린 테스티 에이커스 주변의 낯선 사람들을 별로 좋아하지 않으니까 멀리 떨어져. 스크럼피 사과주만 환영하고, 그 때도 난 그것들을 반쯤 못 본 척했어.
베티 스크럼피INTRO |= 안녕, 멍청아. 내가 너라면 우리 농장에 얼씬도 하지 않을 거야. 우리 워젤은 침입자를 싫어하거든. 지나가는 사람, 떠드는 사람, 등산객, 방문객, 선의의 방문객도 싫어하지. 그 외에는 정직하고 사랑스러운 녀석이야.
제드 스크럼피INTRO |= 나랑 놀만한 애가 있네! 자, 내 손가락 잡아 당겨봐. 어서어어어어. 당겨!
네드 스크럼피INTRO |= 아빠는 내가 사람들과 이야기하는 걸 좋아하지 않으시지만, 적보다는 아군이 있는 것이 훨씬 유리한 것 같아요.
존 보우스INTRO |= 집 고쳐줘서 고마워. 나는 존 보우스야. 나는 북부의 오랜 벌목꾼 집안에서 태어났지만 나와 같은 벌목공과 벌목부도 꽤 많았지.
루시 애로우즈INTRO |= 음, 안녕하세요! 만나기를 바랐어요. 우리 모두 빌 할아버지의 새 병동에 대해 많이 들었고 모두 너에 대해 궁금해하고 있어. 난 모든 게 궁금해, 특히 과거가 궁금하지. 페이나 고대인에 관한 모든 것이 궁금해!
아이제아 그린INTRO |= 오, 회개하라, 이 죄인아! 자신이 죄를 짓지 않았다고 생각한다면 바로 그 점이 죄입니다! 여신들께 용서를 구하세요. 여신들이 우릴 보고 있어요! 우리 모두를 지켜보고 계십니다! 
테레사 그린INTRO |= 두개골 뒤쪽에서 느껴지는 얼음장 같은 느낌? 그건 너의 영혼을 파고드는 드루이다의 시선이다. 풍성한 제물을 바치거나 천 개의 저주의 어둠 속에서 몸부림칠 준비를 하라!
아서 브라운INTRO |= 우우우우와, 너와 조금 다르지만 너같은 사람 본 적 없어? 잠깐만. 마을에서 멀리 떨어진 농장에 살고 있겠지? 브라운 거주지에는 언제든 환영이야.
테레사 브라운INTRO |= 만나서 반갑구나. 너를 우리 마을로 데려온 것은 진실로 드루이다의 관대함이며, 그에 대해 우리는 드루이다에게 감사하고 있단다.
아서 브라운INTRO |= 흠, 네 얼굴은 나에게 즉흥적인 스탠자를 떠오르게 해. 에헴. "여름 폭풍우에 올챙이로 가득 찬 연못. 올챙이들의 꼬리가 불안하다. 물방울이 수면에 무지개를 만들어낸다. 바로 당신입니다. 개구리가 될 당신입니다."
이그나티우스 케틀INTRO |= 무슨 말이야? 나 물에 빠져 죽을까요, 엄마? 우리 엄마는 몇 년 전에 돌아가셨어! 아, 너는 윌로우다운 농장 출신이구나! 들어본 적도 없어.
홀리 케틀INTRO |= 프라일의 털복숭이들 중 누구야? 변장한 티팟은 아니겠지? 그럼 알았어. 가까이 가지 않는 게 좋을 거야. 그들은 양조업자들이야.
코퍼 케틀INTRO |= 헛소리 헛소리 허어어어어어어어엇 소리!!
에드워드 티팟INTRO |= 캔들위치에서 처음 보는군. 위장 잠입한 케틀은 아니지? 좋아, 좋아 그 가족은 내 피를 끓게 하네.
에드나 티팟INTRO |= 너는 분명 오랫동안 그리워했던 나의 사촌, 키가 작고 통통한 사촌이야, 그렇지? 아니, 손잡이가 안보이네. 시력이 예전같지 않아. 주둥이 바로 아래로 사라졌어. 귀도 밀랍이 가득찬 이후로 예전 같지 않아.
클레이 티팟INTRO |= 아브루웁! 히기 뜨어어어어어업! 윕
헤이즐 너트INTRO |= 잠깐만! 고양이들이 너의 영혼을 들여다보며 너을 믿을 수 있는지 판단하고 있어... 그리고 축하해. 고양이들이 네 눈을 뜯어내지 않았다는 건 네가 합격했다는 뜻이야.
허버트 레몬INTRO |= 안돼안돼안돼! 넌 가면 안 돼! 안 돼, 안 돼, 진짜야! 네 삼촌이 너를 지켜보라고 했어! 삼촌이 허락할 때까지 베일을 떠나면 안 돼!
진저 너트INTRO |= 젊은 친구가 하나 더 생겨서 좋네. 이 근처를 걸을 때 와볼수 있을거야. 헤이즐이 결혼한 후 집을 나가서 방문객이 많지 않아. 남편은 가출했고, 이제는 늙은 엄마를 보러 오는 것보다 고양이들과 시간을 보내는 게 더 좋다고 하더라고.
제이콥 크랙클INTRO |= 헉! 들리니? 이 주변의 죽은 자들이 내게 속삭이는거 같아. "제이콥"이라고 말하지. "우리는 여기 있고, 너를 지켜보고 있다..." 진짜야! 사람들이 죽으면 땅에 묻히던 고대시대부터 존재했어. 그리고 그들은 여신들을 믿지 않았기 때문에 저주를 받았지. 남자 신을 숭배했어! 하하! 믿어? 남자 신! 헉! 다시 그들이 속삭임을 들은 것 같아...
