ChallengeTextBuyShopBlacksmith |= 대장간 구입
ChallengeDiscoverRecipesStew |= 모든 스튜 조리법 찾기 (<VAR1>/<VAR2>)
ChallengeDiscoverRecipesPie |= 모든 파이 조리법 찾기 (<VAR1>/<VAR2>)
ChallengeDiscoverRecipesDessert |= 모든 디저트 조리법 찾기 (<VAR1>/<VAR2>)
ChallengeDiscoverRecipesBread |= 모든 빵 조리법 찾기 (<VAR1>/<VAR2>)
ChallengeDiscoverRecipesSandwich |= 모든 샌드위치 조리법 찾기 (<VAR1>/<VAR2>)
ChallengeDiscoverBooks |= 책 찾기 (<VAR1>/<VAR2>)
ChallengeDiscoverGossip |= 별 등급 조건 찾기 (<VAR1>/<VAR2>)
ChallengeDiscoverGossipFruitnVeg |= 모든 과일과 채소 별 등급 조건 찾기 (<VAR1>/<VAR2>)
ChallengeDiscoverGossipFish |= 모든 생선 별 등급 조건 찾기 (<VAR1>/<VAR2>)
ChallengeDiscoverGossipFlower |= 모든 생선 꽃 등급 조건 찾기 (<VAR1>/<VAR2>)
ChallengeDiscoverGossipHerb |= 모든 허브 별 등급 조건 찾기 (<VAR1>/<VAR2>)
ChallengeDiscoverMapstone |= 지도 그리기 (<VAR1>/<VAR2>)
ChallengeDiscoverMapstoneVALE |= 베일의 모든 지도 그리기 (<VAR1>/<VAR2>)
ChallengeDiscoverMapstoneSUMMERDOWN |= 섬머다운의 모든 지도 그리기 (<VAR1>/<VAR2>)
ChallengeDiscoverMapstoneMELLOWFIELDS |= 멜로우필드의 모든 지도 그리기 (<VAR1>/<VAR2>)
ChallengeDiscoverMapstoneWOEMARSH |= 우마쉬의 모든 지도 그리기 (<VAR1>/<VAR2>)
ChallengeDiscoverMapstoneTIRNANOG |= 티르 나 노그의 모든 지도 그리기 (<VAR1>/<VAR2>)
ChallengeDiscoverMapstoneEVERGREEN |= 에버그린의 모든 지도 그리기 (<VAR1>/<VAR2>)
ChallengeDiscoverMapstoneVOIDE |= 보이드의 모든 지도 그리기 (<VAR1>/<VAR2>)
ChallengeDiscoverDatespots |= 데이트 장소 찾기 (<VAR1>/<VAR2>)
ChallengeDiscoverDatespotsVALE |= 베일의 모든 데이트 장소 찾기 (<VAR1>/<VAR2>)
ChallengeDiscoverDatespotsSUMMERDOWN |= 섬머다운의 모든 데이트 장소 찾기 (<VAR1>/<VAR2>)
ChallengeDiscoverDatespotsMELLOWFIELDS |= 멜로우필드의 모든 데이트 장소 찾기 (<VAR1>/<VAR2>)
ChallengeDiscoverDatespotsWOEMARSH |= 우마쉬의 모든 데이트 장소 찾기 (<VAR1>/<VAR2>)
ChallengeDiscoverHomestone |= 홈스톤 찾기 (<VAR1>/<VAR2>)
ChallengeDiscoverHomestoneVALE |= 베일의 홈스톤 찾기 (<VAR1>/<VAR2>)
ChallengeDiscoverHomestoneSUMMERDOWN |= 섬머다운의 홈스톤 찾기 (<VAR1>/<VAR2>)
ChallengeDiscoverHomestoneMELLOWFIELDS |= 멜로우필드의 홈스톤 찾기 (<VAR1>/<VAR2>)
ChallengeDiscoverHomestoneWOEMARSH |= 우마쉬의 홈스톤 찾기 (<VAR1>/<VAR2>)
ChallengeDiscoverGoddess |= 여신상 찾기 (<VAR1>/<VAR2>)
ChallengeDiscoverGoddessVALE |= 베일의 여신상 찾기 (<VAR1>/<VAR2>)
ChallengeDiscoverGoddessSUMMERDOWN |= 섬머다운의 여신상 찾기 (<VAR1>/<VAR2>)
ChallengeDiscoverGoddessMELLOWFIELDS |= 멜로우필드의 여신상 찾기 (<VAR1>/<VAR2>)
ChallengeDiscoverGoddessWOEMARSH |= 우마쉬의 여신상 찾기 (<VAR1>/<VAR2>)
ChallengeDate |= 데이트하기
ChallengeMarry |= 결혼하기
ChallengeNPCStory |= NPC 스토리 완료
ChallengeFamilySecret |= 가족 비밀 밝히기 (<VAR1>/<VAR2>)
ChallengeChild |= 아이를 갖기
ChallengeChildStatACCURACY |= 아이의 명중 능력치 높이기
ChallengeChildStatBARTER |= 아이의 거래 능력치 높이기
ChallengeChildStatCHARM |= 아이의 매력 능력치 높이기
ChallengeChildStatCONSTITUTION |= 아이의 체질 능력치 높이기
ChallengeChildStatINTELLIGENCE |= 아이의 매력 능력치 높이기
ChallengeChildStatSPEED |= 아이의 속도 능력치 높이기
ChallengeChildStatSTAMINA |= 아이의 체력 능력치 높이기
ChallengeChildStatSTRENGTH |= 아이의 힘 능력치 높이기
ChallengeChildStatTOUGHNESS |= 아이의 방어 능력치 높이기
ChallengeFriend |= 중립적인 사람을 우호적인 사람으로 바꾸기
ChallengeLike |= 누군가 당신을 좋아하게 만들기
ChallengeLove |= 누군가 당신을 사랑하게 만들기
ChallengeLikeVale |= 베일의 모두가 당신을 좋아하게 만들기
ChallengeLikeSummerdown |= 섬머다운의 모두가 당신을 좋아하게 만들기
ChallengeLikeMellowfield |= 멜로우필드의 모두가 당신을 좋아하게 만들기
ChallengeLikeWoemarsh |= 우마쉬의 모두가 당신을 좋아하게 만들기
ChallengeFnF |= 가족이나 친구가 건축을 돕기
ChallengeFnFGreenhouse |= 가족이나 친구가 온실 건축을 돕기
ChallengeFnFFaeGreenhouse |= 가족이나 친구가 페이 온실 건축을 돕기
ChallengeFnFPigPen |= 가족이나 친구가 돼지 우리 건축을 돕기
ChallengeFnFSheepPen |= 가족이나 친구가 양 우리 건축을 돕기
ChallengeFnFAltar |= 가족이나 친구가 제단 건축을 돕기
ChallengeFnFCowShed |= 가족이나 친구가 외양간 건축을 돕기
ChallengeFnFToolShed |= 가족이나 친구가 도구 창고 건축을 돕기
ChallengeFnFPigCompost |= 가족이나 친구가 돼지 퇴비 건축을 돕기
ChallengeFnFSheepCompost |= 가족이나 친구가 양 퇴비 건축을 돕기
ChallengeFnFChickenCoop |= 가족이나 친구가 닭장 건축을 돕기
ChallengeRepairHome |= 집 수리 (<VAR1>/<VAR2>)
ChallengeMeleeTutorial |= 근접전투 튜토리얼 완료
ChallengeRangedTutorial |= 원거리 전투 튜토리얼 완료
ChallengeClearSimplewood |= 심플우드 클리어
ChallengeClearMidwood |= 미드우드 클리어
ChallengeClearToughwood |= 터프우드 클리어
ChallengeClearMaxSimplewood |= 최대 깊이에서 심플우드 클리어
ChallengeClearMaxMidwood |= 최대 깊이에서 미드우드 클리어
ChallengeClearMaxToughwood |= 최대 깊이에서 터프우드 클리어
ChallengeClearNoDamageSimplewood |= 데미지를 받지 않고 심플우드 클리어
ChallengeClearNoDamageMidwood |= 데미지를 받지 않고 미드우드 클리어
ChallengeClearNoDamageToughwood |= 데미지를 받지 않고 터프우드 클리어
ChallengeClearMaxNoDamageSimplewood |= 데미지를 받지 않고, 최대 깊이에서 심플우드 클리어
ChallengeClearMaxNoDamageMidwood |= 데미지를 받지 않고, 최대 깊이에서 미드우드 클리어
ChallengeClearMaxNoDamageToughwood |= 데미지를 받지 않고, 최대 깊이에서 터프우드 클리어
ChallengeMaxSimplewood |= 심플우드에서 최대 깊이 도달
ChallengeMaxMidwood |= 미드우드에서 최대 깊이 도달
ChallengeMaxToughwood |= 터프우드에서 최대 깊이 도달
ChallengeCombatSimplewood |= 심플우드 적 처치 (<VAR1>/<VAR2>)
ChallengeCombatMidwood |= 미드우드 적 처치 (<VAR1>/<VAR2>)
ChallengeCombatToughwood |= 터프우드 적 처치 (<VAR1>/<VAR2>)
ChallengeCombatHob |= 홉 처치 (<VAR1>/<VAR2>)
ChallengeCombatLob |= 롭 처치 (<VAR1>/<VAR2>)
ChallengeCombatNob |= 놉 처치 (<VAR1>/<VAR2>)
ChallengeCombatNymph |= 님프 처치 (<VAR1>/<VAR2>)
ChallengeCombatForestHag |= 숲 할망 처치 (<VAR1>/<VAR2>)
ChallengeCombatEliteForestHag |= 정예 숲 할망 처치 (<VAR1>/<VAR2>)
ChallengeCombatCroaker |= 크로커 처치 (<VAR1>/<VAR2>)
ChallengeCombatWaterHag |= 물 할망 처치 (<VAR1>/<VAR2>)
ChallengeCombatSpriggan |= 스프리건 처치 (<VAR1>/<VAR2>)
ChallengeCombatFachen |= 파첸 처치 (<VAR1>/<VAR2>)
ChallengeCombatGreaterNob |= 위대한 놉 처치 (<VAR1>/<VAR2>)
ChallengeCombatEliteWaterHag |= 정예 물 할망 처치 (<VAR1>/<VAR2>)
ChallengeCombatEliteFachen |= 정예 파첸 처치 (<VAR1>/<VAR2>)
ChallengeCombatBarghest |= 바르게스트 처치 (<VAR1>/<VAR2>)
ChallengeCombatNightHag |= 밤 할망 처치 (<VAR1>/<VAR2>)
ChallengeCombatOgyr |= 오기르 처치 (<VAR1>/<VAR2>)
ChallengeCombatRemnant |= 렘넌트 처치 (<VAR1>/<VAR2>)
ChallengeCombatBanshee |= 밴시 처치 (<VAR1>/<VAR2>)
ChallengeCombatEliteBanshee |= 정예 밴시 처치 (<VAR1>/<VAR2>)
ChallengeCombatEliteNightHag |= 정예 밤 할망 처치 (<VAR1>/<VAR2>)
ChallengeCombatEliteOgyr |= 정예 오기르 처치 (<VAR1>/<VAR2>)
ChallengeRescue |= 구조 임무 클리어 (<VAR1>/<VAR2>)
ChallengeGather |= 가족 모임 보내기 (<VAR1>/<VAR2>)
ChallengeNoticeboardClear |= 게시판 과제 클리어 (<VAR1>/<VAR2>)
ChallengeNoticeboardVale |= 베일 마을 사람들을 위한 게시판 과제 클리어 (<VAR1>/<VAR2>)
ChallengeNoticeboardSummerdown |= 서머다운 마을 사람들을 위한 게시판 과제 클리어 (<VAR1>/<VAR2>)
ChallengeNoticeboardMellowfield |= 멜로우필드 마을 사람들을 위한 게시판 과제 클리어 (<VAR1>/<VAR2>)
ChallengeNoticeboardWoemarsh |= 우마쉬 마을 사람들을 위한 게시판 과제 클리어 (<VAR1>/<VAR2>)
ChallengeCatchFish |= 생선 잡기 (<VAR1>/<VAR2>)
ChallengeGoddessOffering |= 여신의 제물 만들기 (<VAR1>/<VAR2>)
ChallengeRacePig |= 돼지를 경주에 참가시키기
ChallengeRacePigWin |= 당신의 돼지가 경주에서 우승
ChallengeRaceSheep |= 양을 경주에 참가시키기
ChallengeRaceSheepWin |= 당신의 양이 경주에서 우승
ChallengeFlower |= 꽃 품평회 참가
ChallengeFlowerWin |= 꽃 품평회 우승
ChallengeBake |= 위대한 퀼식 빵 굽기 콘테스트 참가
ChallengeBakeWin |= 위대한 퀼식 빵 굽기 콘테스트 우승
ChallengeVegetable |= 채소 품평회 참가
ChallengeVegetableWin |= 채소 품평회 우승
ChallengeFishing |= 낚시 대회 참가
ChallengeFishingWin |= 낚시 대회 우승
ChallengeDanceBlossom |= 블라썸 댄스 중에 선물 받기
ChallengeDanceMaypole |= 메이폴 댄스 중에 선물 받기
ChallengeDanceSamain |= 사마인 댄스 중에 선물 받기
ChallengeDanceFel |= 펠 댄스 축제 기간 동안 선물 받기
ChallengeMarble |= 대리석 던지기 참기
ChallengeMarbleWin |= 대리석 던지기에서 최우수상을 획득
ChallengeSqueal |= Squeal or No Squeal 참가
ChallengeSquealWin |= Squeal or No Squeal 탑 3 상 획득
ChallengeGoddess5StarAurore |= 오로레에게 5 별 제물을 바치기
ChallengeGoddess5StarDruida |= 드루이다에게 5 별 제물을 바치기
ChallengeGoddess5StarFreyl |= 프레일에게 5 별 제물을 바치기
ChallengeGoddess5StarHyalis |= 히알리스에게 5 별 제물을 바치기
ChallengeGoddess5StarMorvenna |= 모베나에게 5 별 제물을 바치기
ChallengeGoddess5StarNaida |= 나이다에게 5 별 제물을 바치기
ChallengeFamilyGatherVALE |= 베일에서 가족이 최대 위치 XP 달성 (<VAR1>/<VAR2>)
ChallengeFamilyGatherSUMMERDOWN |= 섬머다운에서 가족이 최대 위치 XP 달성 (<VAR1>/<VAR2>)
ChallengeFamilyGatherMELLOWFIELD |= 멜로우필드에서 가족이 최대 위치 XP 달성 (<VAR1>/<VAR2>)
ChallengeFamilyGatherWOEMARSH |= 우마쉬에서 가족이 최대 위치 XP 달성 (<VAR1>/<VAR2>)
ChallengeFamilyGatherSIMPLEWOOD |= 심플우드에서 가족이 최대 위치 XP 달성 (<VAR1>/<VAR2>)
ChallengeFamilyGatherMIDWOOD |= 미드우드에서 가족이 최대 위치 XP 달성 (<VAR1>/<VAR2>)
ChallengeFamilyGatherTOUGHWOOD |= 터프우드에서 가족이 최대 위치 XP 달성 (<VAR1>/<VAR2>)
ChallengeFamilyGatherTNN |= 티르 나 노그에서 가족이 최대 위치 XP 달성 (<VAR1>/<VAR2>)
ChallengeFamilyGatherEVERGREEN |= 에버그린에서 가족이 최대 위치 XP 달성 (<VAR1>/<VAR2>)
ChallengeFamilyGatherVOIDE |= 보이드에서 가족이 최대 위치 XP 달성 (<VAR1>/<VAR2>)
