GEN_NPC_STORY_TRADER_INTRO_1_GENERIC |= 안녕하세요! 만나서 반갑습니다. 제 이름은 {FULLNAME}입니다. 최근에 지역 잡화점을 인수했으니 많은 성원 부탁드립니다!
GEN_NPC_STORY_TRADER_FRIENDLY_1_PIOUS |= 이 노력이 성공하기 위해 필요한 것은 약간의 믿음뿐이었습니다. 독립적으로 사업을 운영할 자신이 없었지만 여신이 지켜봐 주신다면 무엇이든 이룰 수 있을 것 같았어요.
GEN_NPC_STORY_TRADER_FRIENDLY_1_JOVIAL |= 항상 만나서 반갑습니다. 이 가게를 운영하는 것은 저에게 큰 기쁨을 가져다줍니다. 왜 사람들이 지금 이 일을 매장 운영이라고 부르는지 알겠어요. 항상 뛰어다니고 있으니까요! 제가 듣는 이야기, 제가 사귀는 친구들, 이 모든 것이 끝없이 영감을 줍니다. 농산물뿐만 아니라 매일 새롭고 신선한 것을 만날 수 있어요.

GEN_NPC_STORY_TRADER_FRIENDLY_2_GENERIC |= 몇 계절만 더 지나면 이곳을 특별한 곳으로 만들 수 있을 것 같아요. 성공적인 잡화점를 운영하는 것이 제 꿈이었어요. 퀼리언의 꿈, 자본주의죠. 가게 위에 큰 글씨로 자신의 이름을 새겨 넣는 거죠.
GEN_NPC_STORY_TRADER_FRIENDLY_2_GENERIC |= 커뮤니티에 좀 더 많이 참여해야겠어요. 단순히 매출에 도움이 되기 때문만이 아니라 주변 사람들이 저를 정말 좋아하고 있어요. 말 그대로요.
GEN_NPC_STORY_TRADER_FRIENDLY_2_BOASTFUL |= 제가 여기서 판매하는 상품이 품질이 좋기 때문이죠. 상품을 매장으로 가져오는 데는 조금 더 많은 노력이 필요하지만 그만한 가치가 있다고 생각합니다. 판매량이 그 자체로 말해주죠. 글쎄요, 그들이 말할 수 있다면 말하겠죠.
GEN_NPC_STORY_TRADER_FRIENDLY_2_QUIRKY |= 그뿐만이 아닙니다. 저는 '보이지 않는 친구'라고 부르는 분들의 도움을 조금씩 받고 있습니다. 가끔은 예측할 수 없을 때도 있지만, 아침에 매장에 와서 밤에 해놓은 집안일을 발견하면 반갑습니다.

GEN_NPC_STORY_TRADER_LIKE_1_GENERIC |= 처음 이 안식처에 왔을 때 한두 계절만 머물 생각이었는데 누가 알았겠어요? 당신 같은 친절한 사람들이 곁에 있으니 떠나기가 훨씬 더 힘들어졌어요.
GEN_NPC_STORY_TRADER_LIKE_1_GENERIC |= 이제 이곳에 내 집을 마련한 것 같아요. 떠돌이 상인으로 살던 시절은 이미 오래전에 지나갔어요. 이 작은 마을의 소중한 일원으로서 이곳 사람들에게 서비스를 제공할 수 있다는 사실이 정말 좋아요. 물론 대가를 치러야 하지만요.
GEN_NPC_STORY_TRADER_LIKE_1_JOVIAL |= 누가 뭐라든, 좋은 친구와의 또 다른 의미 있는 만남으로 영광스러운 하루를 보냈습니다. 하지만 매장에서 일하면서 소문을 엿듣다 보면 친절한 미소를 유지하기가 어려울 때가 있습니다. 어떤 사람들은 다른 사람들의 뒤에서 하는 말을 들어야 합니다. 때때로 사소하게 느껴질 때도 있지만 진심으로 제 하루를 밝게 해주는 여러분 같은 사람들이 있다는 것을 알기 때문에 참을 수 있습니다. 의료용 양동이를 사고 싶으신가요?
GEN_NPC_STORY_TRADER_LIKE_1_QUIRKY |= 저는 항상 이방인처럼 느껴졌어요. 어떤 이들은 제가 페이와 떨어져 있다고 말하죠. 페이들도 그렇게 생각하죠! 이제 저는 진짜 사람들 사이에서 의미 있는 서비스를 제공하고 있습니다. 제 생각에서 벗어나고 싶지는 않지만, 다른 4분의 3이 어떻게 사는지 다른 분야를 방문하는 것을 좋아합니다.

GEN_NPC_STORY_TRADER_LIKE_2_GENERIC |= 여러분 같은 분들 덕분에 제가 여기 남을 수 있었어요. 저는 항상 방랑자의 마음을 가지고 있었지만, 가끔은 나무를 충분히 보고 나면 뿌리를 갈망하게 되죠.
GEN_NPC_STORY_TRADER_LIKE_2_GENERIC |= 이제 뿌리를 내리고 더 오래 머무를 준비가 된 것 같아요. 여러분께 감사드리고 싶네요.
GEN_NPC_STORY_TRADER_LIKE_2_COMPLAINER |= 저 홉들이 날 좀 내버려뒀으면 좋겠어요. 난 그저 아이템을 모으고 싶을 뿐이에요. 사람들에게는 잘 말하지 않지만 얼마 전에 이 사악한 생명체 중 하나에게 삼촌을 잃었어요. 솔직히 말하자면 그게 제가 여기로 이사 온 이유 중 하나예요. 잃어버린 가족을 떠올리게 하는 것, 특히 그것들이 저를 벽으로 몰아붙이는 것에서 벗어나기 위해서요.
GEN_NPC_STORY_TRADER_LIKE_2_BOASTFUL |= 잠시 솔직하게 말씀드릴게요. 제가 상점에 공급하는 대부분의 아이템은 제가 직접 고른 것이 아닙니다. 저는 커뮤니티에서 지식이 풍부한 점주로서 존재감을 드러내고 있지만, 절반은 제가 무슨 말을 하는지 모르겠어요. 저는 잘난 척하는 것을 좋아합니다. 저는 잘하지만 그렇게 잘하지는 못합니다.
GEN_NPC_STORY_TRADER_LIKE_2_PIOUS |= 여신이 저를 보호하고 있다는 건 알지만, 가끔은 조상님들이 제가 이룬 모든 것을 보실 수 있으면 좋겠어요. 자랑스러워하실지 아닐지는 모르겠지만 제가 목표한 바를 이뤘다는 걸 알면 기분이 나아질 것 같아요.

GEN_NPC_STORY_TRADER_START_COMPLAINER_1 |= 마무리 좀 해주시겠어요? 저 홉 몇 놈을 쓰러뜨려주면 좋은 보상을 주겠소. 칼을 잘 다룬다면서요. 목표를 알려드리기 위해 홉 20 마리를 처치해 주시겠어요?
GEN_NPC_STORY_TRADER_TASK_NAME_COMPLAINER_1 |= 홉 20 마리를 처치하고 돌아옵니다.
GEN_NPC_STORY_TRADER_TASK_DESC_COMPLAINER_1 |= 심플우드에서 홉 총 20마리 처치. 전투 중 화면 카운터로 진행 상황을 확인할 수 있습니다.
GEN_NPC_STORY_TRADER_END_COMPLAINER_1 |= 시간을 내어 도와주셔서 감사합니다. 당신이 그들에게 무엇을 주었기를 바랍니다!

GEN_NPC_STORY_TRADER_START_COMPLAINER_2 |= 가서 홉을 죽이고 평화롭게 지내고 싶어요. 하지만 구입할 수 있는 무기의 품질이 그다지 좋지 않아요. 괜찮은 검을 만들어 주실 수 있나요? 그리고 저를 도와줄 부적도요? 당신의 장인정신을 믿어요.
GEN_NPC_STORY_TRADER_TASK_NAME_COMPLAINER_2 |= {FULLNAME} 검 + 부적 선물하기
GEN_NPC_STORY_TRADER_TASK_DESC_COMPLAINER_2 |= 의뢰한 NPC에게 검과 부적을 선물합니다. 검과 부적은 대장간에서 구입, 획득, 선물 또는 제작할 수 있습니다.
GEN_NPC_STORY_TRADER_END_COMPLAINER_2 |= 정말 재미있었어요! 그 장비는 최고급이었고, 제 칼날에 흠이 조금 생겼어요. 건배!

GEN_NPC_STORY_TRADER_START_JOVIAL_1 |= 저는 젤리보다 더 유쾌하지만, 계속되는 험담과 뒷담화가 저를 우울하게 만들고 있어요! 저는 활기찬 사람이고 찡그리지 않고 웃는 것을 좋아해요. 제 잡화점을 저한테서 사면 어떨까요? 반값에 드릴 수 있어요! 이 모든 불행을 조장하는 사람들로부터 제 정신을 지키기 위해 기꺼이 그렇게 할게요.
GEN_NPC_STORY_TRADER_TASK_NAME_JOVIAL_1 |= 잡화점 구매
GEN_NPC_STORY_TRADER_TASK_DESC_JOVIAL_1 |= 상점 카운터의 빨간색 장부와 상호작용하고 구매에 동의하면 NPC가 소유한 상품 상점을 구매할 수 있습니다.
GEN_NPC_STORY_TRADER_END_JOVIAL_1 |= 당신은 스타이며 실수하지 않습니다. 당신은 훌륭한 사업가가 될 것입니다! 소문은 듣지 마세요!

GEN_NPC_STORY_TRADER_START_JOVIAL_2 |= 더 나은 고객을 유치하기 위해 새로운 마케팅 기법을 시도해야 할까요? 누군가에게 최고 품질의 샘플을 주면서 이 샘플을 어디서 구했는지 알려줄 수 있을까요?
GEN_NPC_STORY_TRADER_TASK_NAME_JOVIAL_2 |= 모든 NPC에게 5별 아이템 선물하기
GEN_NPC_STORY_TRADER_TASK_DESC_JOVIAL_2 |= 채팅 선물 또는 상호작용 휠을 통해 보유한 모든 5별 아이템을 선물합니다.
GEN_NPC_STORY_TRADER_END_JOVIAL_2 |= 실제로 도움이 되지 않았습니다. 이제 험담의 질이 더 좋아졌을 뿐입니다! 그래도 시도해줘서 고마워요.

GEN_NPC_STORY_TRADER_START_BOASTFUL_1 |= 제 상점을 위해 고급 물고기를 구할 수 있도록 도와주시겠습니까? 그런 경품 아이템이 관심을 끌고 구매자를 끌어들일 수 있을 것 같네요.
GEN_NPC_STORY_TRADER_TASK_NAME_BOASTFUL_1 |= {FULLNAME}에게 5 별 물고기를 선물합니다.
GEN_NPC_STORY_TRADER_TASK_DESC_BOASTFUL_1 |= 어떤 종류의 5 별 물고기를 잡거나, 구매하거나, 획득하거나, 선물받아 필요한 NPC에게 선물하세요. 퀼 주변에는 바다가 없으므로 불가사리 5마리가 아닙니다.
GEN_NPC_STORY_TRADER_END_BOASTFUL_1 |= 생선 장수가 주문한 그대로! 당신은 훌륭한 발바닥을 가지고 있습니다. 와헤이! 전에는 그런 말을 들어본 적이 없나요?

GEN_NPC_STORY_TRADER_START_BOASTFUL_2 |= 제 상점을 더욱 돋보이게 하는 것은 최고급 음식이라고 생각해요. 제가 직접 조리해서 최고의 식탁에 아름답게 진열하는 것이죠. 그러면 지나가는 사람들의 코 끝을 자극하고 사람들을 끌어들이는 데 큰 도움이 될 거예요.
GEN_NPC_STORY_TRADER_TASK_NAME_BOASTFUL_2 |= {FULLNAME} 5별 음식 선물
GEN_NPC_STORY_TRADER_TASK_DESC_BOASTFUL_2 |= 5 별 음식 아이템을 요리하고, 구매하고, 선물 받거나 획득하여 선물하세요.
GEN_NPC_STORY_TRADER_END_BOASTFUL_2 |= 훌륭한 선택입니다! 감사와 경의를 표합니다.

GEN_NPC_STORY_TRADER_START_QUIRKY_1 |= 사실, 많은 책에서 언급된, 공정한 사람들이 사는 곳을 알고 있습니다. 티르 나 노그라는 곳이에요. 분홍색 폭포와 이상한 나무와 이상한 과일이 있는 곳이에요. 거기에는 거미 버섯이라는 것이 있다고 해요. 제 상 받침대에 올려놓고 싶어요. 혹시 그런 걸 발견하시면 좋은 물건으로 바꿔드릴게요!
GEN_NPC_STORY_TRADER_TASK_NAME_QUIRKY_1 |= {FULLNAME}에게 구미 버섯을 전달하세요.
GEN_NPC_STORY_TRADER_TASK_DESC_QUIRKY_1 |= 티르 나 노그에게서 구미 버섯을 획득하여 부탁한 NPC에게 선물하세요.
GEN_NPC_STORY_TRADER_END_QUIRKY_1 |= 멋지네요! 당신은 사람이 일을 맡길 수 있는 가장 손쉬운 사람입니다.

GEN_NPC_STORY_TRADER_START_QUIRKY_2 |= 꿈속의 장소들을 방문하고 싶어요. 이 벽 너머를 볼 수 있게 해줄 수 있는 물건이 있나요? 그거면 더더욱 좋겠어요.
GEN_NPC_STORY_TRADER_TASK_NAME_QUIRKY_2 |= {FULLNAME}에 환상을 적용하기
GEN_NPC_STORY_TRADER_TASK_DESC_QUIRKY_2 |= 환영 특성이 있는 아이템을 {FULLNAME}에게 선물합니다.
GEN_NPC_STORY_TRADER_END_QUIRKY_2 |= 우와! 염소가 된 지 얼마나 됐어요? 글쎄요, 무지개 염소 씨, 반짝반짝 빛나는 경험을 해줘서 고마워요.

GEN_NPC_STORY_TRADER_START_PIOUS_1 |= 제 약점은 가끔 너무 경건해서 물물교환을 제대로 하지 못한다는 거예요. 그 부분이 좀 더 강해지면 더 많은 매출을 올리고 좀 더 제대로 된 사업가가 될 수 있을 것 같아요.
GEN_NPC_STORY_TRADER_TASK_NAME_PIOUS_1 |= {FULLNAME}에 거래 적용하기
GEN_NPC_STORY_TRADER_TASK_DESC_PIOUS_1 |= 거래 특성이 있는 아이템을 요청한 NPC에게 선물합니다.
GEN_NPC_STORY_TRADER_END_PIOUS_1 |= 도와주셔서 감사합니다. 덕분에 수익이 증가했으니 공유할 자격이 있다고 생각합니다.

GEN_NPC_STORY_TRADER_START_PIOUS_2 |= 이상한 요청처럼 들리겠지만, 제 상점에서 모든 것을 구매해 주시면 제 수치와 자존심 마사지를 도와주실 수 있습니다. 나중에 다시 뵙겠습니다.
GEN_NPC_STORY_TRADER_TASK_NAME_PIOUS_2 |= 상품 상점의 모든 아이템 구매
GEN_NPC_STORY_TRADER_TASK_DESC_PIOUS_2 |= 임무 부여 NPC가 소유한 상품 상점의 모든 아이템을 구매합니다.
GEN_NPC_STORY_TRADER_END_PIOUS_2 |= 도와주셔서 감사합니다. 수익이 증가했으니 커미션은 여기 있습니다.

GEN_NPC_STORY_BLACKSMITHCOUNTER_INTRO_1_GENERIC |= 안녕하세요! 저는 새로운 지역 대장장이입니다. 농사를 짓거나 외양간을 꾸미는 데 필요한 것이 있으면 무엇이든 도와드리겠습니다.
GEN_NPC_STORY_BLACKSMITHCOUNTER_INTRO_1_GENERIC |= 잘 만났습니다! 저는 대장장이입니다. 아니, 내 성이 아니에요. 저는 쇠 냄새를 좋아하고 때로는 뜨거운 집게에 몸을 태우는 것을 좋아해요. 금속이 필요하다면 제가 도와드릴게요.
GEN_NPC_STORY_BLACKSMITHCOUNTER_INTRO_1_QUIRKY |= 오, 안녕하세요! 미안, 아까는 당신 존재에 정신이 팔려서 좀 산만했어요. 뭔가 기운이 있는 것 같네요. 난 이 동네에 새로 온 대장장이인데, 언젠가 당신을 알게 되면 좋은 일이 생길 것 같은 느낌이 들어요.
GEN_NPC_STORY_BLACKSMITHCOUNTER_INTRO_1_PIOUS |= 인사합니다. 저는 여러분을 아담으로부터 알지는 못하지만, 저처럼 여신들도 여러분에게 미소를 지었으면 좋겠습니다. 저는 이 지역의 대장장이로, 뜨거운 대장간에서 일하면 나쁜 생각이 사라지죠.

GEN_NPC_STORY_BLACKSMITHCOUNTER_INTRO_2_GENERIC |= 우리 모두 배울 것이 많다고 생각하기 때문에 시간이 지나면 제 기술을 향상시켜 더 나은 서비스를 제공할 수 있기를 바랍니다.
GEN_NPC_STORY_BLACKSMITHCOUNTER_INTRO_2_GENERIC |= 저는 상품 거래에 대한 지식을 대장간 사업에 적용하고 싶습니다. 한 쪽의 기술이 다른 쪽에 전수되어 사업에 도움이 될 수 있다고 생각합니다.
GEN_NPC_STORY_BLACKSMITHCOUNTER_INTRO_2_COMPLAINER |= 솔직히 말해서, 제가 작업해야 하는 광석의 품질이 매우 좋지 않아서 이미 힘들다는 것을 느끼고 있습니다. 보급품이 일정하지 않고 상품들은 보통 노커에 의해 보호됩니다.
GEN_NPC_STORY_BLACKSMITHCOUNTER_INTRO_2_JOVIAL |= 커뮤니티에서 다시 일하게 되어 정말 행복합니다. 상점 종소리와 각자의 작은 특성과 관습을 가진 지역 주민들의 행복한 얼굴이 그리웠어요.

GEN_NPC_STORY_BLACKSMITHCOUNTER_FRIENDLY_1_GENERIC |= 농장은 어떻게 되가고 있나요? 땅을 일구며 고생할 때 친구가 있으면 좋죠.
GEN_NPC_STORY_BLACKSMITHCOUNTER_FRIENDLY_1_GENERIC |= 안녕하세요, 좋은 친구. 최근에 모험을 해본 적 있나요? 미드우드에서 놀고 있나요? 유령 사냥개처럼 황야를 배회했나요? 한가로운 숲속에서 국자로 레모네이드를 게으르게 마시며 게으름을 피우나요?
GEN_NPC_STORY_BLACKSMITHCOUNTER_FRIENDLY_1_QUIRKY |= 만나서 반가워요, 친구. 사람들을 더 많이 알아가는 것은 좋은 일입니다. 친구가 많을수록 더 안전하다고 느끼죠. 또한 다른 방법으로는 판매할 수 없는 물건을 팔고 싶을 때 정말 편리합니다.
GEN_NPC_STORY_BLACKSMITHCOUNTER_FRIENDLY_1_PIOUS |= 앞서 소개해 드린 것에 대해 사과드립니다. 저는 새로운 사람에 대해 조금 의심이 많거든요. 여신을 너무 좋아해서 낯선 사람은 조금 당황스러워요.
GEN_NPC_STORY_BLACKSMITHCOUNTER_FRIENDLY_1_BOASTFUL |= 제가 만든 경이로운 작품들을 언제 한번 보고 싶으신가요? 제 목표는 제 대장간을 양질의 철기, 구리 및 아연 제품, 그리고 궁극적으로는 금과 은의 경이로움을 만드는 곳으로 만드는 것입니다.

GEN_NPC_STORY_BLACKSMITHCOUNTER_FRIENDLY_2_GENERIC |= 매일 아침 무엇이 저를 일어나게 하는지 아세요? 차가운 물 한 통을 얼굴에 대는 것 말고요? 사람들에게 유용한 물건을 만든다는 생각입니다. 합리적인 가격으로 사람들의 삶을 향상시킬 수 있는 물건을 선물했을 때 사람들의 표정을 보는 것이 정말 좋아요.
GEN_NPC_STORY_BLACKSMITHCOUNTER_FRIENDLY_2_GENERIC |= 초보 모험가나 노련한 모험가를 위한 최고급 무기를 만드는 데 정말 빠져들 수 있을 것 같아요. 하지만 때로는 말 그대로 일곱 가지 비밀 허브와 향신료가 담긴 할망의 냄비에 양념이 되어 있기도 하죠.
GEN_NPC_STORY_BLACKSMITHCOUNTER_FRIENDLY_2_COMPLAINER |= 제가 최근에 불평을 많이 했나요? 글쎄요, 제가 가진 한 가지 불만은 광산을 너무 깊게 파헤치지 않고는 좋은 광석을 찾기가 정말 어렵다는 것입니다. 상인에게서 주문한 재고와 이상한 조각은 일반적으로 품질에 비해 너무 비쌉니다.
GEN_NPC_STORY_BLACKSMITHCOUNTER_FRIENDLY_2_JOVIAL |= 저는 제가 좋아하는 일을 할 수 있어서 정말 행복하고, 그것은 바로 손으로 작업하는 것입니다. 저는 원시적인 원석으로 아름다움을 만들어내는 과정에서 손을 더럽히는 것을 좋아합니다. 수천 년 동안 깊은 어둠 속에 잠겨 있던 것을 빛과 생명을 불어넣는 일이죠.

GEN_NPC_STORY_BLACKSMITHCOUNTER_LIKE_1_GENERIC |= 제가 만든 아이템으로 사람들이 무엇을 하고 있는지 궁금할 때가 많아요. 아마도 정원에서 허리를 굽혀 낫으로 채소를 뿌리째 뽑고 있을지도 모르죠. 아니면 내가 땀을 흘리며 갈고 닦은 칼에서 님프의 피를 닦아내고 있을지도 모르죠.
GEN_NPC_STORY_BLACKSMITHCOUNTER_LIKE_1_GENERIC |= 난 당신을 정말 좋아해요. 제 일에 대한 자신감이 생겼어요. 제가 만드는 물건이 정말 잘 만들어졌으면 좋겠어요. 언젠가 멋진 작품을 만들고 싶어요.
GEN_NPC_STORY_BLACKSMITHCOUNTER_LIKE_1_QUIRKY |= 나 너 정말 좋아해, 알지? 넌 노력하잖아. 저도 그렇게 하려고 노력해요. 언젠가 제가 작업한 것을 보여드리고 싶어요. 당신의 의견을 믿어요.
GEN_NPC_STORY_BLACKSMITHCOUNTER_LIKE_1_JOVIAL |= 내 노래 듣고 싶어요? 혼자 작업할 때마다 부르는 노래예요. '내 가장 깊고 어두운 곳, 내 가장 깊고 어두운 마음속에는 잿빛 장작불처럼 타들어가는, 희미한 불의 대장간이 잠들어 있네. 그리고 그 숯 속에서, 내가 너무 사랑했던 사람의 목소리가 들려오네. 더 강한 사슬을 만들어서 다시 그녀의 손을 잡을 수 있었어야 했어요. 그러나 이제 불은 꺼지고, 내가 잃어버린 사랑은 오래 전에 포기했다'.

GEN_NPC_STORY_BLACKSMITHCOUNTER_LIKE_2_GENERIC |= 공상은 그만... 다시 계획과 배움으로 돌아가야 합니다. 개선은 우리 자신뿐만 아니라 다른 사람들의 삶을 개선할 수 있는 방법입니다. 이 모든 것이 작은 바위에서 시작됩니다.
GEN_NPC_STORY_BLACKSMITHCOUNTER_LIKE_2_GENERIC |= 주문 계획에 착수할 시간이야. 백업이 시작되고 있어. 직접 찾고 계신 게 있나요?
GEN_NPC_STORY_BLACKSMITHCOUNTER_LIKE_2_COMPLAINER |= 고급 광석을 어디서 찾을 수 있는지 아세요? 여기 사람들은 대부분 그런 지식에 관해서는 쓸모없어. 지붕이 무너지지 않기를 바라면서 어두운 구덩이를 내려가 이상한 생물과 유령을 피하는 게 뭐가 그렇게 어렵겠어요?
GEN_NPC_STORY_BLACKSMITHCOUNTER_LIKE_2_BOASTFUL |= 저는 그 꿈을 이룰 수 있는 재능이 있다고 확신합니다. 저처럼 전설적인 무언가를 만들 때까지 계속 노력하면 돼요.
GEN_NPC_STORY_BLACKSMITHCOUNTER_LIKE_2_PIOUS |= 여기 있는 동안 조곤을 위해 몇 가지 아이템을 제작했지만, 그가 제 무기로 위업을 달성했다는 이야기는 아직 듣지 못했습니다. 그냥 부러뜨리기만 하고 제 기분을 상하게 하고 싶지 않은 것 같아요.

GEN_NPC_STORY_BLACKSMITHCOUNTER_START_COMPLAINER_1 |= 허리가 아프고 신발 가죽이 점점 얇아지고 있어요. 예전처럼 신발이 만들어지지 않아요. 제 친구가 되어서 재고 좀 도와주실 수 있나요? 정말 하기 싫어요.
GEN_NPC_STORY_BLACKSMITHCOUNTER_TASK_NAME_COMPLAINER_1 |= {FULLNAME}에게 오전 중에 3 별 이상의 광석을 선물하기
GEN_NPC_STORY_BLACKSMITHCOUNTER_TASK_DESC_COMPLAINER_1 |= 오전 6시부터 정오 사이에 필요한 NPC에게 3, 4 또는 5 별 광석을 선물하세요.
GEN_NPC_STORY_BLACKSMITHCOUNTER_END_COMPLAINER_1 |= 도와줘서 고마워요. 보상을 위해 당나귀 일을 해줄 사람이 있다는 건 큰 의미가 있죠.

GEN_NPC_STORY_BLACKSMITHCOUNTER_START_COMPLAINER_2 |= 어깨가 아프고 무릎이 시큰거려요. 동료가 되어서 재입고를 도와주실 수 있나요? 정말 감사하겠습니다.
GEN_NPC_STORY_BLACKSMITHCOUNTER_TASK_NAME_COMPLAINER_2 |= {FULLNAME}에게 저녁에 3 별 이상의 광석 선물하기
GEN_NPC_STORY_BLACKSMITHCOUNTER_TASK_DESC_COMPLAINER_2 |= 오후 6시부터 자정 사이에 필요한 NPC에게 3, 4 또는 5 별 광석을 선물하세요.
GEN_NPC_STORY_BLACKSMITHCOUNTER_END_COMPLAINER_2 |= 도움을 주셔서 감사합니다. 안아주고 싶지만 뭔가 걸릴 수도 있습니다.

GEN_NPC_STORY_BLACKSMITHCOUNTER_START_JOVIAL_1 |= 저는 명랑한 타입이지만 마음속으로는 여전히 슬퍼하고 있어요. 실연당한 경험이 있고 대장간에서 일하면서 희망을 잃지 않는 것 같아요. 하지만 그녀를 되찾을 수 없다는 건 알아요. 어쩌면 당신의 우정이 다시 사랑할 수 있다는 것을 깨닫게 해준 것 같아요. 저한테서 대장간을 사주시겠어요? 좋은 가격을 제시할게요. 그럼 난 과거를 잊고 미래를 찾을 수 있겠지.
GEN_NPC_STORY_BLACKSMITHCOUNTER_TASK_NAME_JOVIAL_1 |= 대장간을 반값에 구입하세요.
GEN_NPC_STORY_BLACKSMITHCOUNTER_TASK_DESC_JOVIAL_1 |= 상점 카운터의 빨간색 장부와 상호작용하고 구매에 동의하여 {FULLNAME}이 소유한 대장장이를 구입합니다.
GEN_NPC_STORY_BLACKSMITHCOUNTER_END_JOVIAL_1 |= 정말 감사합니다! 저에게 큰 의미가 있어요. 당신은 최고예요.

GEN_NPC_STORY_BLACKSMITHCOUNTER_START_JOVIAL_2 |= 처음부터 대장장이가 되고 싶었던 건 아니었어요. 단지 옛 연인이 그녀의 풀무질을 도와주길 원해서 대장장이가 되었을 뿐이에요. 배 같은 다른 좋아하는 것도 있어요. 지금 당장 사랑스러운 배를 가득 담은 사랑스러운 쟁기통이 있다면 뭐든지 줄 수 있을 것 같아요. 내 사랑은 과즙이 많은 배를 좋아했죠? 그녀의 과수원에서요. 그녀는 게 사과도 먹었죠.
GEN_NPC_STORY_BLACKSMITHCOUNTER_TASK_NAME_JOVIAL_2 |= {FULLNAME}에게 쟁기꾼 빵 선물하기
GEN_NPC_STORY_BLACKSMITHCOUNTER_TASK_DESC_JOVIAL_2 |= {FULLNAME}에게 쟁기꾼 빵 식사를 선물하세요. 직접 요리하거나, 선물 받거나, 해당 아이템을 획득할 수 있습니다.
GEN_NPC_STORY_BLACKSMITHCOUNTER_END_JOVIAL_2 |= 정말 대단하네요! 정말, 정말 맛있었어요! 입에 넣는 것만으로도 기분이 좋아져요. 감사합니다!

GEN_NPC_STORY_BLACKSMITHCOUNTER_START_BOASTFUL_1 |= 재고를 옮기기가 힘들어요. 사람들이 당신을 존경하기 때문에 내 아이템을 가지고 있는 당신을 보면 상점을 방문할지도 모르죠. 새로운 광고 방법이 될 수도 있겠네요... 유명인 지지도요. 큰 인기를 끌지는 못하겠지만 시도해 볼 수는 있겠네요!
GEN_NPC_STORY_BLACKSMITHCOUNTER_TASK_NAME_BOASTFUL_1 |= 대장장이에게서 아이템 5개 구매
GEN_NPC_STORY_BLACKSMITHCOUNTER_TASK_DESC_BOASTFUL_1 |= {FULLNAME}에서 아이템 5개를 구입합니다.
GEN_NPC_STORY_BLACKSMITHCOUNTER_END_BOASTFUL_1 |= 정말 고마워요. 이제 사람들은 제가 얼마나 훌륭한 대장장이인지 알게 되었고, 모두 여러분의 도움과 저의 놀라운 아이디어 덕분입니다.

