SiblingHouse |= Meet your sibling
Master of EventsBakeOff_Repeat |= These items will be judged on Star Rating and Variety but MUST fit the criteria of this year's theme. Failing to do so will result in no points and great disappointment for us all!
Master of EventsBakeOff_Repeat |= The competition deadline is 3pm on the dot, so be sure to return before then to display your fabulous items.
Master of EventsBakeOff_Repeat |= Results will be announced after 3pm, but my dinner is ready at 8pm so be sure to check in before then!
Master of EventsBakeOff_Complete |= Congratulations! You submitted your entries in good time, ho-ho! Judging has taken place, and we are excited to announce the results!
Master of EventsBakeOff_NotEntered |= <PlayerName>, you'd better get moving if you want to take part in this year's Food Festival. The deadline for entries is 3pm. Come back after then to hear the results!
Master of EventsBakeOff_MissedDeadline |= Ah, <PlayerName>. You missed out on entering this competition as the entry deadline was 3pm. Anyway, please try again next time. You have the look of a potential winner about you.
Master of EventsBakeOff_AwaitingDeadline |= I was watching as you placed your entries, <PlayerName>.  Come back after 3pm and before 8pm to see how you fared.
VegetableShowT1 |= I see that we have everyone gathered for this year's Vegetable Show.
VegetableShowT2 |= We've had some marvellous veg entered this year; but we can only have one winner! First, though, we have today's runner-ups. They are...
VegetableShowT3 |= We're now down to the final 3...
VegetableShowT4 |= I'm pleased to announce that this year's champion is...
VegetableShowT5 |= Congratulations to you all! What a wonderful display of growing prowess!
VegetableShowT6 |= I thank everyone for attending and look forward to seeing you again next year!
VegetableShow_Task |= Vegetable Show
VegetableShow_TaskDesc |= Place 3 vegetables in the competition tent before 3pm. Then return between 3pm and 8pm and speak to the Master of Events to join the results ceremony.
VEGETABLE_SHOW |= Vegetable Show
VegetableShow |= Vegetable Show
VegetableShowDesc |= Speak to the Master of Events in Finefayre before 3pm to enter the vegetable show.
AnnualCompetition_Name_FishingComp |= Fishing Competition
AnnualCompetition_Date_FishingComp |= the 12th day of Winter
AnnualCompetition_Location_FishingComp |= Greymarket
AnnualCompetition_Name_VegetableShow |= Vegetable Show
AnnualCompetition_Date_VegetableShow |= the 12th day of Autumn
AnnualCompetition_Location_VegetableShow |= Finefayre

Master of EventsVegetableShow_Intro |= Hoho! A hearty welcome to this year's Vegetable Show.
Master of EventsVegetableShow_Intro |= Each talented competitor must select their three most voluptuous vegetables and place them on the cushions inside the tent. These will then be judged on Star Rating and Variety!
Master of EventsVegetableShow_Intro |= The entry deadline is 3pm on the dot, so return before then to display your fabulous vegetables. Results will be announced after 3pm, but I'll be back home eating my dinner at 8pm so be sure to check in before then!
Master of EventsVegetableShow_Intro |= Good luck, and may the best veg win!
Master of EventsVegetableShow_Complete |= Congratulations! You submitted your entries in good time, ho-ho! Judging has taken place, and we are excited to announce the results!
Master of EventsVegetableShow_NotEntered |= <PlayerName>, you'd better get moving if you want to take part in the Vegetable Show. The deadline for entries is 3pm. Come back after then to hear the results!
Master of EventsVegetableShow_MissedDeadline |= Ah, <PlayerName>. You missed out on entering this competition as the entry deadline was 3pm. Anyway, please try again next time. You have the look of a potential winner about you.
Master of EventsVegetableShow_AwaitingDeadline |= I was watching as you placed your entries, <PlayerName>.  Come back after 3pm and before 8pm to see how you fared.

FlowerShowT1 |= I see that we have everyone gathered for this year's Flower Show.
FlowerShowT2 |= We've had some great blooming beautiful entries this year; but we can only have one winner! First, though, we have today's runner-ups. They are...
FlowerShowT3 |= We're now down to the final 3...
FlowerShowT4 |= I'm pleased to announce that this year's Flower Show champion is...
FlowerShowT5 |= Congratulations to you all. Some truly beautiful blooms, indeed!
FlowerShowT6 |= I thank everyone for attending and look forward to seeing you again next year!
FlowerShow_Task |= Flower Show
FlowerShow_TaskDesc |= Place 3 flowers in the competition tent before 3pm. Then return between 3pm and 8pm and speak to the Master of Events to join the results ceremony.
FLOWER_SHOW |= Flower Show
FlowerShow |= Flower Show
FlowerShowDesc |= Speak to the Master of Events in Festival Green before 3pm to enter the Flower Show.
AnnualCompetition_Name_FlowerShow |= Flower Show
AnnualCompetition_Date_FlowerShow |= the 12th day of Spring
AnnualCompetition_Location_FlowerShow |= Festival Green
Master of EventsFlowerShow_Intro |= Hoho! A hearty welcome to this year's Flower Show.
Master of EventsFlowerShow_Intro |= Each talented competitor must select their three most fabulous Flowers and place them on the cushions inside the tent. These will then be judged on Star Rating and Variety!
Master of EventsFlowerShow_Intro |= The entry deadline is 3pm on the dot, so return before then to display your fabulous flowers. Results will be announced after 3pm, but I'll be back home eating my dinner at 8pm so be sure to check in before then!
Master of EventsFlowerShow_Intro |= Good luck, and may the best blooms win!
Master of EventsFlowerShow_Complete |= Congratulations! You submitted your entries in good time, ho-ho! Judging has taken place, and we are excited to announce the results!
Master of EventsFlowerShow_NotEntered |= <PlayerName>, you'd better get moving if you want to take part in this year's Flower Show. The deadline for entries is 3pm. Come back after then to hear the results!
Master of EventsFlowerShow_MissedDeadline |= Ah, <PlayerName>. You missed out on entering this competition as the entry deadline was 3pm. Anyway, please try again next time. You have the look of a potential winner about you.
Master of EventsFlowerShow_AwaitingDeadline |= I was watching as you placed your entries, <PlayerName>.  Come back after 3pm and before 8pm to see how you fared.
JamContestT1 |= I see that we have everyone gathered for this year's Jam Contest.
JamContestT2 |= We've had some truly tasty entries this year but we can only have one winner! First, though, we have today's runner-ups. They are...
JamContestT3 |= We're now down to the final 3...
JamContestT4 |= I'm pleased to announce that this year's champion is...
JamContestT5 |= Congratulations to you all. This has been jam heaven!
JamContestT6 |= I thank everyone for attending and look forward to seeing you again next year!
JamContest_Task |= Jam Contest
JamContest_TaskDesc |= Place 3 jams in the competition tent before 3pm. Then return between 3pm and 8pm and speak to the Master of Events to join the results ceremony.
JAM_CONTEST |= Jam Contest
JamContest |= Jam Contest
JamContestDesc |= Speak to the Master of Events in Festival Green before 3pm to enter the Jam Contest.
AnnualCompetition_Name_JamContest |= Jam Contest
AnnualCompetition_Date_JamContest |= 
AnnualCompetition_Location_JamContest |= Festival Green
Master of EventsJamContest_Intro |= Hoho! A hearty welcome to this year's Jam Contest.
Master of EventsJamContest_Intro |= Each talented competitor must select their three most delicious jams and place them on the cushions inside the tent. These will then be judged on Star Rating and Variety!
Master of EventsJamContest_Intro |= The entry deadline is 3pm on the dot, so return before then to display your delicious jams. Results will be announced after 3pm, but I'll be back home eating my dinner at 8pm so be sure to check in before then!
Master of EventsJamContest_Intro |= Good luck, and may the best jams win!
Master of EventsJamContest_Complete |= Congratulations! You submitted your entries in good time, ho-ho! Judging has taken place, and we are excited to announce the results!
Master of EventsJamContest_NotEntered |= <PlayerName>, you'd better get moving if you want to take part in this year's Jam Contest. The deadline for entries is 3pm. Come back after then to hear the results!
Master of EventsJamContest_MissedDeadline |= Ah, <PlayerName>. You missed out on entering this competition as the entry deadline was 3pm. Anyway, please try again next time. You have the look of a potential winner about you.
Master of EventsJamContest_AwaitingDeadline |= I was watching as you placed your entries, <PlayerName>.  Come back after 3pm and before 8pm to see how you fared.


FishingCompetitionT1 |= I see that we have everyone gathered for this year's Fishing Competition.
FishingCompetitionT2 |= We've had some great entries this year but we can only have one winner! First, though, we have today's runner-ups. They are...
FishingCompetitionT3 |= We're now down to the final 3...
FishingCompetitionT4 |= I'm pleased to announce that this year's champion is...
FishingCompetitionT5 |= Congratulations to you all. You sure do know how to catch a good fish! 
FishingCompetitionT6 |= I thank everyone for attending and look forward to seeing you again next year!
FishingCompetition_Task |= Fishing Competition
FishingCompetition_TaskDesc |= Place 3 fish in the competition tent before 3pm. Then return between 3pm and 8pm and speak to the Master of Events to join the results ceremony.
FISHING_COMPETITION |= Fishing Competition
FishingCompetition |= Fishing Competition
FishingCompetitionDesc |= Speak to the Master of Events in Greymarket before 3pm to enter the fishing competition.
Master of EventsFishingCompetition_Intro |= Hoho! A hearty welcome to this year's Fishing Competition.
Master of EventsFishingCompetition_Intro |= Each talented competitor must select their three most fantastic fish and place them on the cushions inside the tent. These will then be judged on Star Rating and Variety!
Master of EventsFishingCompetition_Intro |= The entry deadline is 3pm on the dot, so return before then to display your fabulous fish. Results will be announced after 3pm, but I'll be back home eating my dinner at 8pm so be sure to check in before then!
Master of EventsFishingCompetition_Intro |= Good luck, and may the best fish win!
Master of EventsFishingCompetition_Complete |= Congratulations! You submitted your entries in good time, ho-ho! Judging has taken place, and we are excited to announce the results!
Master of EventsFishingCompetition_NotEntered |= <PlayerName>, you'd better get moving if you want to take part in this Fishing competition. The deadline for entries is 3pm. Come back after then to hear the results!
Master of EventsFishingCompetition_MissedDeadline |= Ah, <PlayerName>. You missed out on entering this competition as the entry deadline was 3pm. Anyway, please try again next time. You have the look of a potential winner about you.
Master of EventsFishingCompetition_AwaitingDeadline |= I was watching as you placed your entries, <PlayerName>.  Come back after 3pm and before 8pm to see how you fared.

AnnualDance_Gift_LikesPlayer |= It is with great joy that I accept this gift from you. I hope our friendship grows ever stronger.
AnnualDance_Gift_DislikesPlayer |= I happily accept this gift from you. For one day let us set our differences aside.
AnnualDance_Intro_Blossom |= Welcome one! Welcome all, to the Blossom dance that takes place here once every Spring.
AnnualDance_Intro_Blossom |= Today's marvellous event is a chance for each of us to celebrate our community and the connections we make with each other. Whilst we mostly just dance the day away together, there are meaningful gestures that can be made to your fellow villagers.
AnnualDance_Intro_Blossom |= If you wish to participate, throw an item in the ring that you think one of the other villagers might like. If someone accepts your gesture, they will step forward and claim the gift, bestowing you with great gratitude when they do.
AnnualDance_Intro_Blossom |= Now, go enjoy yourself!
AnnualDance_Intro_Maypole |= Welcome one! Welcome all, to the Maypole dance that takes place here once every Summer.
AnnualDance_Intro_Maypole |= Today's marvellous event is a chance for each of us to celebrate our community and the connections we make with each other. Whilst we mostly just dance the day away together, there are meaningful gestures that can be made to your fellow villagers.
AnnualDance_Intro_Maypole |= If you wish to participate, throw an item in the ring that you think one of the other villagers might like. If someone accepts your gesture, they will step forward and claim the gift, bestowing you with great gratitude when they do.
AnnualDance_Intro_Maypole |= Now, go enjoy yourself!
AnnualDance_Intro_Samain |= Welcome one! Welcome all, to the Samain dance that takes place here once every Autumn.
AnnualDance_Intro_Samain |= Today's marvellous event is a chance for each of us to celebrate our community and the connections we make with each other. Whilst we mostly just dance the day away together, there are meaningful gestures that can be made to your fellow villagers.
AnnualDance_Intro_Samain |= If you wish to participate, throw an item in the ring that you think one of the other villagers might like. If someone accepts your gesture, they will step forward and claim the gift, bestowing you with great gratitude when they do.
AnnualDance_Intro_Samain |= Now, go enjoy yourself!
AnnualDance_Intro_Fel |= Welcome one! Welcome all, to the Festival of Fel dance that takes place here once every Winter.
AnnualDance_Intro_Fel |= Today's marvellous event is a chance for each of us to celebrate our community and the connections we make with each other. Whilst we mostly just dance the day away together, there are meaningful gestures that can be made to your fellow villagers.
AnnualDance_Intro_Fel |= If you wish to participate, throw an item in the ring that you think one of the other villagers might like. If someone accepts your gesture, they will step forward and claim the gift, bestowing you with great gratitude when they do.
AnnualDance_Intro_Fel |= Now, go enjoy yourself!

GhostTrader_Cursed_Popup |= You've been cursed for 48 hours.
