ModifierReward_SimShopDiscount |= 가게 할인
Noticeboard_ApothRequest_Level3_Name |= 지금 종말을 맞이하라!
Noticeboard_ApothRequest_Level3_Desc |= 세상의 종말이다! 우리 재고가 소진되었어. 더 필요해!\n{INTERNAL}
Noticeboard_ApothRequest_Level3_Favour |= 바로 그 사람! 약사에게 줄 양질의 재고를 찾으려고. 난 너무 게으르거나 겁쟁이야. 아니면 둘 다일 수도 있지.

Noticeboard_FishRequired_Name |= 낚시대를 잡아봐!
Noticeboard_FishRequired_Pinned |= {FULLNAME}에게 {ITEMTAG} 전달
Noticeboard_FishRequired_Desc |= 양질의 어획물에 필요한 기술이 뛰어난 어부.\n{INTERNAL}
Noticeboard_FishRequired_Favour |= 생선, 특히 {ITEMNAME}을(를) 먹고 싶은데. 내 갈망을 충족시켜 줄 수 있을까?

Noticeboard_AppleRequest_Name |= 사과 있어?
Noticeboard_AppleRequest_Desc |= 예상치 못한 상황으로 인해 사과가 급히 필요해.\n{INTERNAL}
Noticeboard_AppleRequest_Favour |= 나는 거대한 파이를 만들기 위해 많은 사가 필요해. 내가 구하는 걸 좀 도와줄 수 있을까?

Noticeboard_UnfoundItemTypeHerb_Name |= 허브-폭식
Noticeboard_UnfoundItemTypeHerb_Pinned |= {FULLNAME}에게 {ITEMTAG} 전달
Noticeboard_UnfoundItemTypeHerb_Desc |= 허브가 필요해. 보장된 행동.\n{INTERNAL}
Noticeboard_UnfoundItemTypeHerb_Favour |= 요리에 실제 맛을 더해야겠어. {ITEMNAME}을(를) 갖고 있어? 나는 찾을 수가 없네.

Noticeboard_NationalPieDay_Name |= 파이의 날!
Noticeboard_NationalPieDay_Desc |= 파이의 날에 필요한 파이의 진한 맛.\n{INTERNAL}
Noticeboard_NationalPieDay_Favour |= 파이의 날이야! 맛있는 파이가 생각나는 날을 기념하는 날이야. 파이를 만들고 있다면 나에게 선물하고 내가 보답하는 것이 관례지.

Noticeboard_NationalJamDay_Name |= 잼을 만들자!
Noticeboard_NationalJamDay_Desc |= 사랑스럽고 다정한 잼이 잼의 날을 축하하고 싶습니다.\n{INTERNAL}
Noticeboard_NationalJamDay_Favour |= 무슨 일이 일어나고 있나요? 모르시겠어요? 바로 잼 잼이죠! 창의력을 발휘해 잼을 만들 때입니다.
Noticeboard_NationalJamDay_Favour |= 물론 보통은 같은 종류의 잼을 만들지만, 만약 여러분이 만든 잼이 있다면 제 뱃속에 보관하고 싶어요.

Noticeboard_NationalFishDay_Name |= 잘 잡아!
Noticeboard_NationalFishDay_Desc |= 물고기의 날에 필요한 많은 사랑스러운 물고기들!\n{INTERNAL}
Noticeboard_NationalFishDay_Favour |= 나는 물고기의 날을 기념하고 있어. 오늘은 낚시 협회에서 처음으로 물고기를 홍보하기 위한 방법으로 도입한 날이야. 그런 물건을 가지고 있다면, 기꺼이 보상을 줄게.
Noticeboard_NationalFishDay_Favour |= 이 모든 것이 실제로 어떻게 작동하는지 모르겠어. 그냥 나에게 물고기를 선물하고 더 이상 말하지 마.

Noticeboard_SpringSeedGrowers_Name |= 씨앗 거래
Noticeboard_SpringSeedGrowers_Desc |= 채집량을 높이기 위한 지역 씨앗 너트.\n{INTERNAL}
Noticeboard_SpringSeedGrowers_Favour |= 봄에 자라는 씨앗을 찾고 있어. 조달 가능한 씨앗 가지고 있어?

Noticeboard_GoodStoreSummerdown_Name |= 과일 같은 느낌?
Noticeboard_GoodStoreSummerdown_Desc |= 비타민 C가 부족하기 때문에 과일 재고가 필요해.\n{INTERNAL}
Noticeboard_GoodStoreSummerdown_Favour |= 이 가게는 무슨 일이 일어나고 있는 거야! 지금 당장은 있어야 할 곳이지만, 재고를 많이 확보하지 않으면 안 될 것 같아. 도와줄 수 있어?

Noticeboard_WateringAid_Name |= 수확 체험하기
Noticeboard_WateringAid_Desc |= 농작물을 돌보는 일이 너무 힘들어. 농사일을 도와줄 수 있는 사람이 있을까?\n{INTERNAL}
Noticeboard_WateringAid_Favour |= 정원에 물을 줄까 생각 중이었는데 내 앞에 완벽하게 도와주는 사람이 서 있는데 왜 해야 할까?

Noticeboard_MonsterParts_Name |= 몬스터 거래
Noticeboard_MonsterParts_Desc |= 필요없는 몬스터 부속물을 교환하고 싶어. 나는 무기 거래자라고 말할 수 있겠네.\n{INTERNAL}
Noticeboard_MonsterParts_Favour |= 몬스터 부속물 더미를 찾고 있어. 직접 구하고 싶지는 않아. 내 손에 신선한 내장을 묻히고 싶지 않거든.

Noticeboard_TinkerTaskBlacksmith_Name |= 전문 대장장이
Noticeboard_TinkerTaskBlacksmith_ShortDesc |= 전문 대장장이
Noticeboard_TinkerTaskBlacksmith_Desc |= 전문 대장장이
Noticeboard_TinkerTaskBlacksmith_Desc_WithStatsUp |= 해머 타임
Noticeboard_TinkerTaskBlacksmith_Desc_WithStatsDown |= 멍청한 공장
Noticeboard_TinkerTaskBlacksmith_Desc_SameDayOrderCrafting |= 빠른 서비스
Noticeboard_TinkerTaskBlacksmith_Desc_MineAndCraft |= 새로운 주조
Noticeboard_TinkerTaskBlacksmith_Desc_ForgeInOneDayOneOre |= 싱글 마인-데드
Noticeboard_TinkerTaskBlacksmith_Desc_ForgeOneDayAnyOre |= 물품 컨베이어
Noticeboard_TinkerTaskBlacksmith_Desc_MidnightOilClosedShop |= 한밤에 기름 태우기

Noticeboard_PetRescue_Name |= 잃어버린 애완동물
Noticeboard_PetRescue_Pinned |= {INTERNAL}
Noticeboard_PetRescue_Desc |= 소중한 애완동물이 사라졌어. 마지막으로 {LEVELNAME}을(를) 돌아다니는 것이 목격되었어. 어떤 용감한 영혼이 도와줄 수 있을까?\n{INTERNAL}

Noticeboard_SoupRequest_Name |= 딱딱한 음식은 나빠
Noticeboard_SoupRequest_Pinned |= {FULLNAME}에게 수프를 배달하기
Noticeboard_SoupRequest_ShortDesc |= 수프 배달하기
Noticeboard_SoupRequest_Desc |= 요즘 누가 씹을 시간이 있나? 나는 빨대로 마실 수 있는 음식을 더 좋아해. 아니면 건초나.\n
Noticeboard_SoupRequest_Desc |= {FULLNAME}에게 수프를 배달하기.
Noticeboard_SoupRequest_Favour |= 수프 한 잔만 남기세요. 옛날에 거지들이 그렇게 말하곤 했지. 수프 한 그릇이나 한 병만 줘... 어, 구보르?

Noticeboard_JamRequest_Name |= 찐득한 친절의 맛
Noticeboard_JamRequest_Pinned |= {FULLNAME}에게 잼 배달하기
Noticeboard_JamRequest_ShortDesc |= 잼 배달하기
Noticeboard_JamRequest_Desc |= 한 병을 통째로 먹을 수도 있지만... 그러지 말아야 할 것 같아. 그래도 꼭 먹을래.\n
Noticeboard_JamRequest_Desc |= {FULLNAME}에게 잼 배달하기.
Noticeboard_JamRequest_Favour |= 잼이 필요해! 모든 잼! 잼을 가져와!

Noticeboard_StewRequest_Name |= 좋은 정직한 스튜 필요
Noticeboard_StewRequest_Pinned |= {FULLNAME}에게 스튜 배달하기
Noticeboard_StewRequest_ShortDesc |= 스튜 배달하기
Noticeboard_StewRequest_Desc |= 푸짐한 스튜 한 그릇이면 누구나 기운을 차리지. 또 다른 하루의 일을 준비할 수 있어.\n
Noticeboard_StewRequest_Desc |= {FULLNAME}에게 스튜 배달하기.
Noticeboard_StewRequest_Favour |= 멍청한 스튜가 스튜를 끓일 수 있다면 얼마나 많은 스튜를 끓일 수 있을까? 스튜를 많이 가져다 주면 바보 같은 질문은 그만할게.

Noticeboard_PieRequest_Name |= 완벽을 위한 페이스트리
Noticeboard_PieRequest_Pinned |= {FULLNAME}에게 파이 배달하기
Noticeboard_PieRequest_ShortDesc |= 파이 배달하기
Noticeboard_PieRequest_Desc |= Nobody can eat as many pies as I can. Savoury or sweet, they're always a treat.\n
Noticeboard_PieRequest_Desc |= {FULLNAME}에게 파이 배달하기.
Noticeboard_PieRequest_Favour |= I was thinking of requesting a lot of pies, just to keep you busy and because I have some pie money set aside.

Noticeboard_PuddingRequest_Name |= 푸딩을 먹고 싶어!
Noticeboard_PuddingRequest_Pinned |= {FULLNAME}에게 푸딩 배달하기
Noticeboard_PuddingRequest_ShortDesc |= 푸딩 배달하기
Noticeboard_PuddingRequest_Desc |= 디저트를 거부할 수 있는 사람이 있을까? 나는 항상 두 번째, 세 번째, 네 번째, 때로는 17번째 디저트를 먹기 위해 다시 집으로 돌아오지.\n
Noticeboard_PuddingRequest_Desc |= {FULLNAME}에게 푸딩 배달하기
Noticeboard_PuddingRequest_Favour |= 아, 푸딩이 너무 먹고 싶은데. 음, 솔직하게 말하면 푸딩이 많아. 나는 디저트 사이를 걷는 꿈을 꾸었는데 달콤한 맛에 굶주려 깨어났지 뭐야.

Noticeboard_BreadRequest_Name |= 일용할 양식 필요
Noticeboard_BreadRequest_Pinned |= {FULLNAME}에게 빵 배달하기
Noticeboard_BreadRequest_ShortDesc |= 빵 배달하기
Noticeboard_BreadRequest_Desc |= 나는 단순한 빵으로도 충분해. 여신의 사랑으로 버티고 있지.\n
Noticeboard_BreadRequest_Desc |= {FULLNAME}에게 빵 배달하기
Noticeboard_BreadRequest_Favour |= 인간은 빵만으로는 살 수 없다고들 말하지. 나는 빵집을 지어 그들이 틀렸다는 것을 증명하고 싶어. 가장 먼저 필요한 것은 많은 빵이야. 이 지역 최고의 수입업자이자 운반자로서 빵 껍질을 얻을 수 있을까?

Noticeboard_SandwichRequest_Name |= 샌드위치를 손에 들고?
Noticeboard_SandwichRequest_Pinned |= {FULLNAME}에게 샌드위치를 배달하기
Noticeboard_SandwichRequest_ShortDesc |= 샌드위치를 배달하기
Noticeboard_SandwichRequest_Desc |= 전통적인 샌드위치는 잘못될 수 없지. 속을 채운 슬라이스 빵은 최고의 샌드위치야.\n
Noticeboard_SandwichRequest_Desc |= {FULLNAME}에게 샌드위치를 배달하기.
Noticeboard_SandwichRequest_Favour |= 곧 테디 베어 소픽에 갈 예정인데 샌드위치가 많이 필요해. 너는 사람을 기꺼이 도와주는 좋은 출장 요리사같은걸.

Noticeboard_KillEliteRequest_ForestHag_Name |= 정예 숲 할망 처치
Noticeboard_KillEliteRequest_ForestHag_Pinned |= 심플우드에서 정예 숲 할망 처치하기
Noticeboard_KillEliteRequest_ForestHag_Desc |= 심플우드에서 정예 숲 할망 처치하기

Noticeboard_GiveTraitRequest1_Name |= {FULLNAME}에게 {TRAITNAME} 주기
Noticeboard_GiveTraitRequest1_Pinned |= {TRAITNAME} 특성이 있는 아이템을 {FULLNAME}에게 선물하기
Noticeboard_GiveTraitRequest1_ShortDesc |= {TRAITNAME} 아이템을 선물하기
Noticeboard_GiveTraitRequest1_Desc |= {TRAITNAME} 특성이 있는 아이템을 {FULLNAME}에게 선물하기.
Noticeboard_GiveTraitRequest1_Favour |= 누군가에게 약간 짜증이 나. 그 사람에게 {TRAITNAME}이(가) 있으면 정말 좋을 것 같아. 하지만 나는 너무 겁이 많아서 할 수 없을 것 같아.
Noticeboard_GiveTraitRequest3_Name |= {TRAITNAME} 주기
Noticeboard_GiveTraitRequest3_Pinned |= 세 명에게 {TRAITNAME} 주기
Noticeboard_GiveTraitRequest3_ShortDesc |= 세 명에게 {TRAITNAME} 주기.
Noticeboard_GiveTraitRequest3_Desc |= {TRAITNAME} 특성이 있는 아이템을 이 사람들에게 선물해봐:\n
Noticeboard_GiveTraitRequest3_Desc |= {FULLNAME_1}\n
Noticeboard_GiveTraitRequest3_Desc |= {FULLNAME_2}\n
Noticeboard_GiveTraitRequest3_Desc |= {FULLNAME_3}
Noticeboard_GiveTraitRequest3_Favour |= 오늘은 유난히 장난을 치고 싶네. 세 명에게 {TRAITNAME}을(를) 선물해 볼래? 내가 직접 하는 것 보다 네가 더 좋아할 것 같네.

Noticeboard_CommonFruitOrVegRequest_Name |= 하루에 5개가 필요해!
Noticeboard_CommonFruitOrVegRequest_Pinned |= {FULLNAME}에게 평범한 과일과 채소 배달하기
Noticeboard_CommonFruitOrVegRequest_ShortDesc |= 평범한 과일과 채소 배달하기
Noticeboard_CommonFruitOrVegRequest_Desc |= I haven't had much time to forage or grow anything lately.\n
Noticeboard_CommonFruitOrVegRequest_Desc |= {FULLNAME}에게 평범한 과일과 채소 배달하기
Noticeboard_CommonFruitOrVegRequest_Favour |= 일반적인 과일과 채소를 대량으로 구하고 있어! 이맘때면 나는 쉽게 구할 수 있는 재료로 식품 저장실을 채우는 것을 좋아해. 도와줄래?

Noticeboard_CommonFruitOrVegRequest_S_Name |= 하루에 5개가 필요해!
Noticeboard_CommonFruitOrVegRequest_S_Pinned |= {FULLNAME}에게 {ITEMTAG} 전달
Noticeboard_CommonFruitOrVegRequest_S_ShortDesc |= {ITEMTAG} 배달하기
Noticeboard_CommonFruitOrVegRequest_S_Desc |= I haven't had much time to forage or grow anything lately.\n
Noticeboard_CommonFruitOrVegRequest_S_Desc |= {FULLNAME}에게 {ITEMTAG} 전달.
Noticeboard_CommonFruitOrVegRequest_S_Favour |= 일반적인 과일과 채소를 대량으로 구하고 있어! 이맘때면 나는 쉽게 구할 수 있는 재료로 식품 저장실을 채우는 것을 좋아해. {ITEMTAG}을(를) 구해줄래?

Noticeboard_RareFruitOrVegRequest_Name |= 최고의 과일과 채소만 필요해
Noticeboard_RareFruitOrVegRequest_Pinned |= {FULLNAME}에게 희귀한 과일과 채소 배달하기
Noticeboard_RareFruitOrVegRequest_ShortDesc |= 희귀한 과일과 채소 배달하기
Noticeboard_RareFruitOrVegRequest_Desc |= 잡화점에서 좀처럼 찾아볼 수 없는 농산물에 관심이 많아.\n
Noticeboard_RareFruitOrVegRequest_Desc |= {FULLNAME}에게 희귀한 과일과 채소 배달하기
Noticeboard_RareFruitOrVegRequest_Favour |= 부를 축적하려고 계획중이야. 희귀한 과일과 채소는 곧 자산이지. 이유를 추론하려는 게 아니야. 우리는 좋은 농산물을 많이 얻거나 얻지 못하는 것뿐이지. 친구를 도와줄래?

Noticeboard_RareFruitOrVegRequest_S_Name |= 최고의 과일과 채소만 필요해
Noticeboard_RareFruitOrVegRequest_S_Pinned |= {FULLNAME}에게 {ITEMTAG} 전달
Noticeboard_RareFruitOrVegRequest_S_ShortDesc |= {ITEMTAG} 배달하기
Noticeboard_RareFruitOrVegRequest_S_Desc |= 잡화점에서 좀처럼 찾아볼 수 없는 농산물에 관심이 많아.\n
Noticeboard_RareFruitOrVegRequest_S_Desc |= {FULLNAME}에게 {ITEMTAG} 전달.
Noticeboard_RareFruitOrVegRequest_S_Favour |= 부를 축적하려고 계획중이야. 희귀한 과일과 채소는 곧 자산이지. 이유를 추론하려는 게 아니야. 우리는 좋은 농산물을 많이 얻거나 얻지 못하는 것뿐이지.  친구를 도와서 {ITEMTAG}을(를) 찾아 줄래?

Noticeboard_FaeFruitOrVegRequest_Name |= 이국적인 과일과 채소 필요
Noticeboard_FaeFruitOrVegRequest_Pinned |= {FULLNAME}에게 페이 과일과 채소 배달하기
Noticeboard_FaeFruitOrVegRequest_ShortDesc |= 페이 과일과 채소 배달하기
Noticeboard_FaeFruitOrVegRequest_Desc |= 나는 조금 '다른' 것을 찾고 있어. 그런 얘기를 들어본 적도 없어?\n
Noticeboard_FaeFruitOrVegRequest_Desc |= {FULLNAME}에게 페이 과일과 채소 배달하기.
Noticeboard_FaeFruitOrVegRequest_Favour |= 이국적인 농산물을 구할 수 없다는 것에 불만이 많았어. 가끔 페이 과일과 채소를 구할 수 있지만 가격이 비싸고 구하기가 쉽지 않아. 다른 곳에서 온 물건 한 묶음을 높은 금액으로 살게.

Noticeboard_FaeFruitOrVegRequest_S_Name |= 이국적인 과일과 채소 필요
Noticeboard_FaeFruitOrVegRequest_S_Pinned |= {FULLNAME}에게 {ITEMTAG} 전달
Noticeboard_FaeFruitOrVegRequest_S_ShortDesc |= {ITEMTAG} 배달하기
Noticeboard_FaeFruitOrVegRequest_S_Desc |= 나는 조금 '다른' 것을 찾고 있어. 그런 얘기를 들어본 적도 없어?\n
Noticeboard_FaeFruitOrVegRequest_S_Desc |= {FULLNAME}에게 {ITEMTAG} 전달.
Noticeboard_FaeFruitOrVegRequest_S_Favour |= 이국적인 농산물을 구할 수 없다는 것에 불만이 많았어. 가끔 페이 과일과 채소를 구할 수 있지만 가격이 비싸고 구하기가 쉽지 않아. 다른 곳에서 {ITEMTAG}ㅇㄹ(를) 높은 금액으로 살게.

Noticeboard_CommonFishRequest_Name |= 비릿한 결과!
Noticeboard_CommonFishRequest_Pinned |= {FULLNAME}에게 평범한 물고기를 배달하기
Noticeboard_CommonFishRequest_ShortDesc |= 평범한 물고기를 배달하기
Noticeboard_CommonFishRequest_Desc |= 평범한 물고기 한 마리만 잡아줄 수 있어?\n
Noticeboard_CommonFishRequest_Desc |= {FULLNAME}에게 평범한 물고기를 배달하기.
Noticeboard_CommonFishRequest_Favour |= 내 낚시 실력은 바로 강 아래로 떨어졌어. 문자 그대로. 막대를 떨어뜨렸더니 둥둥 떠다니더라.
Noticeboard_CommonFishRequest_Favour |= 어떻게든 기분이 나아지려면 평범한 생선 한 묶음이 필요해.

Noticeboard_CommonFishRequest_S_Name |= 비릿한 결과!
Noticeboard_CommonFishRequest_S_Pinned |= {FULLNAME}에게 {ITEMTAG} 전달
Noticeboard_CommonFishRequest_S_ShortDesc |= {ITEMTAG} 배달하기
Noticeboard_CommonFishRequest_S_Desc |= 평범한 물고기 한 마리만 잡아줄 수 있어\n
Noticeboard_CommonFishRequest_S_Desc |= {FULLNAME}에게 {ITEMTAG} 전달.
Noticeboard_CommonFishRequest_S_Favour |= 내 낚시 실력은 바로 강 아래로 떨어졌어. 문자 그대로. 막대를 떨어뜨렸더니 둥둥 떠다니더라.
Noticeboard_CommonFishRequest_S_Favour |= 어떻게든 기분이 나아지려면 {ITEMTAG}이(가) 필요해.

Noticeboard_RareFishRequest_Name |= 미끄러운 도전!
Noticeboard_RareFishRequest_Pinned |= {FULLNAME}에게 희귀한 물고기 배달하기
Noticeboard_RareFishRequest_ShortDesc |= 희귀한 물고기 배달하기
Noticeboard_RareFishRequest_Desc |= 내가 평소에 잡는 종류의 물고기를 네가 잡을 수 있을지 솔직히 모르겠다.\n
Noticeboard_RareFishRequest_Desc |= {FULLNAME}에게 희귀한 물고기 배달하기.
Noticeboard_RareFishRequest_Favour |= 조금 진부해 보일 수도 있지만, 희귀한 물고기를 잔뜩 구하는 데 도움을 줄 수 있을까? 이유가 좀 쑥스러운데, 비밀로 해줄래?!

Noticeboard_RareFishRequest_S_Name |= 미끄러운 도전!
Noticeboard_RareFishRequest_S_Pinned |= {FULLNAME}에게 {ITEMTAG} 전달
Noticeboard_RareFishRequest_S_ShortDesc |= {ITEMTAG} 배달하기
Noticeboard_RareFishRequest_S_Desc |= 내가 평소에 잡는 종류의 물고기를 네가 잡을 수 있을지 솔직히 모르겠다.\n
Noticeboard_RareFishRequest_S_Desc |= {FULLNAME}에게 {ITEMTAG} 전달.
Noticeboard_RareFishRequest_S_Favour |= 조금 진부해 보일 수도 있지만,  {ITEMTAG}을(를) 잔뜩 구하는 데 도움을 줄 수 있을까? 이유가 좀 쑥스러운데, 비밀로 해줄래?!

Noticeboard_FaeFishRequest_Name |= 멀리서 온 물고기!
Noticeboard_FaeFishRequest_Pinned |= {FULLNAME}에게 페이 물고기 배달하기
Noticeboard_FaeFishRequest_ShortDesc |= 페이 물고기 배달하기
Noticeboard_FaeFishRequest_Desc |= 퀼의 강과 연못에서는 이 물고기를 찾을 수 없습니다.\n
Noticeboard_FaeFishRequest_Desc |= {FULLNAME}에게 페이 물고기 배달하기.
Noticeboard_FaeFishRequest_Favour |= 이유는 묻지말고 페이 물고기에 대해 내기를 했는데 한 무더기가 필요해. 좀 구할 수 있다면 정말 재밌을 것 같아. 도와줄래?

Noticeboard_FaeFishRequest_S_Name |= 멀리서 온 물고기!
Noticeboard_FaeFishRequest_S_Pinned |= {FULLNAME}에게 {ITEMTAG} 전달
Noticeboard_FaeFishRequest_S_ShortDesc |= {ITEMTAG} 배달하기
Noticeboard_FaeFishRequest_S_Desc |= 퀼의 강과 연못에서는 이 물고기를 찾을 수 없습니다.\n
Noticeboard_FaeFishRequest_S_Desc |= {FULLNAME}에게 {ITEMTAG} 전달.
Noticeboard_FaeFishRequest_S_Favour |= 이유는 묻지말고 페이 물고기에 대해 내기를 했는데 {ITEMTAG}이(가) 필요해. 좀 구할 수 있다면 정말 재밌을 것 같아. 도와줄래?

Noticeboard_CommonFlowerRequest_Name |= 신선한 꽃 필요
Noticeboard_CommonFlowerRequest_Pinned |= {FULLNAME}에게 일반적인 꽃 배달하기
Noticeboard_CommonFlowerRequest_ShortDesc |= 일반적인 꽃 배달하기
Noticeboard_CommonFlowerRequest_Desc |= 신선한 꽃을 받고 싶어\n
Noticeboard_CommonFlowerRequest_Desc |= {FULLNAME}에게 일반적인 꽃 배달하기.
Noticeboard_CommonFlowerRequest_Favour |= 이 멋진 장미를 누가 살까? 이런 광경은 본 적이 없어! 글쎄, 자랑할 만한 흔한 꽃이 있다면 정말 멋진 일이겠지! 도와줘!

Noticeboard_CommonFlowerRequest_S_Name |= 신선한 꽃 필요
Noticeboard_CommonFlowerRequest_S_Pinned |= {FULLNAME}에게 {ITEMTAG} 전달
Noticeboard_CommonFlowerRequest_S_ShortDesc |= {ITEMTAG} 배달하기
Noticeboard_CommonFlowerRequest_S_Desc |= 신선한 꽃을 받고 싶어\n
Noticeboard_CommonFlowerRequest_S_Desc |= {FULLNAME}에게 {ITEMTAG} 전달.
Noticeboard_CommonFlowerRequest_S_Favour |= 이 멋진 장미를 누가 살까? 이런 광경은 본 적이 없어! 글쎄, 자랑할 만한 {ITEMTAG}이(가) 있으면 정말 재미있을 것 같아! 도와줘!

Noticeboard_RareFlowerRequest_Name |= 희귀한 꽃 필요
Noticeboard_RareFlowerRequest_Pinned |= {FULLNAME}에게 희귀한 꽃 배달하기
Noticeboard_RareFlowerRequest_ShortDesc |= 희귀한 꽃 배달하기
Noticeboard_RareFlowerRequest_Desc |= 나는 야생화를 좋아해. 어디서 자라는지 알고 있어?\n
Noticeboard_RareFlowerRequest_Desc |= {FULLNAME}에게 희귀한 꽃 배달하기.
Noticeboard_RareFlowerRequest_Favour |= 내가 나쁜 짓을 했는데 잘못한 사람에게 용서를 구하고 싶어. 멋진 꽃다발을 위해 희귀한 꽃을 구해줄래?

Noticeboard_RareFlowerRequest_S_Name |= 희귀한 꽃 필요
Noticeboard_RareFlowerRequest_S_Pinned |= {FULLNAME}에게 {ITEMTAG} 전달
Noticeboard_RareFlowerRequest_S_ShortDesc |= {ITEMTAG} 배달하기
Noticeboard_RareFlowerRequest_S_Desc |= 나는 야생화를 좋아해. 어디서 자라는지 알고 있어?\n
Noticeboard_RareFlowerRequest_S_Desc |= {FULLNAME}에게 {ITEMTAG} 전달.
Noticeboard_RareFlowerRequest_S_Favour |= 내가 나쁜 짓을 했는데 잘못한 사람에게 용서를 구하고 싶어. 멋진 꽃다발을 위해 {ITEMTAG}을(를) 구하는 데 도움이 필요해.

Noticeboard_FaeFlowerRequest_Name |= 이상한 꽃의 특별한 선물
Noticeboard_FaeFlowerRequest_Pinned |= {FULLNAME}에게 페이 꽃 배달하기
Noticeboard_FaeFlowerRequest_ShortDesc |= 페이 꽃 배달하기
Noticeboard_FaeFlowerRequest_Desc |= 지금까지 이런 꽃은 본 적이 없어. 그들이 너를 바라보고 저주하는 방식은 매혹적이야.\n
Noticeboard_FaeFlowerRequest_Desc |= {FULLNAME}에게 페이 꽃 배달하기
Noticeboard_FaeFlowerRequest_Favour |= 반지, 반지, 장미... 솜털이 가득한 주머니. 내 연인에게 줄 꽃이 없네. 공정한 사람들의 영역에서 온 꽃만이 할 수 있지. 꽃을 구해준다면 너에게 천 번 감사하지. 내 감사가 싫다면 브라스를 줄 수도 있어.

Noticeboard_FaeFlowerRequest_S_Name |= 이상한 꽃의 특별한 선물
