GEN_NPC_STORY_TRADER_INTRO_1_GENERIC |= 안녕하세요! 만나서 반갑습니다. 제 이름은 {FULLNAME}입니다. 최근에 지역 상품 상점을 인수했으니 많은 성원 부탁드립니다!
GEN_NPC_STORY_BLACKSMITHCOUNTER_LIKE_1_QUIRKY |= I really like you, ya know? You make the effort. I try to do the same. Would love to show you what I have been working on, sometime. I trust your opinion.
GEN_NPC_STORY_BLACKSMITHCOUNTER_LIKE_1_JOVIAL |= Want to hear my song? I sing it whenever I work alone. 'In the deep and darkest part, Of my deep and darkest heart, Sleeps a forge of dimming fire, Smoking like an ashen pyre. And within the charcoal, I can hear, The voice of one I lost so dear. I should have forged a stronger chain, So I could hold her hand again. Yet now the fire is extinguished, The love I lost long relinquished'.

GEN_NPC_STORY_BLACKSMITHCOUNTER_LIKE_2_GENERIC |= Enough daydreaming... got to get back to planning and learning. Improving is how we can better not only ourselves but the lives of others. All that from a little rock.
GEN_NPC_STORY_BLACKSMITHCOUNTER_LIKE_2_GENERIC |= It's time I got on with my order planning; they're starting to back up. Were you looking for anything yourself?
GEN_NPC_STORY_BLACKSMITHCOUNTER_LIKE_2_COMPLAINER |= Do you know where I can find any high-quality ore? Most people around here are useless when it comes to such knowledge. I mean, what is so hard about going down a dark pit, dodging weird creatures and ghosts whilst hoping the roof doesn't collapse in on you?
GEN_NPC_STORY_BLACKSMITHCOUNTER_LIKE_2_BOASTFUL |= I'm sure I have the talent to make that a reality. I just need to keep working at it until I make something legendary, like me.
GEN_NPC_STORY_BLACKSMITHCOUNTER_LIKE_2_PIOUS |= I've crafted a few items for Jogon in my time here, but I'm yet to hear any stories of great deeds where he wielded my weapons. I think he just ends up breaking them and doesn't want to hurt my feelings.

GEN_NPC_STORY_BLACKSMITHCOUNTER_START_COMPLAINER_1 |= My back is killing me, and my shoe leather is getting thin. They just don't make them like they used to. Could you be a pal and help me out with some stock? I really don't like doing them.
GEN_NPC_STORY_BLACKSMITHCOUNTER_TASK_NAME_COMPLAINER_1 |= Gift {FULLNAME} any 3-star or above ore during the morning
GEN_NPC_STORY_BLACKSMITHCOUNTER_TASK_DESC_COMPLAINER_1 |= Gift the required NPC a 3, 4 or 5-star ore between 6am and noon.
GEN_NPC_STORY_BLACKSMITHCOUNTER_END_COMPLAINER_1 |= Thanks for the help. It means a lot to have someone who will do some donkey work for a reward.

GEN_NPC_STORY_BLACKSMITHCOUNTER_START_COMPLAINER_2 |= My shoulder is killing me, and my knee is giving me gyp. Could you be a mate and help me out with some restocking? I would be very grateful.
GEN_NPC_STORY_BLACKSMITHCOUNTER_TASK_NAME_COMPLAINER_2 |= Gift {FULLNAME} any 3-star or above ore during the evening
GEN_NPC_STORY_BLACKSMITHCOUNTER_TASK_DESC_COMPLAINER_2 |= Gift the required NPC a 3, 4 or 5-star ore between 6pm and midnight.
GEN_NPC_STORY_BLACKSMITHCOUNTER_END_COMPLAINER_2 |= Thanks for your assistance. I would hug you, but I might catch something.

GEN_NPC_STORY_BLACKSMITHCOUNTER_START_JOVIAL_1 |= I have to admit, although I am the jovial type, I am still sad within. I did have a lost love, and I think working in the smithy keeps me hopeful. I know though, that I can never get her back. I think maybe your dear friendship has made me realise that I can love again. Would you be willing to buy the forge from me? I'd give you a good price. I can then let go and discover a future.
GEN_NPC_STORY_BLACKSMITHCOUNTER_TASK_NAME_JOVIAL_1 |= Buy the blacksmith at half-price
GEN_NPC_STORY_BLACKSMITHCOUNTER_TASK_DESC_JOVIAL_1 |= Buy the Blacksmith owned by {FULLNAME} by interacting with the red Ledger on the shop counter and agreeing to buy.
GEN_NPC_STORY_BLACKSMITHCOUNTER_END_JOVIAL_1 |= Thank you so much! This means a lot to me. You are the best.

GEN_NPC_STORY_BLACKSMITHCOUNTER_START_JOVIAL_2 |= I didn't always want to be a blacksmith. I only did it because my old love wanted me to help her squeeze her bellows. I do have other likes, such as pears. What I wouldn't give for a lovely Ploughman's Cob right now, full of lovely juicy pears. My love had juicy pears you know? In her orchard. She also had crab apples.
GEN_NPC_STORY_BLACKSMITHCOUNTER_TASK_NAME_JOVIAL_2 |= Gift {FULLNAME} a Ploughman's Cob
GEN_NPC_STORY_BLACKSMITHCOUNTER_TASK_DESC_JOVIAL_2 |= Gift a Ploughman's Cob meal to {FULLNAME}. You can cook one, be gifted, or win such an item.
GEN_NPC_STORY_BLACKSMITHCOUNTER_END_JOVIAL_2 |= That was scrum-diddly-umptious! Truly, truly scrumptious! I feel merry just poppin' that in my mouth. Many thanks!

GEN_NPC_STORY_BLACKSMITHCOUNTER_START_BOASTFUL_1 |= I'm finding it hard to shift my stock. People look up to you, so maybe if they saw you with some of my items they might visit the store. It could be a new way to advertise... celebrity endorsement. Hmmm, it won't catch on but we could try it!
GEN_NPC_STORY_BLACKSMITHCOUNTER_TASK_NAME_BOASTFUL_1 |= Buy 5 items from the blacksmith
GEN_NPC_STORY_BLACKSMITHCOUNTER_TASK_DESC_BOASTFUL_1 |= Buy 5 items from {FULLNAME}.
GEN_NPC_STORY_BLACKSMITHCOUNTER_END_BOASTFUL_1 |= Thank you so much. Now people know what a great blacksmith I am, and it's all down to your help and my amazing ideas.

GEN_NPC_STORY_BLACKSMITHCOUNTER_START_BOASTFUL_2 |= You're an adventurer, and apparently a pretty good one. Could you go battle some monsters and endorse my weapons even more? If people know they work wonders, they are sure to buy them. I could even have some sort of tagline... 'Get a Slice of Quality Today' or 'A Cut Above the Rest'.
GEN_NPC_STORY_BLACKSMITHCOUNTER_TASK_NAME_BOASTFUL_2 |= Kill 20 monsters
GEN_NPC_STORY_BLACKSMITHCOUNTER_TASK_DESC_BOASTFUL_2 |= Kill 20 of any type of monster in any of the combat zones. A counter on the far right in combat will show progress.
GEN_NPC_STORY_BLACKSMITHCOUNTER_END_BOASTFUL_2 |= Welcome back, Slayer! You are a true friend and I don't want to get on the wrong side of you, for sure!

GEN_NPC_STORY_BLACKSMITHCOUNTER_START_QUIRKY_1 |= I've tried so many different types of ore but I just can't make it work. I need to keep trying. It might help if I didn't use a rubber hammer.
GEN_NPC_STORY_BLACKSMITHCOUNTER_TASK_NAME_QUIRKY_1 |= Gift {FULLNAME} 3 pieces of Shadderwryth Ore
GEN_NPC_STORY_BLACKSMITHCOUNTER_TASK_DESC_QUIRKY_1 |= Gift 3 Shadderwryth Ore of any quality via chat or the Interact wheel.
GEN_NPC_STORY_BLACKSMITHCOUNTER_END_QUIRKY_1 |= That worked perfectly, thanks. Here take all this spare ore, I just couldn't make it work with this stuff so you might as well have it. Watch that ore, it seems to have properties that make it try to avoid being shaped!

GEN_NPC_STORY_BLACKSMITHCOUNTER_START_QUIRKY_2 |= I've tried so many different types of ore but I just can't make it work. I need to keep trying. It might help if I didn't use a rubber hammer.
GEN_NPC_STORY_BLACKSMITHCOUNTER_TASK_NAME_QUIRKY_2 |= Gift {FULLNAME} 3 pieces of Shadderwryth Ore
GEN_NPC_STORY_BLACKSMITHCOUNTER_TASK_DESC_QUIRKY_2 |= Gift 3 Shadderwryth Ore of any quality via chat or the Interact wheel.
GEN_NPC_STORY_BLACKSMITHCOUNTER_END_QUIRKY_2 |= That worked perfectly, thanks. Here take all this spare ore, I just couldn't make it work with this stuff so you might as well have it. Watch that ore, it seems to have properties that make it try to avoid being shaped!

GEN_NPC_STORY_BLACKSMITHCOUNTER_START_PIOUS_1 |= Hearing tell of all these adventures from people like yourself and Master Jogon, makes me want to stop listening and start telling. I want to be the one who can enchant an audience, and whose stories are told around campfires for thousands of years. So that's it, I'm selling up. The smithy is yours half-price if you would take it? I would be very grateful for this push.
GEN_NPC_STORY_BLACKSMITHCOUNTER_TASK_NAME_PIOUS_1 |= Buy the blacksmith at half-price
GEN_NPC_STORY_BLACKSMITHCOUNTER_TASK_DESC_PIOUS_1 |= Buy the Blacksmith owned by {FULLNAME} by interacting with the red Ledger on the shop counter and agreeing to buy.
GEN_NPC_STORY_BLACKSMITHCOUNTER_END_PIOUS_1 |= Thank you! Now, onward and upward to adventure and my name on the pages and tongues of history!

GEN_NPC_STORY_BLACKSMITHCOUNTER_START_PIOUS_2 |= Hearing tell of all these adventures from people like yourself and Master Jogon, makes me want to stop listening and start telling. I want to be the one who can enchant an audience, and whose stories are told around campfires for thousands of years. So that's it, I'm selling up. The smithy is yours half-price if you would take it? I would be very grateful for this push.
GEN_NPC_STORY_BLACKSMITHCOUNTER_TASK_NAME_PIOUS_2 |= Buy the blacksmith at half-price
GEN_NPC_STORY_BLACKSMITHCOUNTER_TASK_DESC_PIOUS_2 |= Buy the Blacksmith owned by {FULLNAME} by interacting with the red Ledger on the shop counter and agreeing to buy.
GEN_NPC_STORY_BLACKSMITHCOUNTER_END_PIOUS_2 |= Thank you! Now, onward and upward to adventure and my name on the pages and tongues of history!

GEN_NPC_STORY_CHEMISTCOUNTER_INTRO_1_GENERIC |= Hello. Good to meet you. I'm the apothecary owner. Brewing is my business and potions are my passion.
GEN_NPC_STORY_CHEMISTCOUNTER_INTRO_1_GENERIC |= Well met. I am the apothecary owner. Need a cut sealing or a cough healing, I'm your knuckleberry.
GEN_NPC_STORY_CHEMISTCOUNTER_INTRO_1_COMPLAINER |= Hello. Are you from around here? I'm not, and am already not liking this place. The grass is just that bit less 'grassy' and the water, less 'watery'.

GEN_NPC_STORY_CHEMISTCOUNTER_INTRO_2_GENERIC |= I am interested in helping others and passing on my knowledge. A stitch in time saves nine, they say.
GEN_NPC_STORY_CHEMISTCOUNTER_INTRO_2_GENERIC |= I am pretty new to this job if truth be told, but am always willing to learn and improve my craft.
GEN_NPC_STORY_CHEMISTCOUNTER_INTRO_2_BOASTFUL |= I don't suffer fools and will gladly get my monster parts from the dark forests, except for Toughwood. That place is just a bit too scary, even for a professional monster slayer like myself.
GEN_NPC_STORY_CHEMISTCOUNTER_INTRO_2_PIOUS |= I really enjoy the wonders of medicine, but I firmly believe in faith healing. I think that the Goddesses put a part of themselves into every herb and flower and that distilled faith fills the cure with the power of healing.

GEN_NPC_STORY_CHEMISTCOUNTER_FRIENDLY_1_GENERIC |= I have to say I am concerned about the laxness the locals have towards personal health and wellbeing. I constantly see the same people with the same malady. I suppose it does keep me busy though!
GEN_NPC_STORY_CHEMISTCOUNTER_FRIENDLY_1_GENERIC |= I am really excited to learn more about what local materials are around that I can work with. Have noticed certain maladies on the rise, so I think I could help.
GEN_NPC_STORY_CHEMISTCOUNTER_FRIENDLY_1_JOVIAL |= I am just really excited to talk about flowers. You just have to love the colours, smells, taste. Ha! Not really! I don't actually smell them, just eat them. Haha!
GEN_NPC_STORY_CHEMISTCOUNTER_FRIENDLY_1_QUIRKY |= I have loads of monster facts, by the way. Did you know the Fachen has one eye, arm and leg? It is because it used to be a creature with two personalities that constantly quarrelled, so it split itself in two! Then there is the Water Hag. Some say she was a witch long ago that was drowned, and now seeks revenge from her watery lair.
GEN_NPC_STORY_CHEMISTCOUNTER_FRIENDLY_1_BOASTFUL |= Great to see you. Not been back long from a hunt. As usual, I chopped up a few monsters and got some quality parts. I would show you them, but I don't want to spoil them. You are worthy of seeing them, though, don't get me wrong.

GEN_NPC_STORY_CHEMISTCOUNTER_FRIENDLY_2_GENERIC |= I am happy to be getting to know you more. I am at my happiest when making friends and helping people, although I find that patients are only your friends until they leave the apothecary.
GEN_NPC_STORY_CHEMISTCOUNTER_FRIENDLY_2_GENERIC |= I do need to get monster parts and such, but to be honest, I am a bit wary of them. I can handle little ones in small numbers, but I don't like the bigger, nastier ones that sometimes show up. I have to peg it, then!
GEN_NPC_STORY_CHEMISTCOUNTER_FRIENDLY_2_COMPLAINER |= I am not sure why I bother working in this place. The locals aren't that friendly. I know I swear at them and am grumpy towards them, but I have to blame someone other than me.
GEN_NPC_STORY_CHEMISTCOUNTER_FRIENDLY_2_PIOUS |= If folk had more faith, in themselves and our beloved Goddesses, then they would be less prone to the ailments and curses that can afflict them.

GEN_NPC_STORY_CHEMISTCOUNTER_LIKE_1_GENERIC |= We are getting closer aren't we? May I confide in you? I don't think I am actually very good at medicine. I do try my best, but I haven't got the knowledge or the eye for measuring up doses. One day I am sure I will turn somebody into a cake!
GEN_NPC_STORY_CHEMISTCOUNTER_LIKE_1_GENERIC |= Tell you what I would absolutely love... to create a cure for the most awful of maladies, and become famous for it. People would flock to my shop and throw their money at me. Well, not actually throw it. It might mean that lesser illnesses don't get attention, but that's the cost of excellence.
GEN_NPC_STORY_CHEMISTCOUNTER_LIKE_1_QUIRKY |= Oh! I have a story for you I wanted to share. It is about the Nymphs of Simplewood. An adventurer once found an injured Nymph and felt sorry for it. He helped it and nursed it back to health. The Nymph was soon able to fly again, but the adventurer charged it 1000 brass for the trouble. Looks like it was the Nymph who got stung! Haha! I almost feel like that story is a commentary on something.
GEN_NPC_STORY_CHEMISTCOUNTER_LIKE_1_JOVIAL |= I would love to tell you about a flower that is said to grow in Evergreen. A trader once sold such a flower to a wanderer, and he slipped it behind his ear. He discovered that the ladies were suddenly much more interested in him. They would follow him, give him gifts and offer him rabbit corndolls. He grew so tired from all the attention he decided to start wearing clothes. The flower? Oh, that fell off his ear and got flattened.
