TASK_EXPIRED_TITLE |= 과제 만료
BUY_SEEDS1Desc |= 페스티벌 그린 시장에서 씨앗을 구입하고 빌 삼촌에게 돌아가세요.
BUY_SEEDS2 |= 빌 삼촌과 대화하기
BUY_SEEDS2Desc |= 빌 삼촌에게 돌아가서 작물 재배에 대해 알아보세요.
LEARN_TO_COOK_TITLE |= 요리 배우기
HARVEST_CARROTS_TITLE |= 당근 {0} 개 수확하기
DRUIDA_FESTIVE_TITLE |= 페스티벌 그린에서 빌 삼촌 만나기
MEET_FAIRWEATHER_TITLE |= 페어웨더 만나기
GODDESS_OFFERING_TITLE |= 여신에게 제물을 바치기
GODDESS_WORSHIP_TITLE |= 여신의 은총을 선택하기
OFFERING_TITLE |= 브라우니 선물 만들기
MEET_CHARACTER_TITLE |= {0} 을(를) 만나기
MAPSTONE_TITLE |= {0} 지도 잠금 해제
PLANT_KYNSEED_TITLE |= 킨시드를 심기
PLANT_KYNSEED_DESC |= 집 서쪽에 있는 농장의 연못이 내려다보이는 언덕으로 가세요. 빛나는 밭과 상호작용하여 킨시드를 심으세요.\n이 작업이 완료될 때까지 떠날 수 없습니다!
FEED_PIGS_DESC |= 우리의 돼지 친구들은 음식보다 더 좋아하는 것이 없습니다. 진흙만 빼고요. 음식과 진흙. 그리고 잠자는 것도요. 음식, 진흙, 그리고 잠. 그리고 타고 다니는 것도요. 좋아요, 돼지들은 많은 것을 좋아하지만 먹이를 주지 않으면 사람을 좋아하지 않아요. 펜에 무언가를 던져주거나 상호작용을 하고 먹이 옵션을 선택하세요.
UNCLE_BIRTHDAY_DESC |= 삼촌이 오늘 생일을 맞아 선물을 받고 싶어 하세요.
FILL_TROUGH_DESC |= 몸이 길고 물만 마시던 포피힐의 농부 필과 착각하지 마세요. 양철 양동이를 가져와서 담수원에서 사용하세요(단서는 알려드릴 수 없습니다). 그런 다음 양동이를 들고 물통에 붓습니다. 돼지가 쉽게 마실 수 있습니다.
PLANT_N_HARVEST_DESC |= 1단계. 씨앗을 구입합니다. 2단계. 줄무늬가 있는 토양 밭에 이동하여 상호 작용합니다. 3단계. 심고 싶은 씨앗을 선택합니다. 4단계. 매일 씨앗에 물을 줍니다. 5단계. 익었을 때 따세요. 6단계. 6단계는 없습니다. 7단계. 아니면 7단계.
FIND_BONE_DESC |= 삽을 들고 개가 따라오게 하세요. 두 번 우는 울음소리를 조심해서 반려견이 표시해 놓은 작은 흙 덩어리가 있는 곳을 파보세요. 아래에 어떤 물건이 숨겨져 있을지 누가 알겠어요! (저희도 모르죠!)
HARVEST_CABBAGES_DESC |= 잘 익은 양배추 4개를 집으세요. 1,2,3... 어, 4만큼 쉽습니다. 양배추가 세상을 하나로 묶어주는 채소라고 하지만, 어떤 사람들은 그것이 페이 마술이라고 생각하고 어떤 멍청이들은 세상이 둥글다고 생각합니다! 프레이를 위해 2D라고요!
CURE_ILLNESS_DESC |= 빌 삼촌이 그린스 상자를 가지고 있어요. 실제 병이 아니라 침대 밑에 숨겨져 있죠. 약제상 같은 곳에서 천연 또는 비싼 값에 구한 치료제를 찾아주세요.
PICK_DANDELION_DESC |= 민들레는 퀼의 시계입니다. 땅 곳곳에서 이 작고 푹신한 친구들을 찾아서 하나 골라보세요. 시계가 나타날 것입니다. 가장 큰 씨앗을 보고 시계가 가리키는 방향을 확인하면 됩니다. 실제로 어떻게 작동하는지는 아무도 모르지만, 쉿!
BUY_BUCKET_DESC |= 이 옛 민요에서 언급된 것처럼 퀼에는 두 가지 종류의 양동이가 있습니다... \n하나 둘, 똥 양동이\n셋 넷, 문을 두드리고\n다섯 여섯, 막대기로 펴서\n일곱 여덟, 장난을 잘 쳐.\n미안해요, 운율이 틀렸어요. 액체는 양철 통을, 똥은 나무 통을 사용하세요. 마을에 있는 상점에서 하나 사세요.
LEARN_TO_COOK_DESC |= 서쪽 끝에 있는 캔들위치 오두막으로 가서 허바드 할머니와 이야기를 나눠보세요. 그녀는 퀼의 모든 요리법을 집필했으며, 여러분에게 윙크하지 않거나 3시간 동안 사랑스러운 그늘에서 바깥집을 다시 꾸미고 싶게 만들지 않는 적절한 식사를 만드는 방법에 대한 통찰력을 줄 수 있습니다.
HARVEST_CARROTS_DESC |= 땅에서 자라고 있는 잘 익은 당근 4개를 줍습니다. 하지만 다른 사람의 냄비에서 당근을 주우면 손에 화상을 입거나 스튜가 묻을 수 있고 스튜어트가 좋아할지 모르니 주의하세요.
DRUIDA_FESTIVE_DESC |= 페스티벌 그린 여신상으로 가서 빌 삼촌을 만나세요.
GODDESS_OFFERING_DESC |= 모든 마을 주민은 매주 솔스데이(여신의 날)에 여신에게 제물을 바칩니다.
GODDESS_WORSHIP_DESC |= 솔스데이인 7일과 14일에는 축복과 저주가 초기화되므로 다음 주에 새로 제물을 바칠수 있습니다.
MEET_FAIRWEATHER_DESC |= 신비한 페어웨더 씨를 만나서 어떤 선물을 받을수 있을지 알아보세요. 크럼블초크 광산으로 가서 랜턴을 잊지 마세요!
TWIG_DESC |= 꿈꾸는 자의 피난처에서 트위그를 만나보세요.
MAPSTONE_DESC |= 이 지역에서 맵스톤을 찾으세요. 신비한 소용돌이 무늬로 맵스톤을 알아볼 수 있을 것입니다. 모두 찾아서 상호작용하여 위치를 삼각 측량하고 지역 지도를 표시하세요. 퀼의 많은 사람들이 삼각 측량 철자를 모르거나 심지어 무슨 뜻인지도 모른다는 것이 유감입니다!
FATHER_DESC |= 농장에서 삼촌과 대화하세요.
OFFERING_DESC |= 브루니는 장난을 좋아하는 만큼이나 인간의 음식을 좋아하는 장난꾸러기 페이 정령입니다. 적절한 제물을 바치면 도움을 줄 수도 있습니다! 집 밖에 있는 커다란 제물 그릇을 사용해 아이템을 선물하세요. 하지만 잊지 마세요. 페이 정령들은 성질이 급하니까요!
DAY4MILKNAME |= 마더 허버드에게 우유 배달하기
DAY4MILKDESC |= 젖소 옆에 있는 양철통을 사용하여 우유를 채웁니다. 우유를 캔들위치 오두막으로 가져가세요.
DAY6MILKNAME |= 패피 카우에게 우유 전달하기
DAY6MILKDESC |= 패피는 캔들위치 코티지 북쪽의 카우팟 농장에 살고 있습니다. 파피는 우유를 정말 좋아해요!
DAY8MILKNAME |= 헤이즐 너트에게 우유 전달하기
DAY8MILKDESC |= 뻐꾸기 숲 북쪽의 캐터리에서 헤이즐을 만날 수 있습니다.
DAY9MILKNAME |= 워젤 스크럼피에게 우유 전달하기
DAY9MILKDESC |= 테스티 에이커스로 가서 워젤에게 우유를 선물하세요.
DAY10HONEYNAME |= 제이콥 크래클에게 꿀 전달하기
DAY10HONEYDESC |= 늙은 제이콥은 무덤에서 찾을 수 있습니다.
READ_NOTICEBOARD_DESC |= 마을의 게시판을 읽어보세요.
CREATE_CUSTOM_TASK_DESC |= 달력에서 나만의 맞춤 작업을 만들어 보세요! 목록 상단에서 '작업 추가' 옵션을 찾아 절차를 안내합니다.
DAY_9_LUCY_TITLE |= 오후 6시 이후 북문의 헨지에서 루시 만나기
DAY_9_LUCY_DESC |= 오후 6시 이후 북문의 헨지 옆에서 루시를 만나보세요.
DAY_13_SIBLING_TITLE |= 북문에서 형제 자매 만나기
DAY_13_SIBLING_DESC |= 형제 자매가 북문으로 오라는 쪽지를 남겼습니다. 이유는 말하지 않았는데...
JogonMeleeTaskTitle |= 전투 배우기
JogonMeleeIntro1 |= 리버무어의 조곤에게 말 걸기
JogonMeleeIntro1Desc |= 조곤은 전투의 달인입니다. 리버무어 맨 꼭대기에 있는 심플우드 입구에서 그를 찾으세요. 통역이 필요할 수도 있습니다.
JogonMeleeIntro2 |= 검 획득
JogonMeleeIntro2Desc |= 포피힐 대장간에게 가서 검을 구입하거나 제작하고, 조곤에게 돌아가 자세한 설명을 들으세요. 포피힐의 위치를 모른다면 이 작업을 활성으로 설정하고 F1 키를 누르거나 왼쪽 스틱을 클릭하면 쌔터웨이가 안내해 줄 것입니다.
JogonMeleeIntro3 |= 무덤에서 조곤 찾기
JogonMeleeIntro3Desc |= 심플우드 입구 서쪽 리버무어의 무덤 언덕에서 조곤이 여러분을 기다립니다. 그곳에서 전투 방법을 배우고 새로운 기술을 배울 수 있습니다! 으스스하게 생긴... 놓칠 수 없는 곳입니다!
MoonRangedTaskTitle |= 원거리 전투 배우기
MoonRangedIntro1 |= 궁수 문 찾기
MoonRangedIntro1Desc |= 달은 원거리 기술의 달인입니다. 문은 나이다의 영광 북쪽 드라운힐에서 기다리고 있습니다.
MoonRangedIntro2 |= 연못 목표물을 맞추고 75점 이상 득점하기
MoonRangedIntro2Desc |= 새총을 사용해 문 텐트 왼쪽에 있는 드라운힐 서쪽 연못 위에 있는 과녁을 맞추세요. 그런 다음 나타나는 목표물을 명중시켜 75점 이상을 획득하세요.
MoonRangedIntro3 |= 문에게 돌아가기
MoonRangedIntro3Desc |= 문에게 돌아가 보상을 받으세요.
MoonRangedIntro4 |= 무덤에서 문 만나기
MoonRangedIntro4Desc |= 문이 드라운힐의 캠프 서쪽에 있는 무덤에서 활에 대해 가르쳐 주려고 기다리고 있습니다. 셔츠를 집어넣고 최소한 예의를 갖추도록 노력하세요. 
CureIllnessTaskTitle |= 빌 삼촌 치료하기
CureIllness1 |= 약제상의 레미에게 말 걸기
CureIllness1Desc |= 빌 삼촌이 아프니 마을 약국에 있는 레미 시프에게 말하세요.
CureIllness2 |= 재료를 모아 레미에게 돌아가세요.\n뻐꾸기 이슬\n블러드퓨
CureIllness2Desc |= 뻐꾸기 이슬 1개와 블러드퓨 1개를 찾아서 모은 다음, 돌아와서 약제상 레미에게 말을 걸어야 합니다. 둘 다 뻐꾸기 숲에서 찾을 수 있습니다.
ReturnSiblingTaskTitle |= 형제자매를 방문하여 업데이트하기
ReturnSiblingDesc |= 스톤크라운으로 이동해 형제자매와 대화하세요.
ReturnGrandmastersTaskTitle |= 그랜드 마스터에게 가기
ReturnGrandmastersDesc |= 새로운 명성 레벨에 도달했습니다. 서클에 있는 그랜드마스터의 무덤으로 가서 보상을 받고 그들의 이야기를 들어보세요...
ForgeVorpalTaskTitle |= 보팔 검 단조하기
ForgeVorpalDesc |= 어비스스톤 광석으로 보팔 검을 제작하려면 대장간을 사용하세요.
FindJabberTaskTitle |= 재버워크 찾기
FindJabberDesc |= 형제에게 가서 자버워크를 드러내는 방법에 대해 조언을 구하세요.
Day11AshTaskName |= 애쉬 브라운의 수수께기
Day11Ash1 |= 뻐꾸기 숲에서 애쉬 브라운을 만나세요.
Day11Ash1Desc |= 애쉬 브라운은 수수께끼에 대한 답을 찾기 위해 뻐꾸기 숲에 귀사를 요청합니다...
Day11Ash2 |= 실버 스키퍼를 찾아서 포획하기
Day11Ash2Desc |= 얼굴 나무 옆의 빛나는 웅덩이에 배를 던져 항아리를 이용해 잡으세요!
Day11Ash3 |= 발견한 것을 가지고 애쉬로 돌아가세요
Day11Ash3Desc |= 애쉬에게 결과를 보여주세요.
GET_SICKLE_TITLE |= 대장장이에게 양동이 받기
BuySickle1 |= 제레미와 대화하기
BuySickle1Desc |= 제레미가 양동이를 구하는 데 도움을 줄 수 있을 것입니다.
BuySickle2 |= 광산에서 주석 광석 얻기
BuySickle2Desc |= 캔들위치 마을 북쪽의 광산 근처에서 곡괭이를 사용해 주석 광석을 획득하세요.
BuySickle3 |= 제레미에게 돌아가기
BuySickle3Desc |= 새로 획득한 주석 광석을 가지고 제레미에게 돌아가세요.
BuySickle4 |= 주석 양동이 제작하기
BuySickle4Desc |= 마을에 있는 대장간 장비를 사용해 주석 양동이를 제작하세요.
MissingChickensTaskTitle |= 닭이 사라졌습니다!
MissingChickens1 |= 워젤 스크럼피와 대화하기
MissingChickens1Desc |= 워젤 스크럼피의 닭이 사라졌습니다. 자세한 정보는 그에게 물어보세요. 그는 테스티 에이커스에 살고 있습니다. 화가 났어요!
MissingChickens2 |= 닭을 찾아서 돌려주기
MissingChickens2Desc |= 베일에서 사라진 닭을 찾으세요. 세 마리가 한 무리를 이루고 있습니다. 닭들이 당신을 따라오게 하여 닭장으로 데려오세요. 샛터웨이를 사용해 닭들이 숨어 있을 만한 곳으로 접근하세요. 
MissingChickens3 |= 워젤 스크럼피에게 말 걸기
MissingChickens3Desc |= 보상을 받으려면 워젤 스크럼피와 대화하세요.
MissingChickens4 |= 포피힐 게시판 확인하기
MissingChickens4Desc |= 섬머다운에서 사라진 닭에 대해 알아보세요.
MissingChickens5 |= 로즈에게 닭에 대해 이야기하기
MissingChickens5Desc |= 로즈 쏜의 닭이 사라졌어요. 자세한 정보는 그녀에게 문의하세요. 그녀는 홈스테드에 살고 있어요. 그녀는 매우 걱정하고 있어요!
MissingChickens6 |= 닭을 찾아서 돌려주기
MissingChickens6Desc |= 섬머다운에서 사라진 닭을 찾아보세요. 세 마리가 한 무리를 이루고 있습니다. 그들을 따라오게 하여 닭장으로 데려가세요. 샛터웨이를 사용해 닭이 숨어 있을 만한 곳으로 접근하세요.
MissingChickens7 |= 로즈 쏜에게 말 걸기
MissingChickens7Desc |= 보상을 받으려면 로즈 쏜과 대화하세요.
MissingChickens8 |= 멜로우브룩 게시판 확인하기
MissingChickens8Desc |= 멜로우필드에서 사라진 닭에 대해 알아보세요.
MissingChickens8Alt |= 멜로우필드에서 단서 찾기
MissingChickens8DescAlt |= 마지막 세 마리를 찾았지만 더 많은 닭이 사라졌습니다. 멜로우필드에 단서가 될 만한 집이 있을까요? 파손된 집은 없을까요?
MissingChickens9 |= 프로그에게 닭에 대해 이야기하기
MissingChickens9Desc |= 은둔자 프로그의 닭이 사라졌어요. 자세한 정보는 그에게 물어보세요. 그는 아웃레인에 살고 있습니다. 그는 매우 짜증이 났어요!
MissingChickens10 |= 닭을 찾아서 돌려주기
MissingChickens10Desc |= 멜로우필드에서 사라진 닭을 찾아보세요. 세 마리가 한 무리를 이루고 있습니다. 닭들이 당신을 따라오게 하여 닭장으로 데려가세요. 샛터웨이를 사용해 닭들이 숨어 있을 만한 곳으로 접근하세요.
MissingChickens11 |= 프로그에게 돌아가기
MissingChickens11Desc |= 보상을 받으려면 프로그와 대화하세요.
UnwellTaskTitle |= 워마쉬
Unwell1 |= 위스트레일에서 페이지와 대화하기
Unwell1Desc |= 동쪽의 위스트레일로 이동합니다.
Unwell2 |= 보도를 잠금 해제하고 리릭 찾기
Unwell2Desc |= 철제 보도는 슁글스의 중앙 북쪽 지점에 있습니다. 문을 통과하여 리릭과 대화할 수 있는 방법을 찾아보세요.
Unwell3 |= 위스트레일에서 안개 제거하기
Unwell3Desc |= 위스트레일에서 칼모니카를 사용해 안개를 걷어내세요.
Unwell4 |= 개구리 습지에서 페이지 찾기
Unwell4Desc |= 페이지는 개구리 습지의 드레드워터로 통하는 문에서 여러분을 기다릴 것입니다. 이 지역은 워마쉬 북부에 있습니다.
Unwell5 |= 클렌징 워터 얻기
Unwell5Desc |= 티르 나 노그의 페이 왕국 북쪽에 있는 분수대로 가서 그곳에서 액체를 모으세요. 그 액체를 가지고 드레드워터로 가는 문에 있는 페이지에게 돌아가세요. 티르 나 노그가 어디 있는지 모르시나요? 그 옵스큐라에 열쇠가 있을지도 모르니까요...
Unwell6 |= 페이지에게 돌아가기
Unwell6Desc |= 개구리 습지에서 드레드워터로 가는 문에 있는 페이지와 대화하세요.
Unwell7 |= 몸이 좋지 않은 상태 정화하기
Unwell7Desc |= 클렌징 워터를 몸이 좋지 않은 사람에게 가져가 상호작용하여 사용합니다. 반드시 장착할 필요는 없습니다. 무덤 문을 열 방법을 찾아야 합니다. 드레드워터 주민을 조심하세요. 그는 무덤을 보호하기 위해 밤에 나옵니다. 그가 당신을 잡으면 즉사하고 페어웨더 씨가 당신을 되살려야 할 것입니다!
BuryingPastTaskTitle |= 묻혀있는 상자 찾기
BuryingPastTaskDesc |= 빌 삼촌의 일기장에 있는 단서를 따라 셰더리스 삽을 사용하여 묻혀 있는 것을 찾아내세요.\n 개는 이것을 찾는 데 도움을 줄 수 없습니다!
WyrmTaskTitle |= 어비스스톤 획득하기
Wyrm1 |= 형제자매 방문하기
Wyrm1Desc |= 스톤크라운에 있는 형제에게 말을 걸어보세요.
Wyrm2 |= 마더 허버드에게 말 걸기
Wyrm2Desc |= 베일의 캔들위치 오두막으로 가서 올드 마더 허바드에게 말을 걸어보세요.
Wyrm3 |= 램튼 파이 굽기
Wyrm3Desc |= 램튼 파이를 구우세요. 만약을 대비해 몇 개 만들어두는 것도 좋습니다.
Wyrm4 |= 형제 자매에게 말 걸기
Wyrm4Desc |= 스톤크라운에 있는 형제 자매에게 돌아가기
Wyrm5 |= 웜 찾기
Wyrm5Desc |= 늪지대에서 웜이 있을 만한 광산 입구를 찾아보세요. 드레드워터는 시작하기에 좋은 곳이지만,\n사실 시작하기에는 끔찍한 곳입니다.
Wyrm6 |= 웜에서 어비스스톤 획득하기
Wyrm6Desc |= 램튼 파이를 웜에게 던져 어비스스톤 광석을 떨어뜨리게 만드세요.
Wyrm7 |= 보팔 검 단조하기
Wyrm7Desc |= 대장간을 사용해 보팔 소드 몰드와 어비스스톤을 선택해 보팔 소드를 만드세요.
SlayJabberTaskTitle |= 재버워크 처치하기
SlayJabberDesc |= 번개 폭풍이 몰아치는 터프우드에서 보팔 소드와 히알라이트 참을 장착하고 재버워크를 찾아 처치하세요!
StoryTaskTitle |= 꿈속에서 이상한 문을 찾기
Story1 |= 농장 출구에서 팟과 대화하기
Story1Desc |= 윌로우다운 농장 출구에서 팟을 찾아 말을 걸어보세요.
Story2 |= 북문을 통해 베일 밖으로 나가세요
Story2Desc |= 꿈에서 본 돌문을 찾으세요. 세계 지도에서 심플우드 북쪽 어딘가에 있습니다.
Story3 |= 마스터 조곤 찾기
Story3Desc |= 북문을 지나 리버무어로 들어가세요. 심플우드 입구 맨 꼭대기에서 마스터 조곤이 기다리고 있습니다.
Story4 |= 마스터 문 방문하기
Story4Desc |= 섬머다운의 드렁크힐로 가서 궁수 문과 대화하세요.
Story5 |= 모놀리스 찾기
Story5Desc |= 서클에서 돌 기둥을 찾으세요. 이 지역은 북쪽에 있지만, 동쪽의 섬머다운 지역을 지나가야만 도달할 수 있습니다.
GrandmastersTaskTitle |= 그랜드마스터 찾기
Grandmasters1 |= 스킬 배우기 <VAR1>/5
Grandmasters1Desc |= 모든 마스터들에게 총 5가지 기술을 배웁니다. 트위그, 노모 허바드, 조곤, 달, 마쉬티트를 찾아 그들의 의뢰를 수행하세요. 이미 습득한 스킬은 모두 합산에 포함됩니다. 그런 다음 서클로 돌아가 돌 받침대 위에 서세요. 5개의 촛대에 불이 켜져 진행 상황을 확인할 수 있습니다.
Grandmasters2 |= 돌 받침대 위에 서기
Grandmasters2Desc |= 커다란 돌문 바로 바깥쪽에 있는 더 서클의 돌 받침대에 서 보세요.
Grandmasters3 |= 무덤 탐색하기
Grandmasters3Desc |= 서클의 무덤으로 들어가 그랜드마스터를 찾으세요.
BecomeLegendTaskTitle |= 전설이 되기
BecomeLegendLevel1 |= 명성을 <toollevel:1> 로 올리기
BecomeLegendLevel2 |= 명성을 <toollevel:2> 로 올리기
BecomeLegendLevel3 |= 명성을 <toollevel:3> 로 올리기
BecomeLegendLevel4 |= 명성을 <toollevel:4> 로 올리기
BecomeLegendLevel5 |= 명성을 <toollevel:5> 로 올리기
BecomeLegendLevel6 |= 명성을 <toollevel:6> 로 올리기
BecomeLegendLevel7 |= 명성을 <toollevel:7> 로 올리기
BecomeLegendLevel8 |= 명성을 <toollevel:8> 로 올리기
BecomeLegendLevel9 |= 명성을 <toollevel:9> 로 올리기
BecomeLegendLevel10 |= 명성을 <toollevel:10> 로 올리기
BecomeLegend1Desc |= 라이트의 과제를 완료하려면 평판을 쌓아 명성 레벨을 높여야 합니다.\n평판(REP)은 다음에서 획득할 수 있습니다... \n사업체 소유: \n상품 상점, 대장간 또는 약제상 카운터에 있는 장부와 상호작용하여 상점을 구입합니다.\n몬스터 처치: \n어둠의 숲에 들어가서 전투를 벌여 경험치를 획득하세요.\n친구 사귀기: \nNPC에게 선물을 주고 호의를 베풀면 경험치를 획득할 수 있습니다. 각 우정 단계마다 일정 경험치를 획득할 수 있습니다.\n특정 이벤트에서 승리: \n콘테스트 및 이벤트에 참여하면 일부 경험치를 획득할 수 있습니다. 이벤트가 열리는 장소와 시간을 확인하고 달력을 주시하세요.\n과제 및 부탁 완료하기: \nNPC와 대화하거나 지역 게시판을 통해 과제를 완료하면 일부 경험치와 과제 보상을 획득할 수 있습니다.\n플레이어 진행 상황 화면에서 경험치 획득량과 명성 레벨을 확인할 수 있습니다.
BecomeLegend2 |= 그랜드마스터에게 돌아가기
BecomeLegend2Desc |= 서클의 무덤에 있는 그랜드 마스터에게 가서 보상을 받으세요.
GrandmasterInstructions |= 세계로 돌아가 평판을 올리세요. 평판 항아리를 채우면 그랜드 마스터가 당신을 소환합니다. \n사업 운영, 몬스터 처치, 친구 맺기, 과제 완료, 특정 이벤트 승리 등 다양한 방법을로 항아리를 채울 수 있습니다.\n언제든 그랜드 마스터에게 돌아가서 자신의 순위를 확인하거나 진행 화면을 통해 확인할 수 있습니다. 명성이 높아지면 성장을 장려하기 위해 각 이정표에서 보상을 받게 됩니다.
ReputationInstructions |= The Reputation Urn allows you to collect REP from various sources... \n• Raising friendship tiers\n• Slaying monsters\n• Completing tasks\n• Winning certain events\n• Owning a business and getting positive customer energy\n\nRunning a shop is the most effective way to earn REP. REP will allow you to unlock Perks for your business via the Ledger. These Perks will help your Goods Store, Blacksmith, or Apothecary become even more successful and efficient, thus bringing in even more REP and money.\n\nTo view your Reputation and Renown levels, select the Progress screen icon in the bottom left of the main play screen; via pressing <progress> and also via the Pause Menu.
MonolithHeading |= Monolith
MonolithInstructions |= Within the sacred tomb of The Circle is the final resting place of the Grandmasters of Legend. These heroes forged 'The Agreement', bringing peace between Fae and humankind. Now they guard the path to the Goddesses and Opal.\nThose who seek judgement of their worth must open the door by the stone circle.\nYou must have learnt five skills to gain entry.\nOnce within, consideration and judgement will come from the famed Mirryr itself.\n\nTwig woz ere.
BabyTaskTitle |= Baby Delivery
BabyTaskDesc |= Your baby will be delivered to your farm on <VAR2> Year <VAR1> between 7am and 7pm.\nIf not collected before 7pm they will be looked after by Pott and already in their crib.
UncleBDNoteHeading |= Birthday Present Wanted
UncleBDNoteDetails |= Hugs are great but some sort of gift might cheer up an old, aging soul. From your heavily hinting Uncle Bill.
ChickensMissingValeHeading |= Chickens missing
ChickensMissingValeDetails |= Help needed. Chickens gone missing from Testy Acres. See Worzel Scrumpy.
ChickensMissingSummerdownHeading |= Chickens missing
ChickensMissingSummerdownDetails |= Help needed. Chickens have gone missing from Homesteads. See Rose Thorn.
ChickensMissingMellowfieldHeading |= Chickens missing
ChickensMissingMellowfieldDetails |= Help needed. Chickens have gone missing from Outlane. See Frogg the Hermit.
CureIllness3 |= Craft a Food Poisoning Cure
CureIllness3Desc |= Interact with any station in the apothecary mixing room. Choose Cures Food Poisoning from the Recipe book and mix the powder. All you need to do is chop and grind!
CureIllness4 |= Give Abdo-Mend powder to Uncle Bill
CureIllness4Desc |= Take the powder to Uncle Bill and gift it. That should soothe his troubles!
Lemmy SippDay5ApothGotDew |= Ahh, just the ticket! You have both the ingredients. Nice! Now then, go to any station in the mixing room and interact with it. We'll have you quacking like the best doctors in no time!
GoodStoreTrialTaskName |= Goods Store Help
GoodStoreTrial1 |= Speak to Icabod on Day 10
GoodStoreTrial1Desc |= Go to the Goods Store in Candlewych Village at 9 am on Day 10 and speak to Icabod Moon.
GoodStoreTrial2 |= Serve customers till 1 pm
GoodStoreTrial2Desc |= Look after the customers until Icabod returns around 1pm.
Boots WintersDay5Crafted |= Nicely done! You will make a great chemist in time, I am sure. You should read the various books lying around that tell you more about Traits and Recipes. Running an apothecary can be a little trickier than other businesses, but it is very satisfying and rewarding once you get into the swing of things. The Hints & Tips section on the Pause Menu can also give additional information, as well as the varying Help screens when crafting.
Boots WintersDay5Crafted |= Now be off with you to your poorly Uncle!

FavourDelivery |= Deliver {1} x {0} to {2}
FavourGiftItems |= Give {1} x {0} to {2}
HomestoneTitle |= Discovered Homestone
HomestoneDesc |= Found status of <VAR1>
MissingTask1TaskTitle |= Rescue the missing child
MissingTask1Desc |= Go to Simplewood and make it to the last room in any depth to rescue the missing child.
MissingTask2TaskTitle |= Recover the lost sword
MissingTask2Desc |= Go to Midwood and the last room in any depth to find the lost sword.
MissingTask3TaskTitle |= Find the prize cow
MissingTask3Desc |= Go to Toughwood and make it to the last room in any depth to rescue the missing cow.
ClearWeedsTaskName |= Willowdown Farm Clearup
ClearWeeds1 |= Raise ☎9 for a Tin Sickle
ClearWeeds1Desc |= Sell items at the Selling Unit in the top left of the village Goods Store to raise money in the Goods Store of Candlewych Village. You can also use the Lemonade Stand in Festival Green to raise money.
ClearWeeds2 |= 양철 낫 구매
ClearWeeds2Desc |= 캔들위치 마을의 대장간에서 낫을 구입하세요.
ClearWeeds3 |= 농장의 잡초 제거
ClearWeeds3OnFarm |= 농장의 잡초 제거 (<VAR1> 남음)
ClearWeeds3Desc |= Clear the weeds on the farm with the Sickle. These are the ones in the little walled plot of land next to the house. Then you can recover Uncle Bill's watering can!
ThatterwayTutorial |= On the Tasks tab, highlight the Task 'Willowdown Farm Clearup' and press Set Thatterway.
ThatterwayTutorial2 |= Press <thatterway> and follow it to your destination.
BuildShedTitle |= Build a Tool Shed
BuildShedDesc |= Interact with the Customisation Table and open the Catalogue. Find the Tool Shed and place it on your plot. A pop-up will appear for you to see the resource needs. Add workers as needed and begin the build.\nA build takes hours and sometimes days to finish, so check the energy levels of your helpers. Their work rate will slow if they run out of energy.\nWhen it is finished, you will be informed and see a ribbon and scissors sign. Interact to cut the ribbon and reveal your lovely new Tool Shed!
