JournalInstructions_PAD |= <calendar> 로 달력을 엽니다.
Uncle BillDay2Followup |= (콜록콜록) 그럼 마을로 갈거지? 마을 사람들에게 친절하게 대하면 멀리 갈 수 있다. 유용한 정보를 들을수 있도록 친근하게 대하는 것도 좋단다. 아는 것이 힘이라고 하잖니! 개구리를 삼키면 인후염이 낫는다는 말도 있으니 모든 말을 믿지 말거라. 더 작은 개구리를 골랐어야 했나 봐. 어쨌든, 행운을 빈다!
Uncle BillDay2FollowupBegone |= 출발하자! (흥얼거림) 내 우유 휘젓는 소리가 모든 홉을 마당으로 데려오네...
Uncle BillDay3 |= 페스티벌 그린의 시장에서 씨앗이 좀 필요하단다. 여기 4 브라스가 있다. 아무 씨앗이나 괜찮아. 씨앗을 구하면 여기로 돌아와서 나한테 얘기하면 재배 방법을 알려주마.
Uncle BillDay2GotBucket |= 이 양동이를 다양한 용도로 사용할 수 있단다. 한번 써 보렴. 그냥 물만 저장하는 것이 아니라 다양한 것을 저장할 수 있단다.
Wanderer1Intro |= 안녕한가 젊은이. 부인이 기도중이라 여기서 쉬고 있어. 끝나면 다시 북쪽으로 향하지. 세상은 넓다, 선샤인. 내가 다시 젊어서 모든 것을 탐험할 자유가 있었으면 좋겠구나.
Wanderer2Intro |= 네가 내 축복을 방해했어. 이게 뭔지 모르니? 이건 여신상이야. 혼란스러운 표정을 보니 아직 부모님이 예배를 허락하지 않은 것 같군. 여신상은 사람들을 천국으로 이동시키는 것으로 알려져 있지만, 여신상을 목적지로 잠금 해제하려면 여신상과 상호작용을 해야 해.
TraderINTRO |= 안녕하세요 젊은이! 저는 여행하는 상인입니다. 저는 씨앗 등을 판매합니다. 저는 씨앗을 뿌리는 것을 좋아해요! 저는 계절 2일과 9일에는 마을에, 1일과 8일에는 드루이다의 교차로에 있어요. 씨앗을 싸게 살 수 있으니 꼭 저를 만나보세요!
TraderINTROSUMMERDOWN |= 안녕하세요 젊은이! 우리 이미 만난 적 있나요? 저는 여행하는 상인입니다. 각 안식처에서 다른 아이템과 함께 씨앗 등을 판매합니다. 일주일에 이틀은 이곳에서 만날 수 있어요. 여기, 정보를 알려드릴게요...
TraderINTROMELLOWFIELD |= 안녕하세요 젊은이! 우리 이미 만난 적 있나요? 저는 형제 몇 명과 함께 여행하는 상인입니다. 저는 각 안식처에서 다른 아이템과 함께 씨앗 등을 판매합니다. 일주일에 이틀은 이곳에서 만날 수 있어요. 자, 캘린더에 추가할게요...
Uncle BillDay14 |= 어서, 일어나거라! 오늘은 중요한 날이란다!
Uncle BillDay14 |= 온 베일이 환호하는, 서머타이드가 왔다! 이 멋진 날, 너에게 축복이 있기를 바라마. 
Uncle BillDay14 |= 매 10년마다 우리는 그린에 모여 사랑하는 드루이다에게 제물을 바친단다...
Uncle BillDay14 |= 어서 오렴! 우드펠로우와의 약속을 지킬 시간이란다.
Q1 |= 이제 선택을 시작할게.\n자녀에게 인생의 야망을 말해봐.
Q2V1 |= 사업이 떠올라? \n젊은이, 말해봐. 어떤 종류야?
Q2V2 |= 가족이라고? 글쎄.\n어떻게 성장하는 모습을 보고 싶어?
Q2V3 |= 설렘이 너를 간지럽히네.\n어떤 모험가가 될거야?
Q2V4 |= 너의 열정은 불처럼 타오르는구나.\n너의 욕망을 말해줘!
Q3 |= 성장시키고 싶은 유산\n기억하고 있어? 알아야해!
QuestionsComplete |= 이제 질문은 끝났어, 아주 좋아!\n페어웨더가 왜 너의 피를 좋아하는지 알겠다.\n그가 이 선물을 주었으니 꽉 쥐고 안개 낀 어느 날 밤 그의 부름을 기다려!
Q1A1 |= 사업을 운영하기
Q1A2 |= 가족을 키우기
Q1A3 |= 모험!
Q1A4 |= 운명을 따르기
Q2V1A1 |= 멋진 조합
Q2V1A2 |= 약사
Q2V1A3 |= 물품 상점
Q2V1A4 |= 대장장이
Q2V2A1 |= 열심히 공부하기
Q2V2A2 |= 즐거운 시간 보내기
Q2V2A3 |= 수익을 벌기
Q2V2A4 |= 기쁨을 전파하기
Q2V3A1 |= 숙련된 레인저
Q2V3A2 |= 지식 추구자
Q2V3A3 |= 자연 애호가
Q2V3A4 |= 보물 사냥꾼
Q2V4A1 |= 돈!
Q2V4A2 |= 명성!
Q2V4A3 |= 자유!
Q2V4A4 |= 사랑!
Q3A1 |= 나의 너그러움
Q3A2 |= 나의 기술
Q3A3 |= 내가 만든 것들
Q3A4 |= 내가 한 행동들
Day1FWT0 |= 그림자가 두렵니, 내 아이야? 아니면 그들이 너를 부르는 것이 느껴지니?
Day1FWT1 |= 가까이 다가가서 들어야해. 킨시드는 위대함을 위해 너를 선택했어.
Day1FWT2 |= 서머타이드가 사라지고 눈을 감으면 다시 말하자. 자... 정신 차려!
Day1PottT0 |= 일어나.
KynseedContract |= 킨시드를 소유함으로써 귀하는 본 계약의 조항에 동의합니다.\n킨시드를 통해 페이의 모든 것을 보고 말할 수 있으며 가족 나무를 키울 수 있습니다.\n자녀가 당신의 유산을 계승하고 나무가 성장함에 따라 당신의 힘도 커집니다.\n한 번 심으면 계약이 시작됩니다. 킨시드를 뿌리째 뽑아 성인이 된 자녀에게 물려주면, 그 자녀와 정신적으로 결합하여 혈통을 이어갈 수 있습니다.\n킨시드를 받는 대신, 50번째 출산일에 자신의 몸을 페어웨더 씨에게 기꺼이 기증하는 데 동의합니다. 킨시드를 물려받는 모든 상속인은 동일하게 행동해야 합니다.\n킨시드를 물려줄 상속인이 없는 경우, 고아를 대신할 수 있습니다.\n당신이 시한 전에 사망할 경우, 페어웨더 씨는 당신의 생명 1년을 희생하여 당신을 부활시키는 데 동의합니다.\n이 계약은 이 서류에 서명하는 즉시 구속력이 있습니다.\n킨시드의 초기 비용은 당신의 수명 5년이며, 선불로 지불해야 합니다.\n생명세는 매 인간 역년 말에 지불해야 합니다.\n페어웨더 서명
HappyBirthdayHeader |= 생일 축하해
HappyBirthdayText |= 정말 대단한 일이에요!\n이제 윌로우다운 농장은 당신의 소유가 되었습니다!\n가족을 키우고 농장을 원하는 대로 꾸밀 수 있습니다.\n먼저 농가 서쪽의 연못으로 가서 언덕 꼭대기에 페어웨더 씨가 준 킨시드를 심으세요. 진흙투성이인 장소입니다.\n그러면 이제 18세가 된 여러분은 북문 너머의 세계를 자유롭게 탐험하며 새로운 캐릭터와 모험이 기다리고 있는 수많은 세계를 발견할 수 있습니다. 그리고 밤 11시에 잠들지 않아도 됩니다!이제 봄이 왔으니 남은 생일을 만끽하고 어서 가봅시다!
Jacob CrackleAfterSummertide |= 솔직히 말씀드리자면 우드펠로우 곁에 서 있는 게 무서웠어요. 날 선택하지 않아서 다행이에요. 고대 종교의 무덤 근처에 살았던 게 영향을 미친 것 같아요. 이 말 때문에 저주받지 않았으면 좋겠어요!
Ginger NuttAfterSummertide |= 오, 내가 헤럴드였다면 얼마나 좋았을까! 하지만 어려운 선택을 한 당신을 탓하진 않아요. 여신들이 현명하게 당신을 선택했고, 당신은 흔들리지 않았으니까요. 제이콥의 이빨 빠진 미소가 그리울 거예요.
Uncle BillAfterSummertide |= <SiblingName> 은 서머타이드를 잘 받아들이지 못했지만, 다른 사람들을 자랑스럽게 해줬다. 언젠가는 다들 극복하고 그것이 자연의 순리라는 것을 깨닫게 되겠지. 그것이 우리 세상의 방식이란다. 너무 걱정하지 말거라. <SiblingName> 은 아마도 조용한 곳으로 가서 사색에 잠겼을 테지.
Uncle BillGeneral_PAD |= 씨앗을 심는 경우 빈 토양에 A를 누르고 씨앗을 선택하는 것을 잊지 마렴.
Uncle BillGeneral_PAD |= 동물들과는 어떤 상태니? 잘 대하지 않으면 약간 짜증을 낼 수 있단다. 다음에 근처에 있을 때 왼쪽 트리거를 사용해 확인해보렴...
Uncle BillGeneral_PAD |= 어디를 파야 할지 잘 모르겠다면 개가 긁어놓은 흙더미를 찾아보렴.
Uncle BillGeneral_KBM |= 씨앗을 심는 경우, 빈 흙 위에 마우스 왼쪽 버튼을 클릭한 다음 씨앗을 선택하는 것을 잊지 마렴.
Uncle BillGeneral_KBM |= 동물들과는 어떤 상태니? 동물을 잘 대하지 않으면 약간 짜증을 낼 수 있단다. 다음에 근처에 있을 때 왼쪽 컨트롤 또는 F를 눌러 확인하거나 Tab 또는 RB의 애완동물 휘파람으로 상태를 확인해보렴.
Uncle BillGeneral_KBM |= 어디를 파야 할지 잘 모르겠다면 개가 긁어놓은 흙더미를 찾아보렴.
Uncle BillGeneral |= 할 일이 없니? 그럼 가서 좀 둘러보렴. 운동이 필요하니까!
Uncle BillGeneral |= 이 젖소는 절대 우유를 주지 않지만 젖이 떨어질 때까지 계속 노력할테지!
Uncle BillGeneral |= 다 했니? 낚시를 조금 해보는 것은 언제나 좋은 일이란다. 경험이 쌓이면 정말 큰 차이를 만들 수 있으니까!
Uncle BillIll |= 얘야 (콜록), 지금 기분이 별로 안 좋구나... 좋은 허브나 뿌리가 필요해. 찾을 수 있을 것 같지 않니? 아니면 약제상이 도와줄 수 있을까? (콜록, 콜록)
TaskRewardMention |= 아침에 수령할 수 있도록 침대 머리맡에 작업비를 두고 가겠습니다.
Uncle BillTask0 |= 돼지는 정말 쉽게 좋아하니 과일이나 채소를 챙겨주되 너무 많이는 안돼!
Uncle BillTask1 |= 취침 시간은 오후 11시라는 것을 잊지 말거라. 만 18세가 넘으면 원하는 만큼 늦게까지 자도 된다!
Uncle BillTask2 |= 스니프는 고기를 좋아하는데 먹이를 줄 방법을 찾을 수 있겠니?
Uncle BillTask3 |= 저 물통 좀 정리해 주겠니? 우물에서 물을 가져와서 부어주렴. 신선한 물 없이 너무 오래 두지 말거라.
Uncle BillTask4 |= 어두워지면 오른쪽 카메라 스틱에 초점을 맞추거나 마우스 커서를 멀리 이동하여 랜턴의 초점을 맞추는 것을 잊지 말거라.
Uncle BillTask5 |= 작물이 크고 맛있게 자라도록 매일 물을 주거라.
Uncle BillTask6 |= 벌들이 꿀을 저장하고 있는 것 같구나. 난 달콤한 꿀을 좋아하거든.
Uncle BillTask7 |= 이 지역 주변에 뼈가 몇 개 묻혀 있단다. 나는 아니야! 개는 냄새를 맡는 데 최고란다.
Uncle BillTask8_PAD |= 작물이 익어 준비가 되면 수확하렴. 왼쪽 트리거를 길게 눌러 상태를 확인하거라! 낫을 사용하는 것을 잊지 말고!
Uncle BillTask8_KBM |= 작물이 익어 준비가 되면 수확하렴. 왼쪽 컨트롤 키를 길게 눌러 상태를 확인하거라! 낫을 사용하는 것을 잊지 말고!
Uncle BillTask9 |= 레시피를 만들려면 올바른 재료를 구하는 것이 중요하단다. 다행히도 우리 농장에는 재료가 가득하단다!
Uncle BillHealed |= 끄억! 이제 끝났다! 고맙구나. 너희 둘을 여기로 데려온 게 축복이 될 줄 알았어. 드루이다는 찬미받아야지.
SiblingHealed |= 빌 삼촌의 기분이 나아지도록 도와줘서 고마워.
Uncle BillIllNoHeal |= 이 병에 더 강한 것이 필요해...
Uncle BillInteract |= 돼지에게 먹이를 주고 농작물에 물을 주는 일은 세상에서 가장 흥미진진한 일은 아닐지 모르지만, 정직하고 좋은 생활이지. 정직하지 못한 돼지에게 먹이를 주는 게 아니라면 말이지. 그건 애매한 영역에 가깝단다.
Uncle BillInteract |= 나는 평생 이 농장에서 일했어. 내 삶과 영혼을 쏟아부었지. 두 사람이 물려받을 때 가족에게 물려줄 수 있다는 사실이 얼마나 기쁜지 모르겠구나.
Uncle BillInteract |= 직접 재배한 것만큼 맛있는 것은 없지. 흙에서 말이지. 사마귀를 먹고 싶지는 않겠지.
Uncle BillInteract |= 베일은 괜찮은 사람들로 가득하단다. 심지어 고양이를 키우는 아주머니도. 그녀를 방문한다면 코를 막고 싶을지도 모르지만. 집 전체가 쓰레기통이거든.
Uncle BillInteract |= 로즈 이모가 정말 그리워. 하지만 지금은 드루이다 곁에서 더 좋은 곳으로 갔지. 처음 구애를 시작했을 때부터 혼자만 간직하기엔 너무 특별한 사람이라는 걸 알았어.
Uncle BillInteract |= 농장에서 힘든 시기를 보냈던 건 사실이야. 가뭄이 닥쳤을 때는 정말 힘들었어. 메뚜기떼의 습격을 받았던 여름은 더 심했지. 하지만 서머타이드만 성공적으로 치른다면 올해는 모든 게 잘 풀릴 거라고 확신한단다.
Uncle BillInteract |= 내가 네 나이였을 때가 기억난다. 여신에 대한 이야기는 별로 신경 쓰지 않았지. 그러던 어느 날 신상 중 하나에 제물을 바쳤는데 바로 그날 브라스 동전을 발견했지. 전날 잃어버렸던 동전이었지만 여전히 소중했어.
Uncle BillInteract |= 네가 로즈 이모의 요리를 먹어보지 못해서 정말 아쉽구나. 그녀가 순무로 할 수 있는 요리들 말이야. 먹을 수 있을 때까지 익히는 것 같은 거!
Uncle BillInteract |= 나는 예전에 꽤나 솜씨좋은 낚시꾼이었어. 내 전문 분야는 오팔 잉어였지. 정말 까다로운 녀석이었어. 물론 그 당시에는 주변에 더 많지. 내가 너무 많이 잡았나 보구나, 하하!
Uncle BillInteract |= 퀼은 베일보다 훨씬 더 큰 곳이야. 운이 좋으면 언젠가 직접 볼 수 있을 거야. 나와 로즈 이모는 항상 여행을 계획하고 있었지만 농장을 오래 떠날 여유가 없었지.
Uncle BillInteract |= 루시 애로우스를 만나봤니? 어떤 사람들은 그녀가 좀 재밌는 사람이라고 생각하지, 과거를 들춰보는 것 때문에. 마치 그때는 모든 것이 달랐던 것처럼! 하지만 누구나 취미가 필요하지.
Uncle BillInteract |= 농장 북쪽의 그 친구. 이름이 트위그야 낚시에 대해선 좀 아는 친구야 내가 직접 가르쳐주고 싶지만 요령이 없어졌어. 좀 이상해 보이지만 무해한 놈이야.
Uncle BillInteract |= 로즈 이모를 마지막으로 본 게 서머타이드였으니 나한테는 아주 특별한 날이야. 어떤 면에서는 이모를 기리는 날이기도 하지.
Uncle BillInteract |= 내 부모님은 나보다 먼저, 그 부모님은 그보다 먼저 이 땅에서 농사를 지으셨고, 대대로 이어져 내려왔단다. 태초부터 이곳에서 시작되었고 마지막까지 계속될 거야.
Uncle BillInteract |= 가끔은 두 아이를 여기로 데려온 게 잘한 일인지 의문이 들 때가 있어. 하지만 뭔가 말해주는 게 있었어. 드루이다 자신이었을지도 모르지.
Uncle BillInteractIll |= (콜록) 나를 사로잡은 벌레를 떨쳐버릴 수가 없구나. 약국에서 회복 약초를 찾을 수 있겠니?
Uncle BillInteractIll |= 오늘은 죽음 그 자체인 것 같은 기분이구나(콜록). 죽음은 기침이 심하고 온몸이 메스꺼운 느낌이 든다고 가정해 보렴. 불쾌한 기운을 쫓아낼 수 있는 천연 비약 (콜록, 콜록) 이 있다면 정말 좋을 것 같구나.
Uncle BillInteractIll |= (콜록) 아직도 이 불가사의한 병에 활력을 주는 강장제가 없니? 한발 한발 드루이다가 내게 등을 돌리는거 같구나.
Uncle BillInteractIll |= (콜록, 콜록) 이 지루한 병과 함께 사는 법을 배워야 할 것 같구나...
SiblingInteract |= 내가 꾼 꿈에 대해 듣고 싶어? 지금은 좀 흐릿하지만 숲 속을 걷고 있었는데 어떤 목소리가 계속 나에게 말을 걸었어. 내가 영원히 살 거라고 말했던 것 같아. 이상하지 않아?
SiblingInteract |= 길을 헤매다가 어두워지면 집 밖에 여분의 랜턴이 있으니 미처 찾지 못했다면 미리 준비해둬. 빛을 집중시킬 수도 있어! 우리가 현대적인 세상에 살고있지?
SiblingInteract |= 농장에서 일하는 것도 나쁘지 않지만 돼지 우리에 들어가는 건 절대 안 돼. 그건 네 일이고 우린 바꾸지 않을 거야!
SiblingInteract |= 빌 삼촌을 돕게 되어 기분이 좋아. 농장이 삼촌에게 너무 많은 일이 된 것 같아. 저렇게 늙지 않았으면 좋겠어!
SiblingInteract |= 마을의 아이들은 루시 애로우즈가 마녀라고 말하지만, 진짜 마녀가 아니야. 그들은 단지 너무 똑똑한 사람을 좋아하지 않을 뿐이지. 이건 그들이 너를 많이 좋아할 것이라는 것을 뜻하지! 하하!
SiblingInteract |= 슈가 그리운 적이 있어? 벌써 한참 전 일처럼 느껴지지만 가끔은 우리가 여전히 그곳에 있다고 생각하며 깨어나. 그러면 누군가의 발이 내 눈에 박혀 있지 않다는 것을 깨닫고 내가 여기 있다는 것을 기억해!
SiblingInteract |= 페스티벌 그린에 있는 커다란 나무인간을 봤어? 그게 뭔지 궁금하지? 거대한 아기가 인형을 떨어뜨린 것 같아.
SiblingInteract |= 가끔 빌 삼촌이 슬퍼 보이는 게 보여. 로즈 고모를 기억하는 것 같아 이모랑 친해졌으면 좋았을 텐데, 안 그래?
SiblingInteract |= 나만의 베일 지도를 만들고 있지만 새로운 곳을 방문하고 싶어. 저 밖에 또 뭐가 있을지 누가 알겠어? 퀼은 정말 큰 곳이야!
SiblingInteract |= 서머타이드에 대해 잘 모르겠어. 어젯밤에 또 이상한 꿈을 꿨어. 축제 때였는데 마을 사람들이 모두 이상하게 행동했어. 그냥 악몽이었나 봐.
SiblingInteract |= 빌 삼촌이 왜 우리를 여기로 데려왔다고 생각해? 그냥 운이었을까? 우리가 쌍둥이라서? 아니면 빌 삼촌도 모르는 다른 일이 있는 걸까?
SiblingInteract |= 농장을 떠날 수 있을 만큼 나이가 들 때까지 기다릴 수 없어. 탐험할 곳과 할 수 있는 일들을 계속 꿈꾸고 있어. 하지만 지금은 아직 여기 갇혀 있는 것 같아.
SiblingInteractAfterNorthGate |= 원한다면 평생 농부로 살 수도 있어. 하지만 나는 아니야.
SiblingInteractAfterNorthGate |= 베일은 정말 멍청한 곳이야. 언젠가 도망칠 거야, 너도 보게 되겠지. 원하면 함께해도 돼.
SiblingInteractAfterNorthGate |= 드디어 여름철 쓰레기의 정체를 알 수 있게 되었네. 마을 아줌마들이 과일을 터질 때까지 먹는 거겠지. 하지만 어젯밤에 꾼 꿈과 비슷하다면...
NPCRidingPigReaction |= 그거 조심하세요
NPCRidingPigReaction |= 돼지 타기 숙련도 시험을 통과하셨나요?
NPCRidingPigReaction |= 조심해서 타세요!
NPCRidingPigReaction |= 저 돼지가 나는 걸 좀 보세요!
NPCRidingPigReaction |= 빨리 가!
NPCRidingPigReaction |= 돼지에게 후추 냄새가 난다
NPCRidingPigReaction |= 와, 저기!
NPCRidingPigReaction |= 쫀득쫀득한 베이컨!
NPCRidingSheepReaction |= 조심하세요! 부딪히지 마세요!
NPCRidingSheepReaction |= 양 타기 숙련도 시험을 통과하셨나요?
NPCRidingSheepReaction |= 조심해서 타세요!
NPCRidingSheepReaction |= 저 양들 좀 보세요!
NPCRidingSheepReaction |= 나아아아쁜!
NPCRidingSheepReaction |= 민트야!
NPCRidingSheepReaction |= 와, 저기!
NPCRidingSheepReaction |= 절단 속도!
Uncle BillNowHoldUpFish |= 물고기가 있는 것 같으니 물고기가 할당된 슬롯의 버튼을 눌러 물고기를 들어 올리렴.
AnimalCurseTrumpet |= ****
TraderSoldItem |= 탁월한 선택입니다(곰팡이를 무시한다면)!
TraderSoldItem |= 후회하지 않을 거예요(적어도 제가 멀리 떠날 때까지는요... 커흠)!
TraderSoldItem |= 이걸 여러분에게 전달하게 되어 기쁩니다!
PottDay1 |= 안녕, 꿈꾸는 자여.\n내 이름은 포트야, 재미있게 놀자.\n내게 특별한 임무가 주어졌고,\n몇 가지 흥미로운 질문을 해야 해!
PottDay1 |= 씩씩한 얼굴로 문을 열고 들어가,\n아주 특별한 곳으로 들어가.\n내가 너를 만나 몇 가지 선택권을 줄 테니,\n내면의 목소리에 귀를 기울여줘.
PottDay1 |= 아이야, 이제 가자 우울해하지 말고,\n앞으로 다가올 숲을 찾아가자,\n그러고 나서 깨어나면 우리는 헤어져야 해\n너의 마음속에 진실이 있을거야.
Uncle BillNoQueries |= 오늘은 더 이상 질문이 없구나...
ToiletNoise |= <anim_wave>*Parp*
ToiletNoise |= <anim_wave>*Toot*
ToiletNoise |= <anim_wave>*Barooom*
ToiletNoise |= <anim_wave>*Frrrp*
ToiletNoise |= <anim_wave>*Honk*
MarketSeller |= 여기서 상품을 구매하세요!
MarketSeller |= 신성한 상품이 여기 있습니다!
RemTitleThattaway |= 새터웨이
BottleContentContainsHONEY |= 꿀을 담았습니다.
BottleContentContainsMILK |= 우유를 담았습니다.
BottleContentContainsWATER |= 물을 담았습니다.
BottleContentContainsPIGPOOP |= 돼지똥을 담았습니다.
BottleContentContainsSHEEPPOOP |= 양똥을 담았습니다.
BottleContentContainsYUM |= 얌을 담았습니다.
BottleContentContainsEMPTY |= 텅 빔
BottleContentContainsBUMPA_MILK |=범파 우유를 담았습니다.
BottleContentContainsCLEANSING_WATER |= 깨끗한 물을 담았습니다.
BottleContentContainsBLESSED_WATER |= 축복받은 물을 담았습니다.
BottleContentHONEY |= 꿀
BottleContentMILK |= 우유
BottleContentWATER |= 물
BottleContentPIGPOOP |= 돼지똥
BottleContentSHEEPPOOP |= 양똥
BottleContentYUM |= 얌
BottleContentEMPTY |= 텅 빔
BottleContentBUMPA_MILK |= 범파 우유
BottleContentCLEANSING_WATER |= 깨끗한 물
BottleContentBLESSED_WATER |= 축복받은 물
CalendarEventInAllHavens |= 올 헤이븐스
FarmingSignpost_PAD |= 왼쪽 트리거를 눌러 작물 상태를 확인합니다. A를 눌러 빈 밭에 씨앗을 심습니다!
FarmingSignpost_KBM |= 왼쪽 트리거를 눌러 작물 상태를 확인합니다. E를 눌러 빈 밭에 씨앗을 심습니다!
MapstoneInstructions |= 레벨의 모든 지도석을 발견하면 마법처럼 전체 지역의 이미지를 획득할 수 있습니다.
QualityConditionTutorial |= 품질 조건
QualityConditionInstructions |= 여름에 민들레를 수집하는 것처럼 수집하는 일부 아이템에는 별 등급을 높이는 품질 조건이 있습니다. 품질 조건이 활성화되어 있을 때 아이템을 획득하면 인벤토리의 속담 항목에 추가됩니다. 여신의 축복과 같이 5성 아이템을 더 쉽게 획득할 수 있는 보너스도 있습니다.
AnimalMoodTutorial |= 애완동물 먹이주기
AnimalMoodInstructions |= 동물에게 먹이를 주면 포만감이 생기고 기분이 좋아집니다. 동물의 기분이 좋지 않으면 따라오지 않거나 돼지의 경우 안아달라는 등의 행동을 고집스럽게 거부할 수 있습니다. 반려동물은 먹이가 부족해서 죽지는 않지만 배가 고프면 기분이 나빠질 수 있습니다. 반려동물이 좋아하는 것을 보려면 아이템의 녹색 원 표시를 확인하세요. 기분이 더 좋아질 수 있습니다!
MoonINTRO |= 아, 묘목! 헌터스 블러프에 온 것을 환영한다. 조용한 곳을 찾아주어서 영광이네. 내 이름은 문이고 궁술 마스터입지. 마스터로서 나는 미리어를 들여다보고 여신의 축복을 받았으니 안심해도된다. 내 역할은 활과 화살의 우아함을 배우고자 하는 이들을 가르치는 것이지.
MoonINTRO |= 네 잠재력을 증명해야 먹잇감의 심장을 꿰뚫는 데 필요한 훈련을 해줄 수 있어. 서쪽 연못으로 가서 매달려 있는 과녁을 맞혀라. 새총을 추천하지. 목표물을 맞추면 더 많은 목표물이 나타난다. 75점 이상을 획득한 후 내게 돌아와. 내면의 눈이 너를 인도하길 바란다.
MoonTARGETHIT |= 점수를 잘 획득했군! 언젠가 네 화살은 합창처럼 공중에서 노래 할거다. 우선, 모든 궁수에게는 활이 필요하니 여기 너의 활이 있다! 이제 방금 명중시킨 과녁을 지나 드룬힐 서쪽 언덕 아래 무덤에서 다시 만나지. 그곳에서 활이 어떻게 전략적인 전투 옵션을 여는 데 도움이 되는지 보여주마.
MoonBARROW |= 아, 여기 있군. 사냥꾼의 길을 가르쳐 주지.
MoonCOMBAT_ITEMS |= 자, 받아. 네 시작을 도울 선물이야. 무언가 더 필요하다면 약제상이 도움이 될거야. 아니면 네가 스스로 만들어도 되고.
JogonCOMBAT_ITEMS |= 미래에, 내가 너에게 기술을 알려줄 수 있겠지, 그렇지만 지금은 너에게 도움이 될 전투 아이템을 줄게. 약제상에서 사온거야. 아니면 네가 만들줄 안다면 만들어도 좋고.
Toby JuggINTRO |= 반갑네! 윌로우다운 쌍둥이 중 한명이지, 그렇지? 내 여관에서 일하기에 어려서 아쉽구나. 미성년자에게 술을 팔지 않지만 광부에게는 팔지! 어찌돼었든간, 지금은 내 딸인 멜라니가 여관을 운영하고 있어. 나보다 일머리가 잘 돌아가는 모양이야.
Melanie JuggINTRO |= 베일에 온걸 환영해. 나는 마을 펍인 플레일링 암스의 주인이고, 내 아버지 토비가 돌아다니는 걸 봤을거야. 술은 못 주지만 언제든 와. 퀼 전체에서 가장 좋은 술이 있으니까.
Boots WintersINTRO |= 아, 어서 오세요, 어서 오세요! 무지한 사람들이 가끔 걸리는 저주와 질병의 또 다른 잠재적 희생자여. 우리는 베일에서 최고지요... 그으으으리고 베일에서 유일무이하죠.
