CONTEXTDIALOGUE_SPOUSE_WEALTH_POOR |= 돈이 더 많았으면 좋겠어.
CONTEXTDIALOGUE_SPOUSE_GENERAL |= 그냥 하늘을 바라보고...
CONTEXTDIALOGUE_SPOUSE_GENERAL |= 긴장을 풀 수 있어서 좋아.
CONTEXTDIALOGUE_SPOUSE_GENERAL |= 여신의 축복, 바람의 애무, 휴식과 잠, 나무처럼 튼튼하네.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LOVE |= 당신, 바빠 보이네.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LOVE |= 당신을 정말 사랑해.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LOVE |= 당신을 보면 가슴이 설레.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LOVE |= 네가 지나가면 내 심장이 한 박자 건너뛰어.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LOVE |= 너는 나에게 세상을 의미해.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LOVE |= 안녕, 내 사랑.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LOVE |= 내 사랑하는 사람이 지나가네.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LOVE |= 행복하길 바라, 내 사랑.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LOVE |= 사랑해!
CONTEXTDIALOGUE_SPOUSE_GENERAL_LOVE |= 드루이다가 당신을 축복할거야, 내 사랑.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LOVE |= 여신이 당신을 축복하길, 내 사랑.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LOVE |= 와아아!
CONTEXTDIALOGUE_SPOUSE_GENERAL_LOVE |= 안녕, 내 사랑.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LOVE |= 안녕, 자기.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LOVE |= 조심해.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LIKE |= 언젠가 다시 불을 붙일 수 있기를 바라.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LIKE |= 좋은 하루 보내.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LIKE |= 네가 잘 지내길 바라.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LIKE |= 지금 뭐 해?
CONTEXTDIALOGUE_SPOUSE_GENERAL_LIKE |= 반가워.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LIKE |= 긍정적으로 생각하자.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LIKE |= 조금 더 로맨틱해도 나쁘지 않아.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LIKE |= 안녕.
CONTEXTDIALOGUE_SPOUSE_GENERAL_FRIENDLY |= 사랑이 언젠가 돌아올지도 몰라.
CONTEXTDIALOGUE_SPOUSE_GENERAL_FRIENDLY |= 조심해야해.
CONTEXTDIALOGUE_SPOUSE_GENERAL_FRIENDLY |= 친구가 있어서 좋아.
CONTEXTDIALOGUE_SPOUSE_GENERAL_FRIENDLY |= 예전처럼 돌아갔으면 좋겠어.
CONTEXTDIALOGUE_SPOUSE_GENERAL_FRIENDLY |= 난 여전히 마음속 깊이 당신을 사랑해, 알지?
CONTEXTDIALOGUE_SPOUSE_GENERAL_FRIENDLY |= 잘 지내?
CONTEXTDIALOGUE_SPOUSE_GENERAL_FRIENDLY |= 더 노력해줘.
CONTEXTDIALOGUE_SPOUSE_GENERAL_NEUTRAL |= 괜찮아?
CONTEXTDIALOGUE_SPOUSE_GENERAL_NEUTRAL |= 오, 또 너구나.
CONTEXTDIALOGUE_SPOUSE_GENERAL_NEUTRAL |= 그렇구나, 물어봐 주어서 고마워.
CONTEXTDIALOGUE_SPOUSE_GENERAL_NEUTRAL |= 사랑이 사라진 후에도 어떻게 계속할 수 있을까?
CONTEXTDIALOGUE_SPOUSE_GENERAL_NEUTRAL |= 흠흠.
CONTEXTDIALOGUE_SPOUSE_GENERAL_NEUTRAL |= 오, 네가구나.
CONTEXTDIALOGUE_SPOUSE_GENERAL_NEUTRAL |= 일어나서 뭐라도 하고 있길 바라.
CONTEXTDIALOGUE_SPOUSE_GENERAL_NEUTRAL |= 아 네가네.
CONTEXTDIALOGUE_SPOUSE_GENERAL_DISLIKE |= 으으윽.
CONTEXTDIALOGUE_SPOUSE_GENERAL_DISLIKE |= 당신 얼굴이 더 어두웠으면 좋겠어.
CONTEXTDIALOGUE_SPOUSE_GENERAL_DISLIKE |= 날 좀 내버려둬.
CONTEXTDIALOGUE_SPOUSE_GENERAL_DISLIKE |= 나한테 말 걸지 마.
CONTEXTDIALOGUE_SPOUSE_GENERAL_DISLIKE |= 다시 돌아왔어? 안타깝네.
CONTEXTDIALOGUE_SPOUSE_GENERAL_DISLIKE |= 터프우드에 가서 잡아먹히면 안 돼?
CONTEXTDIALOGUE_SPOUSE_GENERAL_DISLIKE |= 소똥 위의 파리처럼 맴돌고 있는거야?
CONTEXTDIALOGUE_SPOUSE_GENERAL_DISLIKE |= 으흠흠.
CONTEXTDIALOGUE_SPOUSE_GENERAL_DISLIKE |= 멍청이를 찾은 것 같아. 너말야!
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_FARMING |= 그냥 다정하게 돌보는 중이야.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_FARMING |= 상황을 설명하기 위해 작물에 대해 이야기하고 있다는 걸 알려줄게.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_FARMING |= 사랑스러운 자라고있어.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_FARMING |= 여긴 흙이 너무 갈색이야.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_FARMING |= 사랑과 정성으로 가꾼 작물이라 헐벗지 않았어.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_FARMING |= 여름이 다가오고 있어, 뻐꾸기를 크게 불러보자.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_FARMING |= 낫과 괭이로 밀을 키워봐.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_PETS |= 오, 털 좀 봐!
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_PETS |= 너 정말 부드럽구나.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_PETS |= 배고프니?
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_PETS |= 깃털처럼 부드러운 쓰다듬기...
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_PETS |= 너무 귀엽다!
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_PETS |= 넌 정말 작은구나.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_PETS |= 정말 충성스러워!
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_GET_HONEY |= 안녕 꿀벌 씨, 꿀 좀 줄래?
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_GET_HONEY |= 꿀은 정말 달콤해.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_GET_HONEY |= 너무 끈적끈적해!
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_GET_HONEY |= 항아리를 채우면 멀리 갈 수 있어.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_GET_HONEY |= 달콤한 꿀을 모으는 중이야, 내 친구들.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_GET_HONEY |= 저리가!
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_GET_HONEY |= 방금 벌에 쏘였어... 10 브라스를 때문에!
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_GET_HONEY |= 벌집에 직접 들어가봐.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_RELAX |= 좋네.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_RELAX |= 이보다 더 좋은 휴식은 없지.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_RELAX |= 혼자만의 시간이 좋아.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_RELAX |= 아, 멋지고 편안해.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_RELAX |= 혼자서 생각에 잠기는 게 좋아.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_RELAX |= 그냥 하늘을 바라보고...
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_RELAX |= 긴장을 풀 수 있어서 좋아.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_RELAX |= 여신의 축복, 바람의 애무, 휴식과 잠, 나무처럼 튼튼하네.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_COOK |= 이번 일이 잘 해결되길 바라..
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_COOK |= 텀 디 텀 디 텀.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_COOK |= 흠, 냄새가 좋네.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_COOK |= 냄새가 좋아.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_COOK |= 잘 저어줘.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_COOK |= 거품이 잘 올라오고 있어.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_COOK |= 냄비 좀 봐!
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_COOK |= 나 미쳐버릴 것 같아.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_COOK |= 맛있어 보여. 냄새는 잘 모르겠어.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_COOK |= 맛있어!
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_COOK |= 오, 거품기와 숟가락, 달을 기쁘게 해 주세요... 라라라.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_COOK |= 오, 토끼 아저씨, 내 저장고가 텅텅 비었어.
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_GOOD |= 오, 축하해!
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_GOOD |= 두 사람의 결합에 여신을 찬양하라!
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_GOOD |= 두 사람의 결합에 행복이 깃들기를.
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_GOOD |= 결혼했구나? 잘했어!
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_GOOD |= 사랑의 정신이 두 사람에게 깃들었구나.
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_GOOD |= 사랑스러운 결혼식 날을 보냈길 바라.
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_GOOD |= 두 사람의 결혼 생활에 드루이다의 축복이 함께하길 빌어.
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_GOOD |= 축하해!
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_NEUTRAL |= 이제 막 결혼한거야?
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_NEUTRAL |= 축하해.
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_NEUTRAL |= 방금 결혼했다고 들었어. 행복해.
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_NEUTRAL |= 결혼 생활이 잘 되길 바랄게.
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_NEUTRAL |= 결혼생활이 잘 되길 바라.
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_NEUTRAL |= 오, 결혼했구나?
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_BAD |= 내가 너와 결혼하지 않아서 다행이야!
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_BAD |= 배우자는 운이 나쁘네!
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_BAD |= 어우. 누가 너와 결혼하겠어?
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_BAD |= 너의 결혼 생활에 불운이 있기를!
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_BAD |= 하! 오래가지 못할 거야!
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_BAD |= 너랑 결혼할 사람이 있다는 게 충격이야.
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_BAD |= 네 결혼에 저주를 내리겠어!
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_BAD |= 난 신경 안써!
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_BAD |= 축하? 아니, 싫어.
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_BAD |= 결혼했어? 그래서 뭐?
CONTEXTDIALOGUE_GENERAL_MARRIED_GOOD_POSITIVE |= 아직도 결혼해서 행복하게 지내고 있는 것 같네!
CONTEXTDIALOGUE_GENERAL_MARRIED_GOOD_POSITIVE |= 좋은 결혼 생활의 비결이 뭐야?
CONTEXTDIALOGUE_GENERAL_MARRIED_GOOD_POSITIVE |= 여전히 배우자와 잘 지내고 있지?
CONTEXTDIALOGUE_GENERAL_MARRIED_GOOD_POSITIVE |= 길고 행복한 결혼 생활인 것 같네!
CONTEXTDIALOGUE_GENERAL_MARRIED_GOOD_POSITIVE |= 나도 너처럼 행복한 결혼생활을 보네면 좋겠어.
CONTEXTDIALOGUE_GENERAL_MARRIED_GOOD_POSITIVE |= 관계는 여전히 좋아?
CONTEXTDIALOGUE_GENERAL_MARRIED_GOOD_POSITIVE |= 둘 다 행복해 보여서 기뻐.
CONTEXTDIALOGUE_GENERAL_MARRIED_GOOD_NEGATIVE |= 행복해 보여서 슬프네!
CONTEXTDIALOGUE_GENERAL_MARRIED_GOOD_NEGATIVE |= 오래가지 못할 거야!
CONTEXTDIALOGUE_GENERAL_MARRIED_GOOD_NEGATIVE |= 행복한 결혼은 바보들을 위한 거야.
CONTEXTDIALOGUE_GENERAL_MARRIED_GOOD_NEGATIVE |= 아.. 불행히도 여전히 행복한 결혼생활이군.
CONTEXTDIALOGUE_GENERAL_MARRIED_GOOD_NEGATIVE |= 배우자가 왜 아직 너와 함께 있는지 모르겠어.
CONTEXTDIALOGUE_GENERAL_MARRIED_GOOD_NEGATIVE |= 배우자는 너를 어떻게 참아 주지?
CONTEXTDIALOGUE_GENERAL_MARRIED_GOOD_NEGATIVE |= 배우자가 장님에 멍청한가?
CONTEXTDIALOGUE_GENERAL_MARRIED_GOOD_NEGATIVE |= 어떻게 배우자가 너의 냄새를 맡고 떠지 않을 수 있지?
CONTEXTDIALOGUE_GENERAL_MARRIED_BAD_POSITIVE |= 둘 다 힘들어하는 모습이 안쓰러워.
CONTEXTDIALOGUE_GENERAL_MARRIED_BAD_POSITIVE |= 둘 다 더 오래 행복할 줄 알았는데.
CONTEXTDIALOGUE_GENERAL_MARRIED_BAD_POSITIVE |= 배우자와 이야기를 나누어봐야 해.
CONTEXTDIALOGUE_GENERAL_MARRIED_BAD_POSITIVE |= 부디 결혼 생활을 치유하기를.
CONTEXTDIALOGUE_GENERAL_MARRIED_BAD_POSITIVE |= 너의 행복을 위해 이혼하거나 잘못된 부분을 고쳐야해!
CONTEXTDIALOGUE_GENERAL_MARRIED_BAD_POSITIVE |= 결혼 생활이 잘 안 풀려?
CONTEXTDIALOGUE_GENERAL_MARRIED_BAD_POSITIVE |= 사랑 생활이 잘 안 풀린다니 유감이야.
CONTEXTDIALOGUE_GENERAL_MARRIED_BAD_POSITIVE |= 결혼의 행복이 일몰을 맞이했나보지?
CONTEXTDIALOGUE_GENERAL_MARRIED_BAD_NEGATIVE |= 결혼 생활이 나빠? 하하!
CONTEXTDIALOGUE_GENERAL_MARRIED_BAD_NEGATIVE |= 오래가지 못할 줄 알았어.
CONTEXTDIALOGUE_GENERAL_MARRIED_BAD_NEGATIVE |= 배우자가 드디어 눈을 떴군.
CONTEXTDIALOGUE_GENERAL_MARRIED_BAD_NEGATIVE |= 이혼하고 물고기와 결혼해야겠어.
CONTEXTDIALOGUE_GENERAL_MARRIED_BAD_NEGATIVE |= 슬퍼하는 모습을 보니 기쁘네.
CONTEXTDIALOGUE_GENERAL_MARRIED_BAD_NEGATIVE |= 이보다 더 나쁜 일이 있을 순 없지.
CONTEXTDIALOGUE_GENERAL_MARRIED_BAD_NEGATIVE |= 위태로운 관계군, 그렇지?
CONTEXTDIALOGUE_GENERAL_MARRIED_BAD_NEGATIVE |= 배우자가 드디어 눈을 떴구나!
CONTEXTDIALOGUE_GENERAL_MARRIED_BAD_NEGATIVE |= 너의 사랑 전선이 고통받는 걸 보니 안타깝네. 실은 즐거워.
CONTEXTDIALOGUE_GENERAL_WEATHER_RAINING |= 또 비가 와!
CONTEXTDIALOGUE_GENERAL_WEATHER_RAINING |= 아, 비가 오네. 씻어야겠어.
CONTEXTDIALOGUE_GENERAL_WEATHER_RAINING |= 아이 웁! 비가 오네!
CONTEXTDIALOGUE_GENERAL_WEATHER_RAINING |= 비가 그쳤어.
CONTEXTDIALOGUE_GENERAL_WEATHER_RAINING |= 온몸을 적시는 안개비야.
CONTEXTDIALOGUE_GENERAL_WEATHER_RAINING |= 침을 뱉고 있어!
CONTEXTDIALOGUE_GENERAL_WEATHER_RAINING |= 약간의 비는 아무도 다치지 않아. 마녀만 빼고.
CONTEXTDIALOGUE_GENERAL_WEATHER_SNOWING |= 약간의 눈은 아무도 다치지 않아. 눈에 알레르기가 있는 마녀만 빼고.
CONTEXTDIALOGUE_GENERAL_WEATHER_SNOWING |= 눈 장난!
CONTEXTDIALOGUE_GENERAL_WEATHER_SNOWING |= 내 사마귀처럼 모든 눈 조각은 독특해.
CONTEXTDIALOGUE_GENERAL_WEATHER_SNOWING |= 아, 코끝에 눈이 따끔거려.
CONTEXTDIALOGUE_GENERAL_WEATHER_SNOWING |= 눈이 내리고 있어. 뻔한 맛 문자!
CONTEXTDIALOGUE_GENERAL_WEATHER_SNOWING |= 눈송이는 내 비듬과 같아.
CONTEXTDIALOGUE_GENERAL_WEATHER_SNOWING |= 눈송이가 참 많네.
CONTEXTDIALOGUE_GENERAL_WEATHER_SNOWING |= 눈보라 속에서 난로 옆에 앉아야겠어.
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= 비료가 보이지 않아.
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= 내 차례에 안개가 끼네!
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= 진짜 부추 수프야.
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= 누가 거기 가?
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= 내가 여기 제대로 온 거 맞아?
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= 밖이 꽤 어둡네!
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= 아무것도 안 보여.
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= 경적을 울려야겠어.
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= 안개 씨, 저리 가!
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= 클레그를 찾기엔 안개가 자욱해.
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= 사라졌지만 안개가 사라지지는 않았어.
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= 용의 숨결!
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= 이 안개 속에서 자신을 조심해!
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= 발밑을 조심해!
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= 오로르의 방귀가 뿌옇게 흐려져!
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= 으스스하네.
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= 안개가 등골을 오싹하게 하네.
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= 목수는 좋은 안개를 좋아하지.
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= 스티븐은 안개의 왕이었.
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= 안개야 꺼져라!
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= 양말에 불이 붙은 것 같아.
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= 두통이 심해.
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= 방금 내가 무슨 혼잣말을 했지?
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= 이 안개는 내가 느끼는 만큼 짙어.
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= 내가 어느 쪽으로 가고 있었지?
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= 네가 아는 것보다 더 많이 잊어버렸어.
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= 나는 또 누구지?
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= 저기 봐! 저건... 어... 무슨 모양이야?
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= 나만 그런 거야, 아니면 오늘 다들 멍청한 거야?
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= 오늘은 말의 마음을 사로잡을 수 있을 것 같아.
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= 안개 속에서는 아무것도 보이지 않아. 생각도 잘 안 돼.
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= 방금 방정식을 생각해냈어. 도룡뇽의 일종인 것 같아.
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= 머리에 끈으로 못을 박지 않았다면 내 머리를 잊어버렸을 거야.
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= 머리가 텅 빈 것처럼 느껴져.
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= 내가 왜 이 길을 걷고 있었지?
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= 이런, 속옷을 거꾸로 입었네.
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= 뭐... 그게... 음... 뭐야?
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= 오늘은 내 머릿속을 들여다보지 않을 거야. 거기엔 아무것도 없어.
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= 이 짙은 안개가 뇌를 흠뻑 적시는군.
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= 내가 멍청한 건가, 아니면 그냥 멍청한 건가?
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= 2 더하기 2는 22가 되는 게 당연하지.
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= 이 안개는 나만큼이나 짙어.
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= 나는 오늘 기꺼이 밀짚 망치를 살 거야.
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= 내 아이큐는 약 14 정도인데, 아이큐가 뭔지 모르겠어.
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= 오늘 누가 내 뇌를 가지고 떠났나?
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= 7로 시작하는 모든 단어의 철자를 맞출 수 있어.
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= 방금 화장실 가는 걸 잊은 것 같아.
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= 사람이 이 안에서 길을 잃을 수 있어, 어, 개구리? 포브?
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= 지금은 장어의 귀를 매료시킬 수 없어.
CONTEXTDIALOGUE_GENERAL_ANIMAL_RIDING_PIG |= 저거 조심해.
