Pickup_Kynseed |= 킨시드
Pickup_55 |= 걸쭉한 그림(Grimm)
Pickup_Description_55 |= 사람들은 그 역겨운 맛에 대해 이야기합니다.
Pickup_56 |= 청어 사용법
Pickup_Description_56 |= 매장 직원의 만족도를 높이고 싶으신가요? \n 음식에 청어를 넣어주세요.
Pickup_57 |= 장어 사용법
Pickup_Description_57 |= 장어는 매끄럽고 매우 미끄럽습니다.\n 하지만 장어를 먹으면 약해질 수 있습니다.
Pickup_58 |= 창꼬치 위치 1
Pickup_Description_58 |= 흔히 볼 수 있는 창꼬치는 정말 스릴이 넘칩니다.\n퀼 전역의 강에서 잡혔습니다.
Pickup_59 |= 창꼬치 위치 2
Pickup_Description_59 |= 해가 뜨거나 해가 질 때,\n 그물 안에서 창꼬치를 잡기.
Pickup_60 |= 창꼬치 사용법
Pickup_Description_60 |= 창꼬치 고기는 파이에 넣어 먹으면 맛도 좋고,\n 눈도 좋아집니다.
Pickup_61 |= 폰드러커 위치 1
Pickup_Description_61 |= 베일의 연못에서,\n 폰드러커가 꼬리를 흔듭니다.
Pickup_63 |= 청어 위치 1
Pickup_Description_63 |= 청어는 항상 자신의 위치를 알고 있으며,\n 멜로우필드의 연못에서는 얼굴을 드러냅니다.
Pickup_64 |= 휘슬뿌리
Pickup_Description_64 |= 나이트 스토커.
Pickup_68 |= 꿀
Pickup_Description_68 |= 벌통은 안 줄 거에요.
Pickup_69 |= 토마토
Pickup_Description_69 |= 유 세이 토마토, 아 세이 토마토. 적을 때도 토마토입니다.
Pickup_72 |= 폰드러커 위치 2
Pickup_Description_72 |= 폰드러커는 태양을 좋아합니다.\n 빛 속에 숨어 있는 것이 훨씬 더 재미있습니다.
Pickup_73 |= 청어 위치 2
Pickup_Description_73 |= 청어는 호기심이 많은 동물입니다.\n 봄에는 절대 볼 수 없습니다.
Pickup_74 |= 오브
Pickup_Description_74 |= 엘드리치 구슬.
Pickup_75 |= 레인스틱
Pickup_Description_75 |= 흔들어서 만들어 보세요.
Pickup_76 |= 마법의 콩
Pickup_Description_76 |= 당신을 상상도 못한 높은 곳으로 데려갈 수 있습니다.
Pickup_77 |= 바벨 위치 1
Pickup_Description_77 |= 바벨의 무게가 꽤 나가므로,\n 깊은 강에서도 잡을 수 있습니다.
Pickup_78 |= 바벨 위치 2
Pickup_Description_78 |= 해가 지고 나면,\n 바벨이 먹이를 먹는 것 같습니다.
Pickup_79 |= 바벨 사용법
Pickup_Description_79 |= 바벨은 머리를 멍하게 하지만\n 강한 마음을 가지고 용감하게 만듭니다.
Pickup_80 |= 빗물고기 위치 1
Pickup_Description_80 |= 미꾸라지는 언제나 낡은 연못에서\n 한가로이 잠을 자는 것을 좋아합니다.
Pickup_81 |= 장어 위치 1
Pickup_Description_81 |= 장어는 길고 떠는 것처럼 보이며,\n 어느 강에서나 장어가 노는 것을 볼 수 있습니다.
Pickup_82 |= 폰드러커 사용법
Pickup_Description_82 |= 폰드러커는 체력에,\n 작은 폭발을 일으키지만 최악입니다.
Pickup_85 |= 청어
Pickup_Description_85 |= 포식자와 물고기 이름을 속이기 위해 주황색입니다.
Pickup_87 |= 화염고기
Pickup_Description_87 |= 어떻게 이런 일이 존재할 수 있나요?
Pickup_88 |= 깃발고기
Pickup_Description_88 |= 흔들지 마세요.
Pickup_90 |= 저주고기
Pickup_Description_90 |= 한 마리 잡았다고 맹세해요...
Pickup_91 |= 달물고기
Pickup_Description_91 |= 그 자체로 가득합니다.
Pickup_92 |= 연준모치
Pickup_Description_92 |= 아주 작은 녀석들!
Pickup_95 |= 놀라운 축소판
Pickup_Description_95 |= 작은 수액, 바질, 백리향.
Pickup_96 |= 작은 수액
Pickup_Description_96 |= 상당한 변화입니다.
Pickup_97 |= 장어 위치 2
Pickup_Description_97 |= 장어는 잡기 힘든 미끌미끌한 영혼이지만\n 밤이 되면 제 짝을 만납니다.
Pickup_98 |= 놀라운 축소판
Pickup_Description_98 |= 축소된 것을 볼 수 있을 것입니다.
Pickup_179 |= 낫 몰드
Pickup_Description_179 |= 대장간에 사용되는 몰드입니다.
Pickup_245 |= 주석 낫
Pickup_Description_245 |= 시리얼 킬러가 사용합니다.
Pickup_302 |= 민들레
Pickup_Description_302 |= 시간을 말해줍니다.
Pickup_303 |= 주석 양동이
Pickup_Description_303 |= 액체 운반용 - 마실 수 있는 다양한 종류.
Pickup_304 |= 나무 양동이
Pickup_Description_304 |= 이거 절대 마시지 마세요...
Pickup_307 |= 드루이다 우상
Pickup_Description_307 |= 적들에게 과일의 우박을 내리세요.
Pickup_308 |= 바인딩 밴드
Pickup_Description_308 |= 두 연인을 영원히 하나로 묶어줍니다. 적어도 헤어질 때까지 말이죠.
Pickup_309 |= 다람쥐 사탕
Pickup_Description_309 |= 실제 다람쥐가 들어있습니다. 견과류가 포함될 수도 있습니다.
Pickup_310 |= 토끼 사탕
Pickup_Description_310 |= 실제 머리카락이 들어있을 수도 있는 설탕을 첨가한 간식입니다.
Pickup_311 |= 로맨스의 장미
Pickup_Description_311 |= 사랑하는 사람에게 이걸 건네면 사랑은 꽃을 피웁니다-찔리는 것만 조심하세요.
Pickup_312 |= 쉽게 가자 물약
Pickup_Description_312 |= 용기가 필요하군요.
Pickup_314 |= 펩 파우더
Pickup_Description_314 |= 당신의 봄에 한 걸음 더 다가가세요.
Pickup_322 |= 곡괭이
Pickup_Description_322 |= 암석에서 귀중한 광석을 발견합니다. 코에는 사용하지 마십시오.
Pickup_324 |= 뻐꾸기 이슬
Pickup_Description_324 |= 꽃을 발명할 때의 문제는 말장난에 대한 참조가 부족하다는 것입니다.
Pickup_325 |= 배
Pickup_Description_325 |= 딱 하나.
Pickup_326 |= 밀가루
Pickup_Description_326 |= 맙소사!
Pickup_327 |= 강 송어
Pickup_Description_327 |= 인터넷에서 말장난을 찾아봐야 했습니다.
Pickup_328 |= 오팔 잉어
Pickup_Description_328 |= 십대의 영혼 같은 냄새가 나요. 영혼이라고했지만 겨드랑이라는 의미였습니다.
Pickup_329 |= 체크무늬 처브
Pickup_Description_329 |= 비틀어보세요... 먹기 전에 머리를 떼어내세요.
Pickup_330 |= 딸기 잼
Pickup_Description_330 |= 어떤 음악적 열매를 맺을까요?
Pickup_331 |= 블루베리 잼
Pickup_Description_331 |= 더 건강해지는 기분이 됩니다.
Pickup_332 |= 블루베리 파이
Pickup_Description_332 |= 잭 호너의 엄지손가락이 블루베리 알레르기로 인해 부어올랐습니다. 하!
Pickup_333 |= 사과 파이
Pickup_Description_333 |= 일 잘하는 사람.
Pickup_334 |= 생선 파이
Pickup_Description_334 |= 그레이비에서 수영하기.
Pickup_335 |= 버섯 파이
Pickup_Description_335 |= 곰팡이 또는 진균?
Pickup_337 |= 사과 빵
Pickup_Description_337 |= 정말 좋아요.
Pickup_338 |= 쐐기풀
Pickup_Description_338 |= 성급하게 선택하지 마세요.
Pickup_340 |= 파슬리
Pickup_Description_340 |= 세이지, 로즈마리, 타임과 함께 종말의 4가지 말초를 형성합니다.
Pickup_341 |= 바질
Pickup_Description_341 |= 약간 결함이 있습니다.
Pickup_342 |= 민트
Pickup_Description_342 |= 약간 풍부합니다.
Pickup_343 |= 백리향
Pickup_Description_343 |= 3시 10분
Pickup_344 |= 무덤 라일락
Pickup_Description_344 |= 죽은 자에 의해 키워졌습니다.
Pickup_345 |= 블러드퓨
Pickup_Description_345 |= 사실 꽤 흔합니다.
Pickup_346 |= 양귀비
Pickup_Description_346 |= 이 꽃에 생식 기관이 있다는 이야기를 들은 적이 있습니다. 양귀비꽃!
Pickup_347 |= 고개숙인 낸시
Pickup_Description_347 |= 식물학 서적에서는 찾아볼 수 없는 식물입니다.
Pickup_348 |= 앵초
Pickup_Description_348 |= 불가리스는 중간 이름입니다.
Pickup_349 |= 붉은 광산 열쇠
Pickup_Description_349 |= 맞는 자물쇠를 찾아보세요.
Pickup_350 |= 파란 광산 열쇠
Pickup_Description_350 |= 맞는 자물쇠를 찾아보세요.
Pickup_351 |= 초록 광산 열쇠
Pickup_Description_351 |= 맞는 자물쇠를 찾아보세요.
Pickup_352 |= 바늘고기 사용법
Pickup_Description_352 |= 분노를 다스리고 괴물의 머리를 차지하세요.\n 하지만 침대에서 공연을 해서는 안 됩니다.
Pickup_361 |= 달물고기 위치 1
Pickup_Description_361 |= 달물고기는 짝수 날에 연못에 와서\n 노는 것을 좋아합니다.
Pickup_362 |= 달물고기 위치 2
Pickup_Description_362 |= 달물고기는 이름에 걸맞게\n 달 아래에서 노는 것을 즐깁니다.
Pickup_363 |= 달물고기 사용법
Pickup_Description_363 |= 달물고기는 당신을 사랑하고 싸우게 하지만\n 밤에는 거의 잠을 자지 못할 것입니다.
Pickup_364 |= 깃발고기 위치 1
Pickup_Description_364 |= 바람이 거세게 부는 서머다운에는\n 깃발고기가 물결을 일으키며 노래를 부릅니다.
Pickup_365 |= 깃발고기 위치 2
Pickup_Description_365 |= 깃발고기는 추위를 좋아하지 않아서\n 겨울에는 이야기를 들려줄 수 없습니다.
Pickup_366 |= 깃발고기 사용법
Pickup_Description_366 |= 양처럼 방귀를 뀌게 하지만\n 수면에 도움이 된다고 장담합니다!
Pickup_367 |= 스웜플래치 위치 2
Pickup_Description_367 |= 스웜플래치는 작은 녹색 콩나물처럼 요정의 강에서\n 슬쩍 휙휙 돌아다닙니다.
Pickup_368 |= 스웜플래치 사용법
Pickup_Description_368 |= 장난, 야유, 환상에 적합합니다.\n 스웜플래치는 친구 사이를 분열시킬 것입니다!
Pickup_369 |= 플리커핀 위치 1
Pickup_Description_369 |= 요정들이 춤을 추고 노움들이 앉아 있는 곳에서\n 플리커핀은 펄쩍펄쩍 뛰고 날아다닙니다.
Pickup_370 |= 빗물고기 사용법
Pickup_Description_370 |= 빗물고기는 마법을 선물합니다.\n 당신의 피부에서 물이 튀어오르게 합니다!
Pickup_371 |= 강 송어 위치 1
Pickup_Description_371 |= 어느 강에서나 행복한 \n 강 송어를 볼 수 있습니다.
Pickup_372 |= 강 송어 위치 2
Pickup_Description_372 |= 해가 지고 밤이 되기 전이면\n 강 송어는 깨어나 먹이를 찾습니다.
Pickup_375 |= 호박 위치 1
Pickup_Description_375 |= 호박은 너무 커서 끓일 수 없습니다.\n 멜로우필드 토양에서 이런 것들을 찾을 수 있습니다.
Pickup_376 |= 호박 위치 2
Pickup_Description_376 |= 호박은 가을비나 눈이 내릴 때만\n 싹이 납니다.
Pickup_377 |= 호박 사용법
Pickup_Description_377 |= 호박즙과 푸짐한 음식,\n 기침이 나지 않고 몸에 좋습니다.
Pickup_378 |= 화염고기 사용법
Pickup_Description_378 |= 화염고기 꼬임 화염고기 회전,\n 살을 먹으면 불에 타지 않을 것입니다.
Pickup_379 |= 체크무늬 처브 사용법
Pickup_Description_379 |= 체크무늬 처브는 주로 치유 효과가 뛰어나다는 점에서\n 매력적일 수 있습니다.
Pickup_380 |= 바늘고기 위치 1
Pickup_Description_380 |= 물속에서 잡아라, 소년,\n 교활한 계략으로 에르그린에서.
Pickup_381 |= 바늘고기 위치 2
Pickup_Description_381 |= 바늘고기는 아가미를 드러내는 것을 좋아하고,\n 저녁에 쌀쌀할 때 더 행복해합니다.
Pickup_382 |= 썩은 사과
Pickup_Description_382 |= 아무 쓸모도 없습니다...
Pickup_386 |= 피시 위시 위치 2
Pickup_Description_386 |= 전설에 따르면 Fishy Wish를 잡아서\n 여신의 날에 요리를 강화해 보세요.
Pickup_387 |= 로리안테 위치 2
Pickup_Description_387 |= 아침의 행복하고 따스한 햇살 속을 받으며\n 로리안테는 꿈꾸는 안개 속에서 헤엄칩니다.
Pickup_389 |= 달걀
Pickup_Description_389 |= 여기에요.
Pickup_390 |= 닭다리
Pickup_Description_390 |= 먹을 수 있는 종류입니다.
Pickup_391 |= 농부의 스튜
Pickup_Description_391 |= 당근, 양배추, 돼지갈비.
Pickup_392 |= 농부의 스튜
Pickup_Description_392 |= 팔의 힘이 강해집니다.
Pickup_393 |= 밤 우유
Pickup_Description_393 |= 당근, 생강, 버섯.
Pickup_394 |= 밤 우유
Pickup_Description_394 |= 이걸 마시면 항상 화창합니다.
Pickup_395 |= 사과 파이
Pickup_Description_395 |= 꿀, 사과, 생강.
Pickup_396 |= 블루베리 파이
Pickup_Description_396 |= 꿀, 사과, 블루베리.
Pickup_397 |= 딸기 파이
Pickup_Description_397 |= 꿀, 딸기, 사과.
Pickup_398 |= 딸기 파이
Pickup_Description_398 |= 엄마가 만들지 않던 것처럼요. 게으른 늙은 할망구.
Pickup_399 |= 과수원의 과일
Pickup_Description_399 |= 사과, 토마토, 포도.
Pickup_400 |= 과수원의 과일
Pickup_Description_400 |= 여신 등급 식료품.
Pickup_401 |= 스털링 버튼 이끼 스튜
Pickup_Description_401 |= 파슬리, 버섯, 달콤 이끼.
Pickup_402 |= 스털링 버튼 이끼 스튜
Pickup_Description_402 |= 식사 후 GP를 만나십시오.
Pickup_403 |= 생선 파이
Pickup_Description_403 |= 강 송어, 창꼬치, 구스베리.
Pickup_404 |= 버섯 파이
Pickup_Description_404 |= 버섯, 고수, 백리향.
Pickup_405 |= 구스베리
Pickup_Description_405 |= 밟지 마세요.
Pickup_406 |= 구스베리 파이
Pickup_Description_406 |= 딱 하나.
Pickup_407 |= 나이다 우상
Pickup_Description_407 |= 덩굴은 상대방의 능력치를 파악하고 소모합니다.
Pickup_408 |= 연인의 송로버섯
Pickup_Description_408 |= 연인의 송로버섯으로 다툼이 일어나지는 않을 것입니다.
Pickup_409 |= 참풀
Pickup_Description_409 |= 부드럽게 내려갑니다.
Pickup_410 |= 구리 광석
Pickup_Description_410 |= 모두 황갈색입니다.
Pickup_411 |= 플로팔롯 물약
Pickup_Description_411 |= 젠장, 추락하고 있어!
Pickup_414 |= 낮잠 별 파우더
Pickup_Description_414 |= 잠들기 위해 짐을 내려놓으세요.
Pickup_417 |= 선명한 색의 물약
Pickup_Description_417 |= 보라색 구름이 운다고요?
Pickup_418 |= 연고-약
Pickup_Description_418 |= 근육통에 좋은 문지르기.
Pickup_193 |= 구리 검
Pickup_Description_193 |= 곤봉을 사용하는 줄 알았는데? 스트롱 vs 밴시 앤 크로커.
Pickup_419 |= 홉의 이빨
Pickup_Description_419 |= 나를 물어.
Pickup_420 |= 슬라임 점액
Pickup_Description_420 |= 그는 나를 날씬하게 만들었어요.
Pickup_421 |= 브라스
Pickup_Description_421 |= 
Pickup_422 |= 강 송어 사용법
Pickup_Description_422 |= 버그가 발생할 때 이를 방지하려면\n 강 송어로 자신의 존재를 구축하세요.
Pickup_423 |= 오팔 잉어 위치 1
Pickup_Description_423 |= 바위가 잠든 베일의 웅덩이에서는\n 오팔 잉어가 깊은 곳을 순찰합니다.
Pickup_424 |= 오팔 잉어 위치 2
Pickup_Description_424 |= 하늘에 해가 떠오르면\n 오팔 잉어는 당신을 울게 만들 것입니다.
Pickup_425 |= 플리커핀 위치 2
Pickup_Description_425 |= 태양이 머리를 숙일 때\n 플리커핀은 침대에서 일어납니다.
Pickup_426 |= 플리커핀 사용법
Pickup_Description_426 |= 빠른 회복력과 메스꺼움을 동시에 느끼게하는\n 플리커핀은 쉽게 포기할 수 있게 해줍니다.
Pickup_427 |= 피시 위시 위치 1
Pickup_Description_427 |= 노움이 접시를 채우는 Fishy Wishie를\n 갖게 될 것입니다..
Pickup_428 |= 오팔 잉어 사용법
Pickup_Description_428 |= 스미시는 오팔 잉어를 맹세하며\n 종종 벤치에 하나씩 두고 있습니다.
Pickup_429 |= 체크무늬 처브 위치 1
Pickup_Description_429 |= 저녁 연못에서 정신을 집중하세요.\n 체크무늬 처브가 다시 꼬입니다.
Pickup_430 |= 체크무늬 처브 위치 2
Pickup_Description_430 |= 체크무늬 처브는 회색빛 가을날을\n 멀리합니다.
Pickup_431 |= 피시 위시 사용법
Pickup_Description_431 |= 친구에게 수줍게 선물하거나 적에게 선물하여\n 내면의 존재를 변화시키세요.
Pickup_432 |= 로리안테 위치 1
Pickup_Description_432 |= 로리안테! 오 카라스 살 에그 카라스 구인,\n 어두운 물 아래 오 에르그린
Pickup_433 |= 로리안테 사용법
Pickup_Description_433 |= 밝아지면서 질병이 완화되지만,\n 서투름이 뇌에 영향을 미칩니다.
Pickup_434 |= 연준모치 위치 2
Pickup_Description_434 |= 위대한 태양이 떠오를 때만\n 연준모치를 작은 상품으로 잡을 수 있습니다.
Pickup_435 |= 연준모치 사용법
Pickup_Description_435 |= 연준모치는 아주 작을지 몰라도\n 우정을 키울 수 있습니다.
Pickup_436 |= 스웜플래치 위치 1
Pickup_Description_436 |= 재미있는 물고기에 관한 이야기,\n 스웜플래치는 노움이 소원을 빌고 있는 곳에서 헤엄칩니다.
Pickup_437 |= 화염고기 위치 1
Pickup_Description_437 |= 화창한 날 꽃밭의 웅덩이에서,\n 화염고기는 헤엄치며 힘을 얻습니다.
Pickup_438 |= 화염고기 위치 2
Pickup_Description_438 |= 나무가 금색과 갈색이면,\n 화염고기는 숨어서 찾을 수 없습니다.
Pickup_439 |= 연준모치 위치 1
Pickup_Description_439 |= 서머다운의 얕은 작은 연못에는\n 연준모치들이 무리를 지어 모여듭니다.
Pickup_171 |= 검 몰드
Pickup_Description_171 |= 자르기위한 물건의 형태입니다.
Pickup_237 |= 주석 검
Pickup_Description_237 |= 병사를 위한. 힘 vs 홉, 놉과 롭.
Pickup_164 |= 주석 광석
Pickup_Description_164 |= 모든 광산에서.
Pickup_440 |= 옵스큐라
Pickup_Description_440 |= 밝은 곳의 어둠...
Pickup_180 |= 삽 몰드
Pickup_Description_180 |= 뜨거운 숟가락을 가져와.
Pickup_441 |= 양동이 몰드
Pickup_Description_441 |= 중요하지 않다고 생각하지 마세요.
Pickup_442 |= 구리 양동이
Pickup_Description_442 |= 올바른 행동으로 사용.
Pickup_443 |= 즐거운 나의 집
Pickup_Description_443 |= 이만한 곳은 없습니다.
Pickup_444 |= 나무 열쇠
Pickup_Description_444 |= 루트웨이를 통해 여행하세요. 멀미용 봉투를 지참하세요.
Pickup_246 |= 주석 삽
Pickup_Description_246 |= 삽에 적힌 대로 하세요.
Pickup_202 |= 구리 삽
Pickup_Description_202 |= 품질이 뛰어납니다.
Pickup_201 |= 구리 낫
Pickup_Description_201 |= 헤이, 멋진 자르기!
Pickup_89 |= 실버스케일
pickup_description_89 |= 반짝이는 것들을 좋아합니다.
Pickup_166 |= 루미늄 광석
Pickup_Description_166 |= 사물을 가볍게 만듭니다. 문자 그대로 말이죠.
Pickup_268 |= 루미늄 삽
Pickup_Description_268 |= 가볍게 파헤쳐 보세요.
Pickup_267 |= 루미늄 낫
Pickup_Description_267 |= 가볍게 자르세요.
Pickup_259 |= 루미늄 검
Pickup_Description_259 |= 가벼운 참수 해 보세요. 힘 vs 파첸.
Pickup_445 |= 루미늄 양동이
Pickup_Description_445 |= 고생물학자들의 선호도.
Pickup_446 |= 보라 염료
Pickup_Description_446 |= 식인종이 사용하는 색입니다.
Pickup_447 |= 플리커핀
Pickup_Description_447 |= 바보들은 살찐 납작한 생선 튀김기에 살찐 납작한 생선을 튀깁니다.
Pickup_448 |= 피시 위시
Pickup_Description_448 |= 6세 어린이가 지은 이름입니다.
Pickup_449 |= 스웜플래치
Pickup_Description_449 |= 물에 알레르기가 있지만 그 사실을 알지 못하는 기괴한 물고기입니다.
Pickup_450 |= 설탕 자두
Pickup_Description_450 |= 견과류나 크래커와 함께 먹으면 더욱 맛있습니다.
Pickup_451 |= 구미 버섯
Pickup_Description_451 |= 더는 못 먹겠어요.
Pickup_452 |= 펀플라워
