FNF_CIRCLE_SOUTH_BRIDGE_NAME |= Circle South Bridge
FNFCONVERSATION_HOUSE_8 |= Pass me that hammer, will ya?
FNFCONVERSATION_HOUSE_8 |= Hammer? More like 'ammer time!

FNFCONVERSATION_HOUSE_9 |= How's the cleanin' comin' along, buddy?
FNFCONVERSATION_HOUSE_9 |= Slow and steady! This muck's thicker than a swamp.

FNFCONVERSATION_HOUSE_10 |= We're pushing through! The floor's squeaking less, but my knees are feeling the strain!
FNFCONVERSATION_HOUSE_10 |= Aye, and I wrestled with that stubborn door lock. Finally got it workin', though!

FNFCONVERSATION_HOUSE_11 |= Ugh, mates! This blasted house is driving me up the wall, eh?
FNFCONVERSATION_HOUSE_11 |= Tell me about it! My hands are sore from all this work.

FNFCONVERSATION_HOUSE_12 |= Toss me that wrench, will ya?
FNFCONVERSATION_HOUSE_12 |= Wrench? More like wrenching my back!

FNFCONVERSATION_HOUSE_13 |= How's the plaster patchin' comin' along, mate?
FNFCONVERSATION_HOUSE_13 |= Exhausting! I'm covered in dust.

FNFCONVERSATION_HOUSE_14 |= We're slugging away! The floor's less creaky, but my patience is wearin' thin!
FNFCONVERSATION_HOUSE_14 |= Aye, and I battled with that rusty window frame. Finally got it fixed, but what a hassle!

FNFCONVERSATION_HOUSE_15 |= Argh, mates! Fixing up this home is a right pain in the neck, eh?
FNFCONVERSATION_HOUSE_15 |= You can say that again! My muscles are aching all over.

FNFCONVERSATION_HOUSE_16 |= We're slogging through it! The walls are patched, but my arms feel like lead!
FNFCONVERSATION_HOUSE_16 |= Aye, and I wrestled with that overgrown garden. Finally tamed it, but it's been a battle!

FNFCONVERSATION_HOUSE_17 |= Oof, mates! Fixing up this home is harder than I thought, eh?
FNFCONVERSATION_HOUSE_17 |= No kiddin'! My back's achin' something fierce.

FNFCONVERSATION_BRIDGE_1 |= Pass me that rope, will ya?
FNFCONVERSATION_BRIDGE_1 |= Rope? More like hope it doesn't snap!

FNFCONVERSATION_BRIDGE_2 |= How's the plank replacing coming along?
FNFCONVERSATION_BRIDGE_2 |= Slow as molasses! But we'll have it sturdy and safe.

FNFCONVERSATION_BRIDGE_3 |= We're workin' our tails off! Those loose railings are finally tightened up!
FNFCONVERSATION_BRIDGE_3 |= Aye, and I patched up those holes in the walkway. No more trippin' hazards here!

FNFCONVERSATION_BRIDGE_4 |= By the Goddesses, we're a bridge-building brigade!
FNFCONVERSATION_BRIDGE_4 |= You bet! Can't wait for 'em to cross this bridge without worry, they'd better appreciate our hard work!

FNFCONVERSATION_BRIDGE_5 |= Blimey, mates! Repairing this old bridge is taking the wind out of our sails, eh?
FNFCONVERSATION_BRIDGE_5 |= You said it! My hands are cramped from all this work.

FNFCONVERSATION_BRIDGE_6 |= Hand me that hammer, will ya?
FNFCONVERSATION_BRIDGE_6 |= Hammer? More like hammering my patience!

FNFCONVERSATION_BRIDGE_7 |= How's the cable tightening coming along, friend?
FNFCONVERSATION_BRIDGE_7 |= It's a struggle! But we'll have it secure and ready for our wandering friends!

FNFCONVERSATION_BRIDGE_8 |= We're laborin' away! The support posts are finally reinforced!
FNFCONVERSATION_BRIDGE_8 |= Aye, and I filled in those gaps between the planks. No more wobbly steps here!

FNFCONVERSATION_BRIDGE_9 |= By the Goddesses, everyone better be grateful for this steady path we're providing!
FNFCONVERSATION_BRIDGE_9 |= Absolutely! They'd better be ready to sing our praises once they see the sturdy bridge we've crafted for 'em!

FNFCONVERSATION_BRIDGE_10 |= Oof, mates! Fixing this creaky bridge is a proper chore, eh?
FNFCONVERSATION_BRIDGE_10 |= Ain't that the truth! My feet are aching from standing so long. 

FNFCONVERSATION_BRIDGE_11 |= How's the joint repair comin' along, friend?
FNFCONVERSATION_BRIDGE_11 |= Grindin' away! But we'll have it solid as a rock.

FNFCONVERSATION_BRIDGE_12 |= We're working hard on this! The railings are finally straightened out!
FNFCONVERSATION_BRIDGE_12 |= Aye, and I replaced those rotten planks. No more fear of fallingthrough!

FNFCONVERSATION_BRIDGE_13 |= By the Goddesses, we're bridge-mending masters! The locals better acknowledge our hard work!
FNFCONVERSATION_BRIDGE_13 |= For sure! They'd better be ready to celebrate once they see this sturdy bridge we've built!

FNFCONVERSATION_BRIDGE_14 |= Hand me that chisel, will ya?
FNFCONVERSATION_BRIDGE_14 |= Chisel? More like chiselin' away at my sanity!

FNFCONVERSATION_BRIDGE_15 |= How's the bolt tightening coming along, mate?
FNFCONVERSATION_BRIDGE_15 |= Takin' its sweet time! But we'll have it stable and trustworthy.

FNFCONVERSATION_BRIDGE_16 |= We're keeping at it! The underpinnings are finally reinforced!
FNFCONVERSATION_BRIDGE_16 |= Aye, and I filled in those cracks in the stone. No more crumblin' edges here!

FNFCONVERSATION_BRIDGE_17 |= Ugh, this blasted bridge fixing is getting on my last nerve!
FNFCONVERSATION_BRIDGE_17 |= Hey, cheer up! Think about how happy everyone will be when they see their safe new bridge!

FNFCONVERSATION_GENERIC_START_1 |= This is going to be a long job!
FNFCONVERSATION_GENERIC_START_1 |= Too right! I'm up for the challenge, though.
FNFCONVERSATION_GENERIC_START_2 |= This will be satisfying to finish.
FNFCONVERSATION_GENERIC_START_2 |= Teamwork will make the dream work.
FNFCONVERSATION_GENERIC_START_3 |= Long way to go!
FNFCONVERSATION_GENERIC_START_3 |= But it will be worth it.
FNFCONVERSATION_GENERIC_START_4 |= No idea how long this will take!
FNFCONVERSATION_GENERIC_START_4 |= Your guess is as good as mine.
FNFCONVERSATION_GENERIC_START_5 |= Let's get cracking!
FNFCONVERSATION_GENERIC_START_5 |= Yes, this might take some work.
FNFCONVERSATION_GENERIC_START_6 |= Let me size up this job.
FNFCONVERSATION_GENERIC_START_6 |= It looks like a job worth doing.
FNFCONVERSATION_GENERIC_START_7 |= Time to get on with the job.
FNFCONVERSATION_GENERIC_START_7 |= That's what friends are for!
FNFCONVERSATION_GENERIC_START_8 |= Can you pass me the plan?
FNFCONVERSATION_GENERIC_START_8 |= Here we go.
FNFCONVERSATION_GENERIC_START_9 |= It was nice to be asked to help.
FNFCONVERSATION_GENERIC_START_9 |= Yes, I didn't realise you knew them so well.
FNFCONVERSATION_GENERIC_START_10 |= Tools checked?
FNFCONVERSATION_GENERIC_START_10 |= Yes, we have all we need!
FNFCONVERSATION_GENERIC_START_11 |= Pass me the plan.
FNFCONVERSATION_GENERIC_START_11 |= Here we go.
FNFCONVERSATION_GENERIC_START_12 |= Looking forward to working with you.
FNFCONVERSATION_GENERIC_START_12 |= Likewise!
FNFCONVERSATION_GENERIC_START_13 |= Ready to get going?
FNFCONVERSATION_GENERIC_START_13 |= I was born ready.
FNFCONVERSATION_GENERIC_START_14 |= Just checking the resources.
FNFCONVERSATION_GENERIC_START_14 |= Looking good to go!
FNFCONVERSATION_GENERIC_MIDDLE_1 |= It's starting to come along nicely.
FNFCONVERSATION_GENERIC_MIDDLE_1 |= Yes! I am proud of us all.
FNFCONVERSATION_GENERIC_MIDDLE_2 |= I hit my thumb with my hammer.
FNFCONVERSATION_GENERIC_MIDDLE_2 |= Ouch! Just don't hit mine.
FNFCONVERSATION_GENERIC_MIDDLE_3 |= Can you pass me the saw, please?
FNFCONVERSATION_GENERIC_MIDDLE_3 |= This one?
FNFCONVERSATION_GENERIC_MIDDLE_4 |= Who hid the nails?
FNFCONVERSATION_GENERIC_MIDDLE_4 |= Oh sorry! I was just having a nap on them.
FNFCONVERSATION_GENERIC_MIDDLE_5 |= Can't wait for knocking off time!
FNFCONVERSATION_GENERIC_MIDDLE_5 |= Me too! My back is complaining.
FNFCONVERSATION_GENERIC_MIDDLE_6 |= This is hard work!
FNFCONVERSATION_GENERIC_MIDDLE_6 |= You need the exercise.
FNFCONVERSATION_GENERIC_MIDDLE_7 |= Starting to look good!
FNFCONVERSATION_GENERIC_MIDDLE_7 |= Me? Oh, thanks!
FNFCONVERSATION_GENERIC_MIDDLE_8 |= How much wood have we got left?
FNFCONVERSATION_GENERIC_MIDDLE_8 |= Easily enough. Don't worry.
FNFCONVERSATION_GENERIC_MIDDLE_9 |= Knock knock.
FNFCONVERSATION_GENERIC_MIDDLE_9 |= Please, not again.
FNFCONVERSATION_GENERIC_MIDDLE_10 |= Remind me why I am breaking my back on this.
FNFCONVERSATION_GENERIC_MIDDLE_10 |= Friends and family, innit?
FNFCONVERSATION_GENERIC_MIDDLE_11 |= I fancy a nice cup of soup right now.
FNFCONVERSATION_GENERIC_MIDDLE_11 |= You drink soup from a cup? Weirdo.
FNFCONVERSATION_GENERIC_MIDDLE_12 |= Hold this for me, would you?
FNFCONVERSATION_GENERIC_MIDDLE_12 |= Sure. If you can hold this.
FNFCONVERSATION_GENERIC_MIDDLE_13 |= To me.
FNFCONVERSATION_GENERIC_MIDDLE_13 |= To you.
FNFCONVERSATION_GENERIC_END_1 |= We are so close now I can taste it!
FNFCONVERSATION_GENERIC_END_1 |= That's just sawdust.
FNFCONVERSATION_GENERIC_END_2 |= This is looking magnificent.
FNFCONVERSATION_GENERIC_END_2 |= Was worth it for our good friend.
FNFCONVERSATION_GENERIC_END_3 |= We deserve a pat on the back.
FNFCONVERSATION_GENERIC_END_3 |= Not a cow pat, I hope?
FNFCONVERSATION_GENERIC_END_4 |= How much more?
FNFCONVERSATION_GENERIC_END_4 |= Nearly done.
FNFCONVERSATION_GENERIC_END_5 |= This build has been quicker than I thought.
FNFCONVERSATION_GENERIC_END_5 |= I've done all the work...
FNFCONVERSATION_GENERIC_END_6 |= Hanging around for the unveiling?
FNFCONVERSATION_GENERIC_END_6 |= Will see what time it is.
FNFCONVERSATION_GENERIC_END_7 |= Was this bit meant to have been painted?
FNFCONVERSATION_GENERIC_END_7 |= I won't tell if you don't.
FNFCONVERSATION_GENERIC_END_8 |= This is been a big job.
FNFCONVERSATION_GENERIC_END_8 |= Yeah, but it did need doing!
FNFCONVERSATION_GENERIC_END_9 |= Not long now.
FNFCONVERSATION_GENERIC_END_9 |= Not long at all.
FNFCONVERSATION_GENERIC_END_10 |= Just a few more tweaks.
FNFCONVERSATION_GENERIC_END_10 |= I'm nearly all done over here.
FNFCONVERSATION_GENERIC_END_11 |= I was glad to be asked to do this.
FNFCONVERSATION_GENERIC_END_11 |= Me too. Good to help out.
FNFCONVERSATION_GENERIC_END_12 |= I've enjoyed working with you.
FNFCONVERSATION_GENERIC_END_12 |= Yeah, it has been fun. Thanks!
FNFCONVERSATION_GENERIC_END_13 |= Looking good.
FNFCONVERSATION_GENERIC_END_13 |= Very solid. For solids.
FNFCONVERSATION_GENERIC_END_14 |= This should hold up well.
FNFCONVERSATION_GENERIC_END_14 |= I hope so!
FNFCONVERSATION_GENERIC_END_15 |= Nice job!
FNFCONVERSATION_GENERIC_END_15 |= Thanks! You too.

FNFCONVERSATION_WINDMILL_START_1 |= This is going to be a long job!
FNFCONVERSATION_WINDMILL_START_1 |= Too right! I'm up for the challenge, though.
FNFCONVERSATION_WINDMILL_START_2 |= This is the first windmill I will have worked on.
FNFCONVERSATION_WINDMILL_START_2 |= Hopefully, the last too! Look at the size of this thing.
FNFCONVERSATION_WINDMILL_START_3 |= This will be satisfying to finish.
FNFCONVERSATION_WINDMILL_START_3 |= Teamwork will make the dream work.
FNFCONVERSATION_WINDMILL_START_4 |= Long way to go!
FNFCONVERSATION_WINDMILL_START_4 |= But it will be worth it.
FNFCONVERSATION_WINDMILL_MIDDLE_1 |= It's starting to come along nicely.
FNFCONVERSATION_WINDMILL_MIDDLE_1 |= Yes! I am proud of us all.
FNFCONVERSATION_WINDMILL_MIDDLE_2 |= I hit my thumb with my hammer.
FNFCONVERSATION_WINDMILL_MIDDLE_2 |= Ouch! Better than hitting your toes!
FNFCONVERSATION_WINDMILL_MIDDLE_3 |= Can you pass me the saw, please?
FNFCONVERSATION_WINDMILL_MIDDLE_3 |= Sure thing. You'll get a buzz from using it.
FNFCONVERSATION_WINDMILL_MIDDLE_4 |= Who hid the nails?
FNFCONVERSATION_WINDMILL_MIDDLE_4 |= Oh, sorry! I was just having a nap on them.
FNFCONVERSATION_WINDMILL_MIDDLE_5 |= Can't wait for knocking off time!
FNFCONVERSATION_WINDMILL_MIDDLE_5 |= Me too! My back is complaining.
FNFCONVERSATION_WINDMILL_MIDDLE_6 |= This is hard work!
FNFCONVERSATION_WINDMILL_MIDDLE_6 |= You needed the exercise.
FNFCONVERSATION_WINDMILL_MIDDLE_7 |= Starting to look good!
FNFCONVERSATION_WINDMILL_MIDDLE_7 |= Me? Oh, thanks!
FNFCONVERSATION_WINDMILL_MIDDLE_8 |= How much wood have we got left?
FNFCONVERSATION_WINDMILL_MIDDLE_8 |= Easily enough. Don't worry.
FNFCONVERSATION_WINDMILL_MIDDLE_9 |= Knock knock.
FNFCONVERSATION_WINDMILL_MIDDLE_9 |= Please stop.
FNFCONVERSATION_WINDMILL_MIDDLE_10 |= We are sailing through this.
FNFCONVERSATION_WINDMILL_MIDDLE_10 |= Haha!
FNFCONVERSATION_WINDMILL_MIDDLE_11 |= This windmill is a real grind.
FNFCONVERSATION_WINDMILL_MIDDLE_11 |= You should be a comedian.
FNFCONVERSATION_WINDMILL_MIDDLE_12 |= Remind me why I am breaking my back on this?
FNFCONVERSATION_WINDMILL_MIDDLE_12 |= Friends and family, innit?
FNFCONVERSATION_WINDMILL_MIDDLE_13 |= I fancy a nice cup of soup right now
FNFCONVERSATION_WINDMILL_MIDDLE_13 |= You drink soup from a cup? Weirdo
FNFCONVERSATION_WINDMILL_END_1 |= We are so close now I can taste it!
FNFCONVERSATION_WINDMILL_END_1 |= That's just sawdust.
FNFCONVERSATION_WINDMILL_END_2 |= This windmill is an engineering marvel
FNFCONVERSATION_WINDMILL_END_2 |= Can't wait to give it a spin.
FNFCONVERSATION_WINDMILL_END_3 |= The grind is nearly over!
FNFCONVERSATION_WINDMILL_END_3 |= And a new one will begin!
FNFCONVERSATION_WINDMILL_END_4 |= I hope we get free flour for making this.
FNFCONVERSATION_WINDMILL_END_4 |= We should onionise.
FNFCONVERSATION_WINDMILL_END_5 |= This is looking magnificent.
FNFCONVERSATION_WINDMILL_END_5 |= Was worth it for our good friend.
FNFCONVERSATION_WINDMILL_END_6 |= Windmill, windmill for the land.
FNFCONVERSATION_WINDMILL_END_6 |= Turn forever hand in hand.
FNFCONVERSATION_WINDMILL_END_7 |= Nearly done. Just gotta sort those sails.
FNFCONVERSATION_WINDMILL_END_7 |= And put a hinge on the door.
FNFCONVERSATION_WINDMILL_END_8 |= We deserve a pat on the back.
FNFCONVERSATION_WINDMILL_END_8 |= Not a cow pat, I hope?

FNFCONVERSATION_COWSHED_START_1 |= Let's get this cow shed built.
FNFCONVERSATION_COWSHED_START_1 |= Will make for a happy cow.
FNFCONVERSATION_COWSHED_START_2 |= Ready to build?
FNFCONVERSATION_COWSHED_START_2 |= As ever!
FNFCONVERSATION_COWSHED_MIDDLE_1 |= The cow will love this.
FNFCONVERSATION_COWSHED_MIDDLE_1 |= I fancy moving in myself!
FNFCONVERSATION_COWSHED_MIDDLE_2 |= Hold this plank for me, would you?
FNFCONVERSATION_COWSHED_MIDDLE_2 |= Sure. I have 3 arms, obviously.
FNFCONVERSATION_COWSHED_END_1 |= Just the small details left.
FNFCONVERSATION_COWSHED_END_1 |= They are the most important though.
FNFCONVERSATION_COWSHED_END_2 |= Ready to reveal soon!
FNFCONVERSATION_COWSHED_END_2 |= Yeah! Nice work!

FNFCONVERSATION_STAGE_START_1 |= This is going to be tough.
FNFCONVERSATION_STAGE_START_1 |= Oh, come on! Easy street!
FNFCONVERSATION_STAGE_START_2 |= Resources? 
FNFCONVERSATION_STAGE_START_2 |= Check.
FNFCONVERSATION_STAGE_START_3 |= Let's get that scaffold up.
FNFCONVERSATION_STAGE_START_3 |= Don't want anyone seeing!
FNFCONVERSATION_STAGE_MIDDLE_1 |= The stage is set for magnificence.
FNFCONVERSATION_STAGE_MIDDLE_1 |= I like your confidence.
FNFCONVERSATION_STAGE_MIDDLE_2 |= Hope no monsters destroy this.
FNFCONVERSATION_STAGE_MIDDLE_2 |= We will build it to last.
FNFCONVERSATION_STAGE_MIDDLE_3 |= Need any help over there?
FNFCONVERSATION_STAGE_MIDDLE_3 |= No thanks. Am good.
FNFCONVERSATION_STAGE_MIDDLE_4 |= This will be a centrepiece.
FNFCONVERSATION_STAGE_MIDDLE_4 |= And a masterpiece!
FNFCONVERSATION_STAGE_MIDDLE_5 |= Let's keep working hard.
FNFCONVERSATION_STAGE_MIDDLE_5 |= The things we do for love, eh?
FNFCONVERSATION_STAGE_END_1 |= Time for the big reveal soon!
FNFCONVERSATION_STAGE_END_1 |= This looks amazing!
FNFCONVERSATION_STAGE_END_2 |= What a feat of engineering!
FNFCONVERSATION_STAGE_END_2 |= My feet ache!
FNFCONVERSATION_STAGE_END_3 |= This is worthy of any performance.
FNFCONVERSATION_STAGE_END_3 |= A top-notch repair job.
FNFCONVERSATION_STAGE_END_4 |= I've enjoyed rebuilding this
FNFCONVERSATION_STAGE_END_4 |= Amazing how skilled we all are at carpentry.
FNFCONVERSATION_STAGE_END_5 |= Those drapes need cleaning.
FNFCONVERSATION_STAGE_END_5 |= I'll do them after I finish this bit.

FNFCONVERSATION_JUNK_BLOCKAGE_START_1 |= This should be a cinch.
FNFCONVERSATION_JUNK_BLOCKAGE_START_1 |= It's not really building, is it?
FNFCONVERSATION_JUNK_BLOCKAGE_START_2 |= Should have this cleared in no time.
FNFCONVERSATION_JUNK_BLOCKAGE_START_2 |= What a thing to do.
FNFCONVERSATION_JUNK_BLOCKAGE_MIDDLE_1 |= This stuff is heavy.
FNFCONVERSATION_JUNK_BLOCKAGE_MIDDLE_1 |= Builds your arms up.
FNFCONVERSATION_JUNK_BLOCKAGE_MIDDLE_2 |= What a mess.
FNFCONVERSATION_JUNK_BLOCKAGE_MIDDLE_2 |= Disgraceful dumping.
FNFCONVERSATION_JUNK_BLOCKAGE_END_1 |= Almost there.
FNFCONVERSATION_JUNK_BLOCKAGE_END_1 |= Yeah, thankfully.
FNFCONVERSATION_JUNK_BLOCKAGE_END_2 |= This should ease congestion.
FNFCONVERSATION_JUNK_BLOCKAGE_END_2 |= Not for me. I have hay fever!

FNFCONVERSATION_MARKET_STALL_START_1 |= Let's get this stall up and running!
FNFCONVERSATION_MARKET_STALL_START_1 |= Not literally, I hope?
FNFCONVERSATION_MARKET_STALL_START_2 |= Did you remember the canopy?
FNFCONVERSATION_MARKET_STALL_START_2 |= Of course! I just left it at home, is all.
FNFCONVERSATION_MARKET_STALL_START_3 |= Going to enjoy this build.
FNFCONVERSATION_MARKET_STALL_START_3 |= Me too! Wonder what will be sold here?
FNFCONVERSATION_MARKET_STALL_START_4 |= This should attract the traders.
FNFCONVERSATION_MARKET_STALL_START_4 |= Especially if we build it well.
FNFCONVERSATION_MARKET_STALL_START_5 |= A shame that the original stall was broken.
FNFCONVERSATION_MARKET_STALL_START_5 |= Indeed, but we can fix it up.
FNFCONVERSATION_MARKET_STALL_START_6 |= I can't wait to shop here afterwards.
FNFCONVERSATION_MARKET_STALL_START_6 |= If we build it, they will come.
FNFCONVERSATION_MARKET_STALL_MIDDLE_1 |= This is a relaxing build.
FNFCONVERSATION_MARKET_STALL_MIDDLE_1 |= Yeah, I did notice you keep napping.
FNFCONVERSATION_MARKET_STALL_MIDDLE_2 |= Stop stalling!
FNFCONVERSATION_MARKET_STALL_MIDDLE_2 |= Isn't that the point of this build?
FNFCONVERSATION_MARKET_STALL_MIDDLE_3 |= Mark it there, would you?
FNFCONVERSATION_MARKET_STALL_MIDDLE_3 |= Market where?
FNFCONVERSATION_MARKET_STALL_MIDDLE_4 |= I'm hungry.
FNFCONVERSATION_MARKET_STALL_MIDDLE_4 |= I wondered what that growling was.
FNFCONVERSATION_MARKET_STALL_MIDDLE_5 |= Help me install this, would you?
FNFCONVERSATION_MARKET_STALL_MIDDLE_5 |= In-stall! Haha!
FNFCONVERSATION_MARKET_STALL_MIDDLE_6 |= Can you help me with this canvas?
FNFCONVERSATION_MARKET_STALL_MIDDLE_6 |= I only have two hands!
FNFCONVERSATION_MARKET_STALL_END_1 |= Just a bit of varnish and dusting, and we are done!
FNFCONVERSATION_MARKET_STALL_END_1 |= Looking great!
FNFCONVERSATION_MARKET_STALL_END_2 |= This was a nice build.
FNFCONVERSATION_MARKET_STALL_END_2 |= Yes, enjoyed making it with you.
FNFCONVERSATION_MARKET_STALL_END_3 |= I love it when a plan comes together.
FNFCONVERSATION_MARKET_STALL_END_3 |= We really are the A-team!
FNFCONVERSATION_MARKET_STALL_END_4 |= Just one more thing...
FNFCONVERSATION_MARKET_STALL_END_4 |= Is that a reference or an actual status?
FNFCONVERSATION_MARKET_STALL_END_5 |= Soon, this will be open for business!
FNFCONVERSATION_MARKET_STALL_END_5 |= I shall be a regular.
FNFCONVERSATION_MARKET_STALL_END_6 |= We did good work on this.
FNFCONVERSATION_MARKET_STALL_END_6 |= The instructions helped.
FNFCONVERSATION_MARKET_STALL_END_7 |= It was good making this with you.
FNFCONVERSATION_MARKET_STALL_END_7 |= And you, even if I did the most.

FNFCONVERSATION_CRYPT_START_1 |= This looks spooky!
FNFCONVERSATION_CRYPT_START_1 |= Hold me! I mean, hold me hammer.
FNFCONVERSATION_CRYPT_START_2 |= Going to be a heavy job, this.
FNFCONVERSATION_CRYPT_START_2 |= That stone looks heavy.
FNFCONVERSATION_CRYPT_START_3 |= Wonder what's inside.
FNFCONVERSATION_CRYPT_START_3 |= Clear it, and we'll find out!
FNFCONVERSATION_CRYPT_MIDDLE_1 |= I still get the creeps.
FNFCONVERSATION_CRYPT_MIDDLE_1 |= That's just me watching you work.
FNFCONVERSATION_CRYPT_MIDDLE_2 |= I'm sweating cobs.
FNFCONVERSATION_CRYPT_MIDDLE_2 |= Corn on the cob?
FNFCONVERSATION_CRYPT_MIDDLE_3 |= This is breaking my back a bit.
FNFCONVERSATION_CRYPT_MIDDLE_3 |= Maybe stop weightlifting those stones?
FNFCONVERSATION_CRYPT_MIDDLE_4 |= This door is sealed tight.
FNFCONVERSATION_CRYPT_MIDDLE_4 |= A bit like your wallet.
FNFCONVERSATION_CRYPT_MIDDLE_5 |= We deserve a nice drink after this.
FNFCONVERSATION_CRYPT_MIDDLE_5 |= And a change of pants.
FNFCONVERSATION_CRYPT_MIDDLE_6 |= Did you hear a noise?
FNFCONVERSATION_CRYPT_MIDDLE_6 |= Sounded like music.
FNFCONVERSATION_CRYPT_MIDDLE_7 |= Wonder what's inside?
FNFCONVERSATION_CRYPT_MIDDLE_7 |= It's a crypt. Take a guess.
FNFCONVERSATION_CRYPT_END_1 |= Just got to open the door, and we are done!
FNFCONVERSATION_CRYPT_END_1 |= You can do that.
FNFCONVERSATION_CRYPT_END_2 |= This door is wedged tighter than my pants.
FNFCONVERSATION_CRYPT_END_2 |= Sounds uncomfortable.
FNFCONVERSATION_CRYPT_END_3 |= Not my favourite job, this.
FNFCONVERSATION_CRYPT_END_3 |= Be good to get it sorted for our friend, though.
FNFCONVERSATION_CRYPT_END_4 |= There better not be ghosts inside!
