NPCStory_Like_EdnaTeapottIntro |= How are you faring, dearie? I am keeping myself busy, mainly watching those Kettles.
NPCStory_Like_LewisFlushingIntro |= Can I tell you a secret? When I was little, and we hadn't been blessed yet, my mother showed me a book she had hidden. It was an heirloom that was passed down through our family. It was called Peter Pan. It was about a really annoying boy who never grew up. He had a pet fairy, and he fought adults with his sword.
NPCStory_Like_LewisFlushingOutro |= I always wanted to be just like that Peter fella. I will never fly though.
NPCStory_Love_JacobCrackleIntro |= I want to tell you something. I am only telling this to you as we are now the best of friends. 
NPCStory_Love_JacobCrackleIntro |= I once saw Mag the Moghog in Cuckoo Wood. Was across the river by those tall rock columns, sleeping.
NPCStory_Love_JacobCrackleOutro |= I made a note of my experience in this book. You can have it, seeing as we are pals. You know that you can hand over items at Mag, and it'll spit back the same item, only better?!
NPCStory_Love_JacobCrackleOutro |= I only ask one favour.
NPCStory_Love_JacobCrackleOutro |= I dare not dig up any of those old graves, but the trouble is, I once buried a Tin Ward there out of superstition, and now I need it back. I fear I may have upset the spirits or Goddesses by burying it.
NPCStory_Love_RakeGrassbeardIntro |= We are best friends now, aren't we?
NPCStory_Love_RakeGrassbeardIntro |= Am getting old and have been in my shop for many years. At first, you hate the walls, and then you get used to them. Finally, you rely on them.
NPCStory_Love_RakeGrassbeardIntro |= I wish I was back on my first market stall. Summer was one fine season to be working outdoors.
NPCStory_Love_RakeGrassbeardIntro |= I suppose I should stick with tradition and give you some kind of task to seal our friendship?
NPCStory_Love_RakeGrassbeardIntro |= Well, let's make it easy for you. Just a couple of Hag's eyeballs will do. 
NPCStory_Love_RakeGrassbeardIntro |= Hags killed my parents, apparently. The sisters took a liking to them, and that was that.
NPCStory_Love_RakeGrassbeardOutro |= So you can be my revenge. I know you can take them.
NPCStory_Love_RakeGrassbeardOutro |= It's as the saying goes, 'Get busy killin' or get busy dyin'. 
NPCStory_Love_RakeGrassbeardOutro |= Doing a deed like that for a friend would prove you have what it takes. I am sure you can shank a Forest Hag easily.


NPCStory_Like_BettyScrumpyIntro |= Did you know that I used to be the best pastry chef in all Quill? Of course you didn't! Why would you? It's not like I go around telling anyone, you know. Anyway, I once entered a pie in the Bake Off.
NPCStory_Like_BettyScrumpyOutro |= They had to demolish the outhouse in Festfield afterwards.

NPCStory_Intro_LucyArrowsIntro |= Hello there! You just moved in with good old Bill, haven't you? Relatives, he said.
NPCStory_Intro_LucyArrowsIntro |= I'm Lucy, and I am the Vale's historian and researcher. I have a bit of a passion for learning all about our past and the Fae. I've seen them, you know?
NPCStory_Intro_LucyArrowsIntro |= It was a dark, rainy night...
NPCStory_Intro_LucyArrowsOutro |= Since then, I have tried to learn everything I can and even get that door to open, but to no avail. I shall keep trying, though!
NPCStory_Intro_LucyArrowsOutro |= Anyway, was good to meet you. Keep your eyes peeled!
